मैडेलिन पयू सटाफ लेखक	మయాడలిన పయూ సటాఫ రెటర
सीबीएस ने "गरभवती" शबद इसतेमाल नहीं करने दिया.	"గరభవతి" అనన పదం సీబీఎస వాడనివవలేదు.
यह बातचीत करना अचछा नहीं लग रहा.	ఈ సంభాషణ నాకు నచచటం లేదు.
और उसे जयादा होशियार होना चाहिए.	ఆమె తెలివెనదానిగా ఉండాలి.
-देखो, मैं नहीं. . . -जरा सुनिए.	-చూడు, నేనేమీ-- -కషమించు.
नहीं, जाहिर है कि उससे सबका लेना-देना है.	కానీ, ఇది అందరికీ అవసరమెన విషయం.
-छुटटियों पर. -वे छुटटियों पर यूरोप नहीं,	-సెలవు. -సెలవుకోసం యూరోప వెళలరు,
पूरा माहौल हो जाता है छन-छनन-छनन	అందరూ చీకి-చీకి-బూమ, చీకి-చీకి-బూమ అంటారు
-शायद वे तुमहारा इंतजार न करें. -बिल. . .	-నీకోసం వేచి ఉంటారనుకోను. -బిల--
जैसे आप एक छोटी बचची को कहानी सुनाते हैं.	ఇది ఒక చిననపిలలకు మీరు చెపపే కథ.
एक सूची बनाई है जो शायद तुमहें पसंद आएगी.	ఎననో మా కాసటింగ విభాగం తెచచింది.
अब एक-दूसरे को एक साथ कोहनी मारकर गिरो.	ఒకేసారి ఇదదరూ పొడుచుకుని కురచీ మీదనుండి పడిపోతారు.
आज के दौर में एक बहुत ही कामयाब टेलीविजन शो को	ఈరోజులలో పెదద హిట అయిన టీవీ షో, చాలా పెదద హిట అయిన టీవీ షో,
वह. . .	అంటే. . .
महतवाकांकषा बडे मकान में रहने की है.	పెదద ఇంటలో ఉండాలని నీ కోరిక.
हे भगवान.	దేవుడా.
यह सच है.	తగగాను.
हे भगवान.	దేవుడా.
सच में?	నిజంగానా?
-अंदर आ जाओ. -डेसी अपने दफतर में तुमसे मिलना चाहता है.	-లోపలి రా. -డెసి ఆఫీసలో కలవాలనుకుంటుననాడు.
-वह पूरी खबर झूठी थी? -नहीं लगता हमारी उससे बडी मुसीबत है?	-ఇదంతా కలపించారా? -ఇంతకననా పెదద విషయం ఉందేమో?
फरेड बताता है, "वह इंसान जो कहता कुछ है, करता कुछ और है. "	ఫరెడ అంటాడు, "ఒకటి చెపపి మరొకటి చేసే వయకతి. "
मुझे अफसोस है कि तुमहारी माँ नेवले जैसी दिखती है.	మీ అమమది చుంచు మొహం అయినందుకు కషమించు.
हम तीनों सुबह 2: 00 बजे एक खाली साउंडसटेज पर हैं.	అరధరాతరి 2: 00కి ఖాళీ సటేజి మీద ఉననాం.
विशव-सतर का संगीतकार के साथ एक शानदार अभिनेता है,	అదభుతమెన సంగీతకారుడే కాదు, మంచి నటుడు,
मुझसे यह होशोहवास में नहीं पढाना चाहोगे.	తాగిలేనపపుడు చదవాలనుకోవటం లేదు.
-कया मतलब? -मैंने कहा था कि ऐसा ही होगा.	-అంటే? -ఇలాగే ఉంటుందని చెపపాను.
सोचती हो हम रिकी को बेवकूफ दिखा रहे हैं?	రికీ తెలివితకకువవాడు అంటుననామా?
उसे कारयकारी निरमाता का शरेय नहीं मिलता,	ఎగజికయూటివ నిరమాతగా చెపుకోబడడు,
और मुझे यह बरकरार रखने के लिए बस लगातार 36 हफतों तक मेहनत करनी होती है.	నేను చేయాలసిందలలా 36 వారాలపాటు నాటకానని రకతి కటటించటమే.
-माफ करना, एक पल के लिए खयालों में खो गई. -अचछा, कट करो. फिर से करेंगे.	-మననించు, ఒకక కషణం తికమక పడడాను. -సరే, కట. మళళీ చేదదాం.
-अब चुप भी हो जाओ. -हाँ.	-నువవు మాటలాడటం ఆపగానే. -అవును.
अपनी सुलह की शरतें बताओ.	రాజీ పడాలంటే ఏమి షరతులు ఉననాయి?
शो की बेहतरी से बढकर निरदेशक की भावनाओं को तरजीह नहीं दे सकती.	షో ఆరోగయం కంటే దరశకుడి భావాలకు పరాధానయత ఇవవలేను.
उसे ईपी का शरेय देने को कहा था.	అతనని ఈపీ అని రాయమననాను.
-साउंड रोल करो. -रोलिंग.	-సౌండ మొదలు పెటటండి. -మొదలెంది.
और डॉनलड गलास फिर से निरदेशक होंगे, उनके लिए तालियाँ.	దరశకతవం, డోనాలడ గలాస వచచాడు, కరతాళధవనులు.
-आज तुमहारी किसमत अचछी नहीं. -एक मिनट अपने ऑफिस आओगे?	-నీకు అనుగుణంగా లేదు. -ఆఫీసలో మాటలాడొచచా?
समझ गया. शुकरिया.	అరథమయయింది. ధనయవాదాలు.
तूरो में अब भी उसी तरह से वाइन बनाई जाती है.	టయూరోలో ఇపపటికీ వెన అలాగే చేసతారు.
पर उसे निपटा दिया गया.	కానీ చూసుకుననాము.
मैं समझती हूँ कि बॉकस ऑफिस पर भगदड नहीं मची,	బాకస ఆఫీస వదద పెదద రదదీ లేకపోవచచు,
जबकि वह हवाना में गिटार बजाता था उनके बीच थी बहुत ही दूरी	అతను హవానాలో వాయించేవాడు వారి మధయ దూరం ఎకకువ
तीसरी बात का कया? उनका कया कहना है?	మూడవదాని సంగతేంటి? ఏమననారు?
लूसी को सुबह 5: 00 बजे मेकअप के लिए आना होता था.	లూసీ ఉదయం 5: 00కు మేకపకు వెళళిపోవాలి.
इसका द बिग सटरीट में तुमहारे अभिनय से कया वासता.	ద బిగ సటరీటలో నువవు చేసినదానికి కాదు.
पर वह बेहद डरावना हफता था.	కానీ అది భయానక వారం.
इसलिए इस पर मेरा धयान गया.	నా కళలబడింది కాబటటి.
-तुम भी कोरस में हो? -डांसिंग कोरस में.	-కోరసలో ఉననావా? -డానసింగ కోరస.
अचछा. मैं एक छोटे से मकान में रहती हूँ.	సరే. నేనొక చినన ఇంటిలో ఉంటాను.
तुमहें बीच में टोक दिया. कया कह रहे थे?	నినను మాటలాడనివవలేదు. ఏమననావు?
इस शो का, यहाँ काम करने वाले सब लोगों का, डेसीलू, लूसी का पूरा करियर, मेरा भी.	ఈ షో, ఇకకడ పనిచేసేవారు, డెసిలు, లూసీ మొతతం కెరీర, నాది కూడా.
उसे मत समझाओ.	వివరించకు.
मुझे मिल गया.	దొరికింది.
मैं द बिग सटरीट में हीरोइन चुनी गई हूँ.	ది బిగ సటరీటలో నేనే హీరోయినను.
पर वह. . .	కానీ అది. . .
जैसे लूसी डेसी से मुखातिब होकर कहती है,	లూసీ డెసి వెపు తిరిగి అంటుంది,
तुम उनकी बात सुनना चाहोगी.	వారు చెపపేది వినాలి.
अब उससे कोई फरक नहीं पडता.	ఇపపుడు అది అపరసతుతం.
उसका मानना है कि दरशक सच सवीकार करेंगे,	పరేకషకులు నిజానని ఒపపుకుంటారని
हाँ, बेशक.	అవును, నిజమే.
-उसे जरूर बुरा लगा. मुझे अफसोस है. -उसे बुरा नहीं लगा. वह हँस रहा था.	-అతని అవమానించారు. మననించు. -అదేమీ లేదు. నవవుతుననాడు.
तो ऐसा अंगूर का बाग ढूँढेंगे जहाँ अब भी अंगूर मसलते हैं.	ఇపపటికీ దరాకషలు తొకకే దరాకషతోటను కనుగొంటాం.
-वह मैं हूँ, जो हर हफते कोशिश करती. . . -लूसी बेवकूफ है?	-నేను, పరతీవారం, పరయతనిసతూ-- -లూసీ వెరరిదా?
जान, तुमहें यकीन है कि वे पटटियाँ नकली हैं?	బంగారం, ఆ కటలు నిజమెనవి కాదు కదా?
तुमहें सामयवादी पसंद नहीं हैं.	నీకు కమయూనిసటులు నచచరు.
वे रस कैसे निकालते हैं.	కాళళతో రసం ఎలా తీసతారో చూడాలి.
नहीं बताऊँगी कि वह किसने लिखा,	ఎవరు ఏమి రాసారో చెపపను,
उसके कोई मायने नहीं हैं, लूसी.	దానికి అరథం లేదు, లూసీ.
मुझे याद नहीं उसका कयू कया था.	ఆమె కయూ నాకు గురతులేదు.
इसमें शहर की एक रात का किससा है जिसमें तुम. . .	అది ఊరిలో నీ ఒక రాతరి గురించి కథగా--
हमने तुमहारा वह नया पहलू पहले कभी नहीं देखा था.	నీలో మేము ఎవరూ చూడని కొతత కోణం ఉంది.
कोई निजी सहायक रोज तुमहारा नाशता नहीं लेकर आता?	రోజూ నీ పీఏ అలపాహారం తెచచివవటం లేదా?
तुम कहाँ थे, कयूबन बेवकूफ?	ఇపపటిదాకా ఎకకడ చచచావు, కయూబా వెధవ?
हाँ, मैं हालात समझ रही हूँ, और यह कोई मजाक नहीं है.	తెలుసు, ఏమి జరుగుతోందో, అది తమాషా కాదు.
कलपना कर रही हूँ.	నేను చూడగలను.
-लूसी. -जरा रुको.	-లూసీ. -ఉండు.
वह मेरा सुझाव था.	అది నా ఆలోచన.
-लूसी? -यहाँ हूँ.	-లూసీ? -ఇకకడ.
सब ठीक तो है?	అంతా బాగానే ఉందా?
किसे फोन किए हैं?	ఫోనలు ఎవరికి?
उनहोंने आपको बताने को कहा.	మీరు తెలుసుకోవాలనుకుంటారని అననారు.
पर अगर कहानी मेरे नाव पर ताश खेलने को लेकर नहीं है. . .	కానీ అది నేను పడవలో పేకాడటం గురించెతే. . .
-हाँ. -गुड मॉरनिंग, मैं लूसील बॉल हूँ.	-ఆ. -శుభోదయం, నేను లూసీల బాల.
मैंने समिति के सभी सदसयों को फोन किया.	కమిటి సభయులందరికీ కాల చేసాను.
विव को एथल के अनाकरषक होने का मजाक उडाया जाना पसंद नहीं है.	ఎథెల బాగోలేదని చెపపే జోకులు వివకు నచచటం లేదు.
तो परिचय पूरा हो गया?	పరిచయాలు అయయాయా?
एक हफते में, तुमहारे तुरही वादक के मुकाबले	ఒక వారంలో నినను నీ టరామబోన పలేయర
आप उनहें रिकी रिकारडो के रूप में जानते हैं, पेश हैं डेसी आरनेज!	అతను రికీ రికారడోగా తెలుసు, డెసి అరనాజకు సవాగతం!
मुझे लगता है तुमहें यह डाइटिंग बंद करनी चाहिए.	నువవు చేసే ఆ డెట మానెయయాలనుకుంటాను.
बोलो जी-एच-ओ-एस-टी.	జీ-హెచ-ఓ-ఎస-టీ ఏమవుతుంది.
और किसी ने खबर नहीं छापी.	ఎవరూ పటటించుకోలేదు.
कि रिकी मानता है कि लूसी वाकई नहीं जानती कि वह है?	తెలియదని రికీ నమముతుననాడని మనం నమమాలా?
-गुड मॉरनिंग, डेस. -हैलो.	-శుభోదయం, డెస. -హే.
उसे कमी नहीं खलनी चाहिए. हम एक ही घर में रहते हैं.	మేము ఒకే ఇంటలో ఉంటాము, మిస కానకకరలేదు.
-होजे? -नहीं, यह मैं हूँ!	-హోసే? -కాదు, నేను!
तुम हालात को समझ रही हो, जानती हो यह कोई मजाक नहीं है?	ఇకకడేమి జరుగుతోందో తెలుసా ఇది తమాషా కాదు.
रिकारडो परिवार की बैठक में इतनी बडी कुरसियाँ कहाँ हैं?	రికారడోల హాలలో ఈ పెదద కురచీలు ఎకకడుననాయి?
पता है, मैंने सकरिपट पढी है और मैं बहुत खुश हूँ, लूसी.	సకరిపట చదివాను. చాలా సంతోషంగా ఉంది, లూసీ.
मुझे मॉडलिंग का कुछ काम मिला.	మోడలింగ పని దొరికింది.
तुमहें मेरा जवाब पसंद आया था.	నా జవాబు నీకు నచచింది.
और लातीनी संगीत का इतिहास भी.	లాటిన సంగీతానిది కూడా.
रेडियो में कोई बुराई नहीं है.	రేడియో ఏమీ తకకువ కాదు.
पर वह फैसला मैं नहीं ले सकती.	కానీ నిరణయం నాది కాదు.
हर हरकत साफ जाहिर होनी चाहिए.	పరతీ కదలికా బాగుండాలి.
उसके बजाय तुमने उसे मुखय किरदार होने का भरोसा दिलाना चाहा.	కానీ నువవు అతనికి టెటిల పాతర అని మభయపెటటావు.
सीन सपषट होना चाहिए. अगर कुछ भी डालेंगे, तो मजाक खतम हो जाएगा.	ఇది పొందికగా ఉండాలి. ఏదెనా జరిగితే, తమాషా కాదు.
आज रात यहाँ डिनर पर कौन आ रहा है?	భోజనానికి ఎవరం వసతుననారు?
और जिसका अंत बचचे के जनम पर होगा.	బిడడ పుటటటంతో ముగుసతుంది.
मैंने समिति के अधयकष को फोन किया.	కమిటీ చెరమనకు ఫోన చేసాను.
जब मैं कहूँ "मैंने तुमहारा साथ देने के लिए एक जवान औरत को बुलाया है, "	"నీకు తోడుగా ఉండమని ఒక యువతిని అడిగాను" అని నేనపపుడు,
तुम किस बेसबॉल खिलाडी की बात करते हो?	నువవు అనే బేసబాల పలేయర ఎవరు?
-अगर मरना ही है. . . -तुम नहीं मरोगी.	-నేను చనిపోతే. . . -చనిపోవు.
जो बहुत अजीब बात थी. लूसी और मैं करीब थे.	అది అసాధారణం, లూసీ నేనూ ఆపతులం.
तुम अपनी आवाज का अचछा इसतेमाल कर सकती हो.	నీ గొంతుతో నువవు చాలా చెయయొచచు.
"लगता है मैं अपना अभिमान यूँ ही खो दूँगी?	నా అహం పకకన పెడతాను అనుకుననావా?
पर लगता है इन दोनों ने मुझसे बाजी मार ली.	వీరిదదరూ ఆ పని చేసేసినటటుననారు.
संसद की गैर-अमरीकी गतिविधियों की समिति की	హౌస అన-అమెరికన కారయకలాపాల కమిటీ
मैंने कितने साल छोटे-मोटे रोल करके बिताए हैं,	ఊరికే ఫరేమలో కనబడి ఏదో చెతత చెపుతూ
. . . अगले रविवार रात को इसी समय फिर मिलेंगे. . .	. . . వచచే శనివారం ఇదే సమయం వరకు. . .
-ऐसा नहीं. . . मैंने बहुत कुछ लिखा जो. . . -नहीं.	-అది కాదు-- నేను చాలా రాసాను-- -లేదు.
-पकका यह कोई मजाक नहीं है? -यह मुशकिल कारोबार है.	-ఇది తమాషా కాదా? -ఇది కషటమెన వయాపారం.
मैंने कहा आज रात के शो तक सब निपट जाएगा.	సపషటంగా చెపుతుననాను. షో నాటి రాతరికి అంతా అయిపోతుంది.
दूसरों के सामने मुझसे यूँ बेअदबी नहीं कर सकती. यह मेरा शो है.	అందరి ముందు నామీద దౌరజనయం చెయయలేవు. నా పరదరశన.
बढिया, कयोंकि अगर मेरा लिखा ठीक करेंगे, तो जयादा नहीं बचेंगे.	మంచిది, ఎందుకంటే మళళీ రాసతే పెదదగా ఏమీ మిగలదు.
और मैंने किसी और को एक और फोन किया और शायद वह अभी लाइन पर ही हैं.	ఇంకొక ఫోన చేసాను, అతనింకా లెనలోనే ఉననాడనుకుంటాను.
लूसी फूलों की काट-छाँट कर रही होती है. रिकी दरवाजा खोलकर अंदर आता है.	పరసతుతం, లూసీ పూలు కతతిరిసతోంది. రికీ లోనికి వసతాడు.
आय लव लूसी? छह करोड दरशक थे.	ఐ లవ లూసీ? ఆరు కోటలు.
सकरीनपले पठन	టేబుల రీడ
यह बकवास है.	ఇది చెతత.
सुबह के 10: 00 बजे हैं, विवियन, तो, हाँ.	ఉదయం 10: 00, వివియన, తపపకుండా.
-मेरी बीवी से ऐसे बात मर करो. -वरना मुझे मारोगे?	-నా భారయతో అలా మాటలాడవదదు. -కొడతావా?
जेस, तुम बोलना शुरू करो.	జెస, ఇది నీ సటేజి.
और यहाँ इसलिए नहीं था कयोंकि डैनी थॉमस का निरदेशन कर रहा था.	డానీ థామస దరశకతవం వహిసతుననందున ఇకకడకు రాలేదు.
मैं यह नहीं समझी कि इतने छोटे घर में	కానీ నాకు అరథంకానిది ఏమిటంటే, ఈ సెజులో ఉనన ఇంటలో
तुमहें लूसी कह सकता हूँ?	లూసీ అని పిలవొచచా?
एक गुसताख सवाल पूछूँ?	నేను అసంబదధమెన పరశన అడగవచచా?
कि हम इस शो का आखिरी एपिसोड कर चुके हैं.	షో ఆఖరి ఎపిసోడ ఇపపటికే చేసాము.
अरे. मत करो.	హే. వదదు.
मैं यह बिलकुल नहीं कहने वाला था.	నేను అలా చెపపాలనుకోలేదు.
-यह सुनो. -रिकी को आईआरएस वाला मिलने आता है.	-ఇదుగో. -రికీ కోసం ఐఆరఎస వసతుంది.
-तुमहें कितनी बार समझाना होगा? -वह मजाक बहुत हो गया.	-ఎననిసారలు చెపపాలా? -ఈ జోక భలే ఉంటుంది.
मेरे दल में.	నా వాళళు.
डेसी का काम सुबह करीब 4: 00 बजे खतम होता था.	డెసి పని ఉదయం 4: 00కు అయిపోతుంది.
जब तक तुम सुलह नहीं कर लेते.	నువవు రాజీ పడితే తపప.
देखो, हम 37 एपिसोड बना चुके हैं.	చూడు, 37 ఎపిసోడలు చేసాం.
जी, मैडम.	అలాగే, మేడం.
बारिश हो रही है. तुमहारे बाल ठीक रहेंगे?	వాన పడుతోంది. నీ జుటటు పరలేదా?
सातों अखबारों में से किसी में भी	ఆ ఏడూ వారతాపతరికలలో నేను
रिहरसल पर रौब कयों जमा रही हो? तुम ऐसा उसके सामने कर रही हो.	రిహారసలస ఎందుకు నడుపుతుననావు? అదీ అతని ముందే.
वह कहाँ छुपा था?	ఎకకడ దాచావు?
जानती हो कि बैटान भी हिट थी.	బటాన కూడా హిట అయింది.
शो के दौरान तुम फलोर पर रहोगे, है न?	షో సమయంలో అకకడే ఉంటావు కదా?
"रिकी को फोन करके उससे माफी कयों नहीं माँग लेती?	రికీకి ఫోన చేసి కషమాపణ చెపపవచచు కదా?
-उसे भी बुला लिया? -मैं डिनर सीन फिर से सटेज कर रही हूँ.	-ఆమెనూ రమమననావా? -భోజనాల బలల మళళీ చేసతాను.
उसने उसके बालों को नया रंग दिया.	ఆమె జుటటుకు రంగు వేసాడు.
उसका कया मतलब? मैंने कहा एक खुशखबरी है और तुमने कहा. . .	అంటే? నేను శుభవారత అనగానే నువవు అనాలి. . .
सीबीएस टेलीविजन.	సీబీఎస టీవీ.
रुके हैं?	వేచి ఉండటమా?
वैसे भी वे सुबह पढ ही लेंगे.	ఎలాగూ ఉదయం చదువుతారు.
कोई शक नहीं कि डिनर सीन बेहतर हो गया है.	విందు సీన చాలా బాగా కుదిరింది.
नहीं, मैंने नहीं की.	లేదు, చెయయలేదు.
कोशिश भी करूँ तो डॉनलड की भावनाओं की परवाह नहीं होगी. वह नाकारा है.	డోనాలడ భావాలు నాకు పూరతిగా అనవసరం. పనికిమాలినవాడు.
-लूसील कहलाना पसंद है या लूसी? -लूसी ठीक है. मतलब दोनों चलेंगे.	-లూసీల అనాలా, లూసీనా? -లూసీ చాలు. ఏదెనా పరలేదు.
रिकी दबे पाँव पास आकर उसकी आँखों पर हाथ रखता है और कहता है. . .	రికీ మెలలగా వచచి, ఆమె కళళు మూసి ఇలా అంటాడు. . .
हाँ. खाने के लिए नहीं, बस यूँ ही सब जानवर मार डाले.	అవును. తినడానికి కాదు, ఊరికే చంపేశారు.
सोमवार को इसका जिकर किया था. कुछ नया नहीं लिखा गया.	సోమవారం తీసుకొచచాను. కొతత పేజీలు లేవు.
-सही कहा, बढिया लग रही हो. -वह एक सटाफ लेखक है.	-నిజమే, బాగుననావు. -ఆమె సటాఫ రచయిత.
-मुझे बढिया लग रहा है. -यह एथल के लिए सही नहीं.	-నాకు బాగుంది. -ఎథెలకు మంచిది కాదు.
पर तभी तक, जब तक वह जमीन के इस हिससे में रहेगी.	కానీ ఈ కొదది నేలపె ఉననపపుడు మాతరమే.
-फिर से कहो. "डेसी, तुमने सही कहा. " -नहीं.	-"డెసి నిజం చెపపావు" అను. -లేదు.
हम जिगरी सहेलियाँ हैं. मैं लडना नहीं चाहती.	మనం పరాణ సనేహితులం. పోటలాడుకోము.
वह बुधवार को नाव पर ताश खेल रहा था. . .	బుధవారం పడవలో పేకాడుతుననాడు--
-और डेसी मुडकर कहता है. . . -"पाखंडी! "	-డెసి లేచి అంటాడు-- -"కపటి! "
ऐययाश बॉनगो बजाने वाले.	డపపు కొటటుకునే తిరుగుబోతు వెధవ.
आप जरा इस बात को समझें.	ఇకకడ మీరు ఒకటి అరథం చేసుకోవాలి.
ताकि परेस वाले दरशकों को तुमहारे लिए तालियाँ बजाते देखें. हाँ.	వారు నీకు కరతాళధవనులు చెయయటం విలేఖరులు చూడాలి.
और फिर उसके सात और हफतों बाद मैं फरेम में पूरी नहीं आऊँगी.	ఆ తరువాత ఏడు వారాలకు నేను ఏ ఫరేమలో సరిపోను.
मजाक तुमने किया, मैंने. . .	నువవు చేసావు, నేను--
"लूसी उसे अनदेखा करती है. "	"లూసీ పటటించుకోదు. "
मैंने बस कुछ नाशता भेज. . .	అలపాహారం పంపించాను--
-मेरा एक सुझाव है. -मुझे दल को मुआवजा देना पड सकता है.	-నాకో ఆలోచన ఉంది. -భతయం వేళ అయయేలా ఉంది.
कयोंकि तुमहारे किरदार का पहले वाला वजन होना चाहिए.	నినను తీసుకుననపపుడు ఉనన బరువే ఉండాలి.
"तुमहें लगता है कि मैं अपना अभिमान यूँ खो दूँगी? "	"నా అహం పకకన పెడతాను అనుకుంటుననావా? "
शुरुआती सीन में बगीचा कैंची चाहिए.	మొదటి సీనలో మొకకల కతతెర కావాలని పరాపసకు చెపపు.
कितने लोग यह जानते हैं?	ఎంతమందికి తెలుసు?
इसमें थोडी सचचाई तो है.	అవును, అది నిజమే.
उनसे कहो, मैंने कहा है.	నాకోసం అని చెపపు.
मैंने आरकेओ के लेखकों पर मजाक किया और. . .	ఆరకేఓలో రచనల గురించి జోక ఇంకా--
तुमने कहा, "तुमहें जयादा चिंता होगी. . . " और मैंने बात काट दी. विंचेल के परसारण की?	"ఇంతకంటే కంగారు--" అననపుడు అంతరాయం కలిగించాను. వించెల పరసారమా?
तुमहारी फिलमों के 39 साल के दरशक नहीं हैं?	39 ఏళల వాళళు మీ సినిమాలు చూడరా?
हम सब तनाव में हैं.	టెనషనలో ఉననాం.
उनके इसे मंजूर करने की कोई उममीद नहीं.	వాళళు ఒపపుకునే అవకాశమే లేదు.
विवियन के अंदर आने से फिर शुरू करेंगे.	వివియన రాకకు ముందుకు వెళదాం.
-तुमहें कया हो गया है? -मुझे बहलाओ मत.	-ఏమి జరుగుతుంది? -మభయపెటటకు.
तो तैयार रहो. घंटी.	సరే మరి. బెలస.
तो वे एक दूसरे के बाल नोंच रहे थे या कपडे फाड रहे थे.	ఒకరిపె ఒకరు పిచచికోపంతో రగిలిపోయుంటారు.
नहीं. मैं वापस लौटकर शुरुआत में रिकी के परवेश को लेकर	లేదు. నేను మళళీ చూసాను రికీ రాక గురించి
पूछोगे कि मैंने शादी कयों नहीं की?	పెళలి ఎందుకు చేసుకోలేదనా?
इस सब बकवास के लिए यह सही हफता है?	ఈ చెతతకు ఈ వారం సరెనదేనా?
पर वह फिर भी कयूबन ही है.	కానీ దానరథం అతను కయూబన కాడని కాదు.
मैं इस सकरिपट से हटकर एक भी शबद नहीं सुनना चाहता.	కథలో లేని ఒకకమాట కూడా వినిపించకూడదు.
कयों न तुम शो देखने के लिए कलब जयादा बार आया करो?	షో చూడటానికి నువవు కలబకు రావచచు కదా?
आज सोचूँ तो, शायद मकसद लूसी का अपमान करना था.	ఆలోచిసతే, అది లూసీని కించపరిచేదే.
तुमहारा मंगेतर?	కాబోయేవాడా?
नहीं. कॉनफीडेंशियल वाली कहानी.	లేదు. కానఫిడెనషియల కథ.
यहाँ जो कहते हैं, वह सभी लिखने की जरूरत नहीं.	ఇకకడ చెపపే పరతీదీ రాసుకోనకకరలేదు.
एक खूबसूरत इतालवी लाल बालों वाली लडकी जो. . .	ఆ పాతర అందమెన ఇటాలియన అమమాయి. . .
वे बाकी के साल हमारा शो हटाने के लिए आजाद हैं	వారు మనలని పరసారం చెయయకుండా ఆపేసి
कया मसती भरा है	ఎంతో ఘాటుగా
हाँ, किसी भी पल करने वाली हूँ.	ఏ కషణమెనా చేసుకుంటాను.
"अगर अगले एपिसोड से वे यह भी नहीं बताते कि हमें कया करना है.	వచచే ఎపిసోడ నుండి ఏమి చెయయాలో వారే చెపుతారు.
कुछ समय के लिए.	ఒకక నిమిషం.
नंबर दो पर हैं.	రెండవ పెదద.
समझ सकता हूँ तुमहें अभी कया लग रहा होगा. सैंकडों बार यह बातचीत कर चुका हूँ.	నీకెలా అనిపిసతుందో తెలుసు. ఈ సంభాషణ 100సారలు చేసుంటాను.
-कया? -तुमने सही सुना.	-ఏమిటి? -ఆమె చెపపింది విననావు.
बडे लाल अकषरों का मतलब जैल-ओ समूह	ఆ పెదద ఎరర అకషరాలు జెల ఓ కుటుంబానని సూచిసతాయి
बडे लाल अकषरों का मतलब जैल-ओ समूह	ఆ పెదద ఎరర అకషరాలు జెల ఓ కుటుంబానని సూచిసతాయి
मैं नाव पर ताश खेल रहा था. और मुझे उन पर गुससा आ रहा है.	నేను పడవలో పేకాడాను. వారిపెన కోపంగా ఉంది.
पर जयादातर मामलों में, रुकावट उसके पति की इजाजत होती है.	కానీ ఎననోసారలు ఆ అడడంకి ఆమె భరత అంగీకారం.
मैं आपके आदर के लिए आभार जताना चाहती हूँ.	గౌరవానని ఎంతో అభినందిసతుననాము.
मैडेलिन को दूसरे एकट के लिए मजाक मिला है.	రెండవ అంకంలో మయాడలిన జోక ఉంది.
-अपना-अपना काम करते हैं. -घूँसा मारकर उसका चेहरा लहूलुहान कर दूँगी.	-మనం మన పని చేదదాం. -రకతం వచచేదాకా అతనని కొడతాను.
-डिनर पारटी के लिए. -कहाँ?	-విందు కోసం. -ఎకకడ?
अभी उससे फरक नहीं पडता. हमें "डेसी" पर वापस आना. . .	అది ఇపపుడు అపరసతుతం. మనం వెనకకు"డెస"--
इनके पास टेलीविजन नहीं है.	వారి వదద టీవీ లేదు.
द बिग सटरीट यैंकीज टीम है.	ద బిగ సటరీట యాంకీస.
जिनहें तुम कतई नहीं देखोगी	ఒకక పెసా ఇచచి చూడవు
हमारी तरह वह भी नहीं समझता कि लूसी का धयान उस पर कयों नहीं गया.	లూసీ అతనని ఎందుకు చూడటం లేదో అతనికి అరథం కాదు.
बात साफ करने के लिए शुकरिया, परोफेसर.	వివరణకు ధనయవాదాలు, పరొఫెసర.
-बहुत सारी रुकावटें थीं. -बिलकुल सही.	-ఎననో అడడంకులు. -అది నిజమే.
-वाकई? -सच कह रही हूँ.	-నిజంగా. -అవును.
या कुरसी के पीछे रहना.	వెనుక నిలబెటటటం.
-मैं कया. . . -पता है.	-నేను-- -తెలుసు.
और यह मेरी काबिलियत की शुरुआत है.	ఇంకా అది కేవలం పరారంభమే.
उसे ठीक करना जरूरी था.	దానని సరిచేయాలి.
यह अचछा है.	బాగుంది.
-सच में? -दोसतो?	-నిజంగానా? -మితరులారా?
-ठीक है, दोसतो. -चलो शो करते हैं.	-సరే, అందరూ. -షో చేదదాం.
"लूसी जैसी सुडौल, लाल बाल वाली हसीना के घर पर इंतजार करते हुए,	"అందమెన ఆకరషణీయమెన లూసీ అతని కోసం వేచి ఉండగా,
तो गलास को शारीरिक कॉमेडी की हरकतों की समझ नहीं है.	భౌతిక కామెడీ కలిషటత గలాసకు అరథం కాదు.
-बहुत से तो नहीं कहूँगा. -मैं तो कहूँगी.	-చాలా అనను అనుకుంటాను. -చాలా.
-माफ कर दो. -कभी-कभी लगता है कि तुम. . .	-కషమించు. -కొననిసారలు నువవు--
तुमहारे पास लगभग सात हफते हैं	ఇంకా ఏడూ వారాలు ఆగితే
पर तुम वैसा नहीं करोगी, है न?	కానీ అలా చెయయవు, కదా?
-कोई बात नहीं. -कोई बात नहीं.	-ఏమి లేదు. -ఏమి లేదు.
तो, फिर से मेरा सवाल है, जेस,	నా పరశన ఏమిటంటే, జెస,
-बताओ. -कयों लगता है,	-నిజం చెపపు. -ఆ చెతత కాకుండా,
अरे, थोडा आराम से.	తసమాత జాగరతత.
वह तसवीर पिछली गरमियों में ली गई थी.	ఈ ఫోటో గత వేసవిలో తీసింది.
कब पता चलेगा?	ఎపపుడు తెలుసతుంది?
-बढिया? -हाँ.	-మంచిగానా? -అవును.
"मैं आपको एक बात समझाना चाहता हूँ. "	"మీరు ఒకటి తెలుసుకోవాలి. "
हम इस हफते की सकरिपट पर काम करके थक गए हैं.	ఈ వారం కథపె పనిచేసి అలిసిపోయాం.
