पहला खिलाडी हेंक रॉजरस	మొదటి పలేయర హెంక రాజరస
कोई तो धोखा दे रहा है.	ఎవరో మిమమలని మోసం చేసతుననారు.
मि. सटाइन, पलीज. रुको.	మిసటర సటెన, ఒకక నిమిషం ఆగండి.
जो सिरफ एक आशय पतर है जो कल समापत हो गया था.	కేవలం లెటర ఆఫ ఇంటెంట మాతరమే, దాని గడువు నిననే తీరిపోయింది.
लेकिन अचानक कहीं से एक पिरानहा पौधा निकलता है और आप पर आग उगल देता है?	ఒక కలుపు మొకక బయటకు వచచి మన మీదకు విషం కకకుతుంది కదా.
फिर भी सुनने में तुम अमेरिकी लगते हो.	కానీ మీరు అమెరికన లా ఉననారే.
वह कहता है कि कल नौ बजे आना.	రేపు తొమమిది గంటలకు రమమని చెపతుననాడు.
मुझे उसकी पूरी जानकारी लाकर दो.	అతని గురించి అననీ తెలుసుకొని, నాకు చెపపు.
कया तुमने कभी सोविएत संघ के साथ बातचीत की है?	ఎపపుడెనా సోవియెటలతో చరచలు జరిపారా?
मैं नहीं चाहता मेरा पीछा किया जाए.	కారులో వసతే ఎవరెనా ననను ఫాలో అయయే అవకాశముంది.
इसका कोड पासकल में लिखा है या सी में?	దీని కోడింగ కి పాసకల ఉపయోగించారా, లేకపోతే "సీ"నా?
तुम जानते हैं कि हम उन कमीनों से कितनी नफरत करते हैं.	ఆ సననాసులంటే మాకు పడదని మీకు తెలుసు కదా.
यह साबित करते हुए कि मैंने तुमसे चोरी नहीं की.	నేనేం మీ నుండి దొంగిలించలేదని దానని బటటి మీకు తెలుసతోంది కదా.
-भाड में जाओ. डील पर दसतखत करो. -अनुबंध की शरतों को पूरा करो.	-నోరమూసుకొని సంతకం చేయ. -ఒపపందానని నెరవేరచండి.
कया तुमहारे पास इस वीडियो गेम के अधिकार हैं?	నీ దగగర వీడియో గేమ హకకులు ఉననాయా?
शुरू हुआ था.	శరీకారం చుటటాడు.
पाँच लाख?	అయిదు లకషలా?
हाँ.	హా.
जो हम दोनों के लिए बहुत अचछा है.	దాని వలల మనిదదరికీ మేలే.
ठीक है	సరే మరి.
हाँ.	హా.
मि. रॉजरस, मुझे लगता है हमें गायब हो जाना चाहिए.	మిసటర రాజరస, మనం వెంటనే వెళలిపోవాలి.
हाँ.	హా.
मुझे अंदाजा है.	ఐడియా అయితే వచచింది.
"टेटरिस" का आविषकारक.	"టెటరిస"ని సృషటించింది ఈయనే.
बस फोन करना.	కాల చేయండి చాలు.
मुझे इसकी जरूरत होगी. केवल इसकी.	నాకు ఇది అవసరం. ఇదొకకటే.
हाँ.	హా.
-चुप रहो. जाओ. -कया. . .	-ఏమీ మాటలాడవదదు. పదండి. -ఏం. . .
मेरे होटल का कमरा उलट-पुलट किया जाता है,	నా హోటల గదిని గులలగులల చేశారు,
उनसे कहो यह जरूरी है.	ఇది చాలా ముఖయమెనదని చెపపండి.
उसे पता चल जाएगा कि कया करना है.	ఏం చేయాలో అతనికి తెలుసు.
"हेंक, एलोरग और मिररसॉफट झूठ बोलते हैं.	"హెంక, ఎలారగ ఇంకా మిరరర సాఫట వాళలు అబదధాలాడుతుననారు.
कुरसी?	కురచీయా?
लेकिन ऐसा नहीं होगा.	కానీ అలా జరగదు.
तो, तुम देखना चाहते हो नए गेम.	అయితే, మీరు కొతత గేమస ని చూడాలని వచచారా?
बाहर जाओ.	బయటకు వెళలు.
{\an8}गिरफतार किया गया था और उसने दिवालिया घोषित कर दिया.	{\an8}కెవిన మయాకస వెల ని అరెసట చేశారు, వారి సంసథ దివాళా తీసినటటు పరకటించారు.
टीवी काम नहीं करता है. वीडियो काम नहीं करता.	టీవీ పని చేయదు. వీడియో పని చేయదు.
हाँ, और आठ किलोबाइट इंटरनल रैम के साथ 4. 19 मेगा-हरटज पर	అవును, అలాగే దీని చిప, షారప LR35902 కోర, ఫరీకవెనసీ వచచేసి 4. 19 మెగా హెరటజ,
-मुझे नहीं लगता कि वह समझ पाया. -हाँ, मैं देख सकता हूँ.	-ఆయనకి అరథమెనటటుగా లేదు. -హా, తెలుసతోంది.
नहीं, यह. . . असल में, एक से सरवशरेषठ के पैमाने पर,	లేదు. . . దానికే కనుక రేటింగ ఇవవాలంటే,
-कया? -दोसतों, वैलेनटिन और उसके आदमी आ रहे हैं.	-ఏంటి? -సెనయం దిగుతోంది, మితరులారా.
जिसे इलेकटरोनोरगटेकनिका नाम से भी जाना जाता है. यह एक सरकारी निकाय है.	ఎలకటరానోరగ టెకనికా అని కూడా అంటారు. అది పరభుతవ సంసథ.
नहीं, यह सच नहीं हो सकता. देखो. . .	అది నిజం కాదు. చూడండి. . .
-वे कहाँ हैं? -गए, बेवकूफ.	-వాళలు ఎకకడ? -వెళలిపోయారరా, సననాసీ!
मुझे तुमहारे पैसे पर भरोसा नहीं है.	నీ డబబుపె నాకు నమమకం లేదు.
अगला पडाव है मॉसको गो कलब.	తరవాత, మాసకో గో కలబబుకు వెళతుననాను.
यह मेरे लिए बहुत मायने रखता है.	నాకు చాలా ఆనందంగా ఉంది.
तुमहारे बचचे सुंदर हैं.	మీకు చాలా అందమెన పిలలలు ఉననారు.
नहीं. यह सरपराइज है.	లేదు. సరపరెజ చేదదామని వచచా.
निनटेंडो. इससे हम बहुत सारे पैसे कमा सकते हैं.	నింటెండో మనలని సంపననులని చేసతుంది.
अगर तुम गए, तो हम तुमहारी रकषा नहीं कर पाएँगे.	మీరు వెళతే, మిమమలని మేము కాపాడలేం.
उनहें अलग रख दें.	వాళలని అససలు కలవనివవదు.
उनकी कीमत कया है?	వాటి విలువ ఎంత ఉంటుంది?
-हाँ! -हो ही नहीं सकता.	-హా! -అది అసాధయం.
फिर से कमबखत तुम?	మళలీ నీ పని చెపపడానికా?
-नहीं. -तीन गुना.	-లేదు. -మూడింతలు చేసతా.
-यातरा का कारण? -मैं एक परयटक हूँ.	-పరయాణానికి కారణం చెపపగలరా? -నేను యాతరికుడిని.
"नहीं, " मतलब तुमहें नहीं पता, या "नहीं, " मतलब तुम नहीं. . .	అంటే, మీకు తెలీదనా, లేకపోతే మీరు చెపపరనా. . .
कैविन मैकसवेल.	కెవిన మయాకస వెల ని.
हम कॉलेज में मिले, हवाई में,	మేము హవాయిలోని ఓ కాలేజీలో కలుసుకుననాం.
फिर मैंने तुमहारे पति का गेम देखा. . .	అకకడ మీ భరత గేమ ని చూశా. . .
कयोंकि सच कहूँ तो, मेरे पास पैसे नहीं बचे.	నిజాయితీగా చెపపాలంటే, నా దగగర అంత కననా ఎకకువ డబబులు లేవు.
हम उनहें विशवकोश दे रहे हैं.	ఎన సెకలోపీడియాలకు హకకులు ఇసతుననాం కదా.
वे ऐसे बाजार में कयों भरोसा रखेंगे. . .	అలాంటపపుడు ఎందుకు వాళలు ఆ మారకెట హకకులని కొనాలని. . .
पूरवी यूरोप में सीमाएँ खोली जा रही हैं.	తూరపు యూరప లో సరిహదదులు తెరిచి ఆహవానాలు పలుకుతుననారు.
कया तुमहें लगता है यह पायरेटेड है?	ఇది అకరమ కాపీ అయయుండవచచా?
शुकरिया. बहुत-बहुत धनयवाद. धनयवाद.	థయాంకస. చాలా చాలా థయాంకస.
ठीक है? ठीक है.	సరేనా? సరే.
उसे कहो कि मैंने इस गेम में अपना सब कुछ दाँव पर लगा दिया है.	నాకుననదంతా ఈ ఆట మీదే పెటటానని ఆయనతో చెపపండి.
फरक कया है?	తేడా ఎకకడ ఉంది?
-कुतते के बचचे.	-నీ యెంకమమ.
यह परोटोकॉल है.	అదే విధానం.
यह परोटोकॉल है.	అది విధానం.
सूचनाओं का आदान-परदान.	సమాచారం ఇచచిపుచచుకోవడం అననమాట.
हेंक रॉजरस अब कहाँ है!	హెంక రాజరస ఇపపుడు ఎకకడ ఉననాడు?
जो तुमहारे नौकरशाहों में हेरफेर कर रहा है	ఇపపటికే నా కంపెనీకి హకకులు ఉనన
तुमहारे नए घर में तुमहारा सवागत है, दोसत.	మీ కొతత ఇంటికి సవాగతం, మితరమా.
सहायता. संजञा. तनाव के समय में सहायता.	తోడపాటు అననాను. ఒతతిడిలో ఉననారు కదా సాయం కావాలా అని.
और वह मेरी पतनी, अकेमी है.	తను నా భారయ, అకెమీ.
मि. रॉजरस? अंतरराषटरीय फोन तैयार है. तुमहारे पास तीन मिनट हैं.	మిసటర రాజరస? అంతరజాతీయ కాలస చేసుకొనే ఫోన సిదధంగా ఉందండి. మూడు నిమిషాలు మాటలాడుకోవచచు.
हाँ, यह हमारा सबसे अचछा बरांड है.	అవును, అది మా టాప బరాండ.
पहली नजर में रूस से पयार होना मुशकिल है.	రషయా మొదటలోనే నచచే దేశం కాదు.
तुमहें कैसे पता चला हमें कहाँ ढूँढना है?	మేమెకకడ ఉంటామో నీకెలా తెలుసు?
कया तुम इन लोगों को जानते हो?	వీళలెవరో మీకు తెలుసా?
देरी के लिए माफ करना.	ఆలసయంగా వచచినందుకు కషమించండి.
ऐसा नहीं सोचा था. यह रहा. यहाँ हमारा परसताव है.	ఇవవలేదు అనుకుంటా. మా ఆఫర ఇదుగోండి.
तो मैं तुमहारे विशववयापी हैंडहेलड अधिकार खरीदना चाहूँगा. आज.	అలా అయితే, మీ పరపంచవయాపత హయాండ హెలడ హకకులని నేను కొనాలనుకుంటుననాను. అది కూడా ఇవాళే.
अंदर का कमरा.	ఇది అంతరగత పరదేశం.
नहीं, मैं उनहें खुद बताना चाहता हूँ.	లేదు, నేనే నేరుగా చెపతాను.
कयोंकि मुझे नहीं पता कया तुमहें कया पता है,	ఎందుకంటే మీకు తెలుసో లేదో కానీ,
मैं सौदे के बिना घर नहीं जा रहा हूँ.	ఒపపందం లేకుండా నేను మా దేశానికి వెళలే పరసకతే లేదు.
कया तुम हमें एक दूसरे के खिलाफ कर रहे हो?	మా ఇదదరినీ పోటీ పడేలా చేసి, మీరు లాభం పొందాలనుకుంటుననారా?
मेरे पुराने साथी, मिखाइल गोरबाचेव को गरव होगा.	ఈ విషయం తెలిసతే నా పాత మితరుడు, మిఖాల గొరబచవ గరవంతో పొంగిపోతాడు.
मि. बेलिकॉव, मैं यूरोप की सबसे बडी मीडिया कंपनियों में से एक चलाता हूँ.	మిసటర బెలకొవ, యూరప లో మా మీడియా కంపెనీ చాలా పెదదది.
{\an8}एंडरोमेडा से मिररसॉफट,	{\an8}ఆండరోమెడా, మిరరర సాఫట కి ఇచచింది,
सोविएत संघ से सवतंतरता की माँग करते हुए	ఎసటోనియనలు నిరసన బాట పటటారు,
मैं बस. . . तुमहें बस समझने की जरूरत है	మనం. . . మనం బాగా జీవించాలనే
{\an8}यह अब तक के सबसे लोकपरिय गेम में से एक बना हुआ है.	{\an8}చరితరలో అతయంత జనాదరణ పొందిన ఆటలలో ఇది కూడా ఒక ఆటగా ఇపపటికీ కొనసాగుతోంది.
खासतौर पर तुमहारे पिता के साथ जो हुआ उसके बाद.	మీ నాననకి ఏం జరిగిందో మరచిపోయావా?
तुमहारी माँ, नीना एक अंगरेजी शिकषिका हैं, हाँ?	మీ అమమగారు, నీనా ఇంగలీష టీచర కదా?
और उस जगह पर आने का जहाँ आप हार नहीं सकते.	కానీ ఇకకడ మీకు ఆ అవకాశమే లేదు.
एक परोगरामर के रूप में काम करता था.	పరోగరామర గా పని చేసేవాడు.
यह हमारा गेम नहीं है.	ఇది మా ఆట కాదు.
अचछा, वह ऐसा वयवसायी है जिस के साथ बैंक वाले हमेशा काम करना चाहते हैं.	అలాంటి వయాపారవేతతలంటే మా బయాంకులకి కూడా చాలా ఇషటం.
मुझे पता चला है कि तुमने अपने गेम का लाइसेंस पशचिमी देश को दे दिया है.	పాశచాతయ దేశాలకు మీ ఆటను లెసెనసుకు ఇచచారని విననాను.
सिएटल	సియాటిల
यह कहाँ से है?	అదెకకడిది?
कुछ नहीं होगा.	ఏం కాదులే.
वाह, वाकई?	వావ, నిజంగానా?
अननय परकाशन अधिकार हमारे कोलिएरस विशवकोश. . .	మా కొలియరస ఎన సెకలోపీడియాకి చెందిన పరతయేకమెన ముదరణా హకకులు. . .
शानदार.	సూపర.
बोलने की आजादी.	సవేచఛగా మాటలాడే హకకు.
भगवान का शुकर है तुम ठीक हो.	హమమయయ, మీకేం కాలేదు!
कयों?	ఎందుకు?
ओह, धत.	అబబా.
बेटा?	బంగారం?
सब ठीक है.	ఏం పరవాలేదులే.
ठीक है, बात ऐसी है कि हम पहले से ही जापान में सेगा को आरकेड लाइसेंस दे चुके हैं.	కానీ, ఆరకేడ లెసెనస హకకులని మేము జపాన లోని సెగాకి అమమేశాం.
वे तुमहारी बकवास डील या हमारी उचित डील चुन सकते हैं.	వాళలు మీ చెతత ఒపపందానని ఎంచుకోవచచు, లేదా మా నయాయమెన ఒపపందానని ఎంచుకోవచచు.
मॉसको एसवीओ से सैन फरांसिसको एसएफओ तक	మాసకో విమానాశరయం నుండి శాన ఫరానసిసకో విమానాశరయం వరకు
मैकसवेल अपने करज चुकाता है.	ఆయన, అపపులననింటినీ సకాలంలో చెలలిసతాడు.
मेरे पिता ने कहा था कि गोरबाचेव आएँगे.	గొరబచవ వసతారని నానన అననాడు.
मैं, मैं सटावरोपोल कराय से हूँ.	మా ఊరు సటావరొపోల కరాయ.
कयोंकि तुम एक खतरा हो.	ఎందుకంటే, మీ వలల పరమాదం కాబటటి.
मुझे लगता है कि मेरे पास कुछ है जो तुमहें चाहिए.	మీకు కావలసినది నా దగగర ఉందనుకుంటా.
अगले एक घंटे में कौन सी उडानें रवाना हो रही हैं?	తరవాతి గంటలో బయలుదేరే విమానాలేంటి?
तुम "टेटरिस" के लिए कया परसताव दे रहे हो?	"టెటరిస"కి మీరు ఏం ఇసతుననారు?
बढिया, कयोंकि तुमहें विशवास नहीं होगा मैं कल कहाँ था.	సూపర, ఎందుకంటే, నినన నేను ఎకకడికి వెళలానో చెపతే ముకకున వేలేసుకుంటావు నువవు.
लगभग तबाह करने के लिए जिममेदार है.	కలుసుకోవాలని ఇలా వచచాను.
उममीद है लंदन में अचछा समय बीतेगा.	లండన లో కులాసాగా గడపండి.
एलोरग. पता है, फोन नंबर?	ఎలారగ. మీకు ఫోన నంబర ఏమెనా తెలుసా?
यह असंभव है.	అది అసాధయమెన పని.
और लिवाइस के लिए धनयवाद.	ఇంకా లివెస జీనస ఇచచినందుకు థయాంకస.
-लेकिन हमारी बात खतम नहीं. . . -अभी!	-కానీ మన చరచలు పూరతి అవవలేదు కదా. . . -వెంటనే రండి!
कया तुमहें पता है वह इमारत कया है?	ఈ భవనం ఏంటో మీకు తెలుసా?
कृपया परसथान के लिए अपनी सीट ले लें.	దయచేసి మీ సీటలలో కూరచోండి, పరయాణానికి సిదధంగా ఉంది.
उप-शीरषक अनुवादक: सीपिका	సబ టెటిళలను అనువదించినది: రాంపరసాద
-चुप रहो. -कया. . .	-నిశశబదంగా ఉండండి. -ఏం. . .
और इसके नाम एक जाम.	అవి రావాలని కోరుతూ తాగుదాం.
नहीं. हम यहाँ "टेटरिस" के लिए आए हैं.	లేదు, "టెటరిస" కోసం వచచాం.
यह लाइन पहले सुनी है.	అలాగే ఇంతకు ముందు కూడా అననావు.
यह कया है?	ఇదేంటి?
और हम चाहते हैं कि तुम जैसे परकाशक नए गेमस की तलाश में रहें.	మీలాంటి పబలిషరలు కొతత ఆటలు మాకు అందించాలి.
हेंक, हम तुमहारे परसताव पर विचार करेंगे.	మీ ఆఫర ని పరిశీలిసతాం, హెంక.
ठीक है.	ఏం పరలేదు.
लेकिन कानूनी तौर पर,	కానీ చటటపరంగా,
यह कया है?	ఏంటిది?
आशय पतर में जोडा गया.	లెటర ఆఫ ఇంటెంటుకు జోడిసతుననాం.
यह कया है?	ఏంటిది?
जयूरिक जाने वाली उडान 702 अब सवार हो रही है.	జురిక కి బయలుదేరనునన 702 విమానానికి బోరడింగ ఇపపుడు పరారంభమెంది.
-तुम डेनिश हो? -हँ? नहीं, मैं डच हूँ.	-మీరు డెనమారక వారా? -హా, లేదు. నేను నెదరలాండస వాడిని.
शायद मैं मि. रॉजरस से पूछूँगा.	మిసటర రాజరస ని అడిగితే ఇంకా ఎకకువ ఇసతాడేమో.
हेंक, मि. बेलिकॉव चाहते हैं कि तुमहें पता चले कि उनहें तुम पर भरोसा नहीं है.	హెంక, నీ మీద తనకి నమమకం లేదని మిసటర బెలకొవ అంటుననారు.
मि. रॉजरस, बात करनी है.	మిసటర రాజరస, మీతో ఒక మాట చెపపాలి.
दरअसल, जहाँ मुझे असल में जाना है, वह एलोरग है.	నిజానికి, నేను ఎలారగ కి వెళలాలి.
-तुमहें एक मिलियन डॉलर कयों चाहिए है? -मैं कयों. . . "टेटरिस" के लिए.	-అంత డబబు ఎందుకు? -నాకెందుకా. . . "టెటరిస" కోసం.
वे जानते हैं कि "टेटरिस" बिकती है.	"టెటరిస" దవారా మంచి లాభాలు వసతాయని వాళలకి తెలుసు.
यह 160 गुणा 144 हैं. कयों?	160 x 144. ఎందుకు?
-अनुवादक. -धनयवाद.	-అనువాదకులు కావాలా? -వదదు.
कया मैं तुमहारे लिए डिनर खरीद सकता हूँ?	నేను మీకు డిననర ఇపపించవచచా?
तेज चलाओ!	వేగంగా నడుపు!
चलो! चलो!	వేగంగా నడుపు!
और पूरी तरह से तैयार अनुबंधों के बिना यहाँ वापस आने की जहमत मत करना,	ఒపపందాలననీ పకకాగా, పూరతిగా ఉంటేనే ఇకకడికి రండి,
मुझे पैक करना है. चलो, बचचों, साफ करो!	నేను వెళలి సరదుకోవాలి. కానివవండి, పిలలలూ. చకకగా సరదండి!
अब हम परसथान करने के लिए तैयार हो रहे हैं.	ఇంకాసేపటలో మనం బయలుదేరనుననాం.
माया, बचचे. मैं वादा करता हूँ कि मैं तुमहारे कॉनसरट के लिए घर आ जाऊँगा,	మాయా, బంగారం. నీ సంగీత పరదరశనకి ఖచచితంగా వచచేసతా,
कया तुम जानते हो मैं कौन हूँ?	నేనెవరో మీకు తెలుసా?
कुछ हासिल करने के लिए घर को गिरवी रखना पडेगा.	ఇంటిని ఒడడినవాడే విజేత అవుతాడు.
ओह, हैलो, कैविन.	హాయ, కెవిన.
पूरे रूस को उचचतम बोली लगाने वाले को बेचने तक की शुरुआत है.	ఒక గేమ తో మొదలయి, రషయా మొతతాననీ ఎకకువ వేలం పాడిన వాడి చేతిలోకి వెళలిపోతుందని వారి భయం.
और वह दोसतों को लाया है.	ఈసారి కొందరు మితరులని కూడా తెచచాడు.
-तुमहें यहाँ से निकलना होगा. -नहीं.	-నువవు వెళలిపో. -వెళలను.
इसे देखा है और यह उबाऊ है.	అది ఇంతకు ముందే చూశా, చాలా బోరింగ అది.
यह काम करेगा.	మనం విజయం సాధిసతాం.
वे आ रहे हैं.	వాళలు వచచేసతుననారు.
-टेनिस? -टेनिस.	-టెననిస ఏంటి? -టెననిస.
पैसा एडवांस है.	డబబులు ముందే ఇచచేసతాం.
मि. सटाइन दुनिया भर के सभी विशिषट लाइसेंसिंग अधिकारों को नियंतरित करते हैं.	పరపంచవయాపత లెసెనస హకకులననీ మిసటర సటెన దగగరే ఉననాయి.
हम अलग-अलग दुनिया से हैं.	మన పరపంచాలు వేరు.
रॉबरट मैकसवेल, मिरर गरुप के चेयरमैन.	నా పేరు రాబరట మయాకస వెల, మిరరర గరూప చెయిరమెన ని నేను.
ठीक है, हालांकि हाल में मैं जयादातर बिकरी कर रहा हूँ.	కానీ ఈ మధయ ఎకకువగా అమమకాలే చేసతుననా.
यह कोई जवाबी-परसताव नहीं है.	ఇది కౌంటర ఆఫర కాదు.
"गो", "गो", "गो". आओ भी. खेलना चाहते हैं? यह शतरंज जैसा है.	"గో" ఆట ఆడాలనుందా? ఇది కూడా చెస లాంటిదే.
मतदान करने की, अपना भागय चुनने की आजादी.	ఓటేయడానికి, తమ బతుకేదో తాము బతకడానికి సవేచఛ కోరుకుంటుననారు.
कया आपकी कोई अपॉइंटमेंट है, सर?	అపాయింటమెంట ఉందా, సర?
फिर वीडियो गेम, आरकेड गेम, बोरड गेम, सब कुछ.	ఆ తరవాత వీడియో గేమస, ఆరకేడ గేమస, బోరడ గేమస, అననింటికీ విసతరిదదాం.
कृपया, मुझे मेरी बात पूरी करने दो.	ననను పూరతిగా చెపపనివవు.
यह बदलाव का समय है. . .	మారపు జరగాలసిన సమయం ఆసననమెంది. . .
गेम के टुकडे चार का अलग-अलग रूप हैं. . . और टेनिस.	గరీకులో నాలుగు అని అరథం. ఈ ఆటలో ఆకృతులననీ నాలుగు ముకకలతో ఏరపాటు అయయుంటాయి.
मि. मैकसवेल, वैलेनटिन टरिफनव,	మిసటర మయాకస వెల, నా పేరు వాలెంటిన టరిఫొనొవ.
जिसकी डील पहले ही मेरी कंपनी के साथ हुई थी.	మీ అధికారులని మభయపెడుతుననాడు.
यहाँ परदेशी का घर में आना अपराध है.	ఎవరి ఇంటలోకి అయినా ఒక విదేశీయుని రానివవడం ఇకకడ నేరం.
-एलेकसी, कया चल रहा है? हम दोसत हैं. -हम दोसत नहीं हैं.	-అలెకసీ ఏమెంది? మనం సనేహితులం. -కాదు.
सुनो, मैंने सोचा कि मुझे तुमहें फोन करना चाहिए और तुमहें खुद बताना चाहिए.	చూడండి, మీకు నేరుగా కాల చేసి విషయం చెపదామనుకుననా.
लेकिन मैंने तुमहें पहले ही फैकस से सूचित किया था कि "टेटरिस" का लेन-देन हो गया है.	"టెటరిస" ముగిసిన అధయాయమని మీకు ఫయాకస దవారా చెపపాను కదా.
तुम?	నువవా?
आगे बोलो.	చెపపు.
इतना बुरा भी नहीं.	ఆట పరవాలేదు.
तो, हाँ. . .	కాబటటి, అవును. . .
फिर से, बधाई हो.	ఏదేమెనా, మీకు అభినందనలు.
यह सही है.	అవును, కొననాను.
यहाँ होना सममान की बात है.	ఇకకడికి రాగలగడం నా అదృషటంగా భావిసతుననా.
हाँ.	అవును.
हाँ.	అవును.
सामयवाद मर रहा है.	కమయూనిజం అంతమయయే దశలో ఉంది.
अगर तुम एक मोहरे की तलाश में हो, तो मेरा सुझाव है कि तुम भाड में जाओ.	మీకు ఒక బకరా కావాలంటే, ఇంకెవరినెనా వెతుకకోండి.
लेकिन रोमांटिक और परेरित भी.	కానీ రొమాంటిక గా, సఫూరతినిచచేలా కూడా ఉంది.
जाओ.	పదండి.
हाँ!	అవును!
कला की, अभिवयकति की आजादी.	సవేచఛగా కళను ఆసవాదించే, వయకతపరిచే హకకు.
चलो भी. कृपया?	వచచి పాడండి. ఏం కాదు.
हाँ.	చదివా.
बात करें, कृपया.	మీతో ఒక ముకక మాటలాడవచచా?
अंदर आओ.	కారు ఎకకండి.
हाँ.	అవును.
यह वैध है, ठीक है?	అదంతా సవయంగానే ఉంది, సరేనా?
जिसे काश मैं चूका ना होता.	మళలీ నీ పరదరశనను చూసే భాగయం పరసాదించవా?
एलोरग ने किसी से भी आरकेड अधिकारों का लेन-देन नहीं किया, हेंक.	ఆరకేడ హకకులని ఎలారగ ఎవరికీ ఇవవలేదు, హెంక.
अगर मैं इसे ठीक नहीं करता, तो मैं बडी मुशकिल में पड जाऊँगा.	దీనని పరిషకరించకపోతే, నా బతుకు బసటాండే.
उनका कहना है एलोरग ने कभी भी किसी को "टेटरिस" वीडियो गेम के अधिकार का लाइसेंस नहीं दिया.	టెటరిస వీడియో గేమ హకకులని ఎలారగ ఎవరికీ ఇవవలేదని అంటుననాడు.
लंदन में सथित एक काबिल शखस,	అనని పనులనూ తనే చూసుకొనే లండన వయకతి అతను,
-रुको, रुको. -ठीक है? अलविदा.	-ఆగండి. -సరేనా? బె.
म. . . माया! ध. . .	మా. . . మాయా! ఒకక నిమిషం. . .
और तुमहारे विपरीत, मैं आज जहाँ हूँ, वहाँ तक पहुँचने में किसी ने मेरी मदद नहीं की.	మీలాగా వేరొకరి తోడపాటుతో నేను ఈ సథానానికి చేరుకోలేదు.
तो तुम कह रहे हो कि "टेटरिस" का एकमातर संसकरण जिसका तुमने कभी लाइसेंस दिया है,	అంటే, మీరు "టెటరిస" విషయంలో కేవలం కంపయూటరలకు మాతరమే
-हमारे पास पैसा नहीं है, है ना? -बेशक पैसा है.	-మన దగగర అంత డబబు లేదా? -ఉంది.
एलेकसी! एलेकसी!	అలెకసి! అలెకసీ! వామమోయ!
यह देखने के लिए कि हमारे नए गेम महिला दरशकों को कितना पसंद आता है.	తెలుసుకోవడానికి ఈ అమమాయిని ఇపపుడే పిలిచాను.
मझे माफ करना, पयारी.	సారీ, బంగారం.
उसे जेल भेजो.	వాడిని జెలలో వేయండి.
हटो! दूर हटो!	వదలండి! ననను వదలండి!
और हमारे पास कंसोल अधिकार नहीं होंगे.	కనసోల హకకులు కూడా దకకవు.
उसका कंपयूटर, इलेकटरॉनिका 60 नाम की बहुत पुरानी बेकार मशीन,	అతని కంపయూటర, చాలా పాత కాలానికి చెందింది, ఎలకటరానికా 60 అనే సోవియెట కి చెందిన చెతత కంపయూటర,
कया मैं तुमहें अपना मन बदलने के लिए फुसला सकती हूँ?	నేనేం చెపపినా మీ మనససు మారదంటారా?
रुको, रुको.	ఏంటి, ఒకక నిమిషం.
हम टोकयो में रूसी दूतावास से हैं.	మేము టోకయోలోని రషయన రాయబార కారయాలయం నుండి వసతుననాం.
बेटा, हमें रूसियों को कुछ भी देने की जरूरत नहीं है.	రషయనలకు మనం ఏం ఇవవాలసిన పని లేదు.
हम कथित अवैध गतिविधि को रोकने का ऑरडर भेज सकते हैं.	వాళల పనులు ఆపమని నోటీసు పంపిదదాం.
तुम हैंडहेलड अधिकारों को नियंतरित नहीं करते हैं?	మీ దగగర హయాండ హెలడ హకకులు లేవా?
मेरे माता-पिता कोलखोज थे, पता है, बटाईदार.	మా తలలిదండరులు కౌలు రెతులు.
कुतते के बचचे.	దరిదరుడా.
तुम लोग, तुम सोचते हो कि मैं दुशमन हूँ?	ననను శతరువులా చూసతుననారా?
लेकिन यह बंद है!	కానీ అది మూసివేయబడి ఉంది!
अब हम बडे परकाशक हैं!	మనం ఇపపుడు బడా పబలిషరలం అయిపోయాం!
-तुम लोगों को यह गेम चाहिए या नहीं? -हाँ, बिलकुल चाहिए.	-మీకు ఈ ఆట కావాలి కదా? -హా, కావాలి.
कया यह वही है?	మీకు కావాలసింది అదేనా?
मिनोरू अरकावा.	నా పేరు మినోరూ అరకావా.
एक 'परयोग'.	పరయోగం.
मुझे एक अंतरराषटरीय पे फोन चाहिए.	అంతరజాతీయ కాలస చేసుకొనే సదుపాయమునన కాయిన ఫోన కావాలి.
{\an8}आरकेड एक नकद वयवसाय है और पैसा तेजी से आता है,	{\an8}ఆరకేడ అనేది నగదు లావాదేవీతో జరిగే వయాపారం, కాబటటి డబబులు చిటికెలో వచచేసతాయి,
रंग के लिए चार के बजाय आठ बैटरी लगेंगी. यह काफी महँगा है.	రంగురంగుల తెరకి ఎనిమిది బయాటరీలు కావాలి, దీనికెతే నాలుగు చాలు. దానికి ఖరచు ఎకకువ అవుతుంది.
तुमहारे आईपी के लिए हमारा आईपी.	మాది మేం మీకు ఇసతుననాం, మీది మీరు మాకు ఇసతుననారు.
मुझे तुमहारी और तुमहारी चेकबुक चाहिए ताकि तुम मेरे साथ जलद से जलद मॉसको जाने के लिए हवाई जहाज पर आओ.	నాతో పాటు మీరు వెంటనే మాసకోకి రావాలి, చెక బుకస కూడా తెచచుకోండి.
इससे पहले से कहीं जयादा मजबूत होगा.	మనం మరింత రాటుదేలుతాం.
कया हम इसे पूरा कर सकते हैं, कृपया?	ముందు ఈ పని కానిదదామా?
लेकिन कभी-कभी ऐसा करते हैं.	కానీ ఒకకోసారి అవసరమెనపపుడు పని చేసతారు కదా.
हम चाहते हैं आप कुरसी की पेटी बाँध लें. . .	సీట బెలటులు పెటటుకోండి. . .
