पिकेटमोटरस. कॉम	పికెటమోటరస. కామ
तो आगे नहीं बढ पाओगे.	అందులో ఉనన సవచఛమెన మృగ ఆనందం కోసం.
एलीटा भाग गई, और मैं मारी गई.	దొరికిపోయాం, ఎలీటా పారిపోయింది, నేను చనిపోయాను.
तुम सबसे पहले समझोगी, है न?	దానని అరథం చేసుకోవడంలో నువవు ముందుంటావు కదా?
तुम कया कह रहे हो?	ఏమంటుననావు?
इसलिए, हाँ.	కనుక, అనిపిసతోంది.
विलफरेड चलेगा.	నేను విలఫరెడగా ఉండగలను.
तुमहें अपना समझा.	మాలో ఒకడిగా నీతో మసలుకుననాం.
कया मतलब, संभाल लोगे?	అతని సంగతి చూసుకుంటా అంటే ఏ అరథంలో?
खुद हमसे.	మనలని మన నుండే.
और उसका खौफ अतीत में दफन हो गया है.	భయానని రేకితతించే దాని ఘటనలతో సురకషితంగా గతంలో ఉందనుకుంటాం.
और खतरनाक भी.	మరీ పరమాదకరం చేసతోంది.
बाहर. अभी.	బయటకి రా. వెంటనే.
तुमहारी तरह.	నీలాగే.
अचछी बात है.	మంచిది.
खैर, अब वह हम हैं,	ఇపపుడు మనమే ఆ ఫారెవర ఫాబ వాళళం,
सतयानाश!	వాడిని పటటుకో!
आज नहीं तो कल, तुम समझदार हो जाओगे.	తవరలోనే ఎదుగుతావులే.
ऐसे नहीं होता, फलिन. एक शादीशुदा जोडा. . .	అది అలా నడవదు, ఫలిన. . .
परिफरल रजिसटरड है न?	ఈ పెరిఫరల నమోదు చేయబడిందని చెపపండి.
लगता है?	అనుకుంటుననావా?
वजह जाने बिना.	ఎందుకు ఉందో తెలియకుండానే.
खोलो!	తెరుచుకో!
तुम मरोगे!	నువవు చచచినటటే రా!
तो अब तुमहें चलना चाहिए, नहीं?	కాబటటి నీ దారిన నువవు పోవాలసిన సమయం వచచింది, అంతే కదా?
संवाद अनुवादक परवीन कौर शोम	ఉపశీరషికలు అనువదించినది Pradeep Kumar Maheshwarla
बिलकुल ऐसी?	కచచితంగా ఇలాంటిదేనా?
हम भी अलग नहीं हैं. लोग.	నిజంగా మనకూ వాటికి పెదద తేడా లేదు. మనుషులకు.
अफसोस, नहीं.	కాదు, అని అనిపిసతోంది.
दिलचसप.	మెమరిపిసతావు.
मजाक था.	తమాషాకు అననాను.
वह चलेगा?	అది నీకు ఇషటమేనా?
आपका दिन अचछा हो.	శుభ దినం.
-सटब. . . -हाँ.	-ఆ సటబ. . . -సరే, సరే, సరేలే.
लो.	ఇదిగో.
तुमहें भी?	నీకు?
बेहतर लग रहा है?	బాగుందా?
संत हो.	భారమెన సవరంతో.
परिफरल.	వీరు పెరిఫరలస.
उस हद की बुराई है.	మనం అలాంటి నీచం గురించి మాటలాడుతుననాం.
मेरी ही गलती है.	నా బాధయతని నిరలకషయం చేసినటలుగా ఉంది.
कोई होश नहीं था.	పోయాను.
मत कीजिए, आपसे भीख माँगती हूँ!	వేడుకుంటుననా!
नहीं! बिलकुल नहीं.	లేదు! లేదు, లేదు, లేదు. అసలు అలా కానే కాదు.
बोलो!	దానని చెపపు!
हेडसेट की वजह से?	హెడసెట?
कैसा लगता है?	నీ హాపటికస బృందంతో సంధానమెనపపుడు?
हाँ.	నమముతుననాను.
या अपनी.	లేక నీది నువవే తవవుకోవాలి.
थी?	పని చేసేదా?
हाँ.	నాకు అలాగే ఉంది.
