मुकदमे चलाने को कहा.	అలఫోనసిన ఆదేశించారు.
आप जानते हैं कुछ अधिकारियों ने जिममेदारी नहीं निभाई	కొంతమంది అధికారులు బాధయతలను పకకన పెటటి,
ठीक है. पकका.	సరే. ఒపపుకుననాను.
इतना काफी है?	అది చాలా ఇపపటికి?
-हूलियो. -गुड ईवनिंग, राषटरपति जी.	-హూలియో. -నమసకారం, అధయకషా.
बलकि ये अरजेंटीना के लोगों की आवाज हैं.	ఎందుకంటే అది మొతతం అరజెంటీనా వాసులు అందరికీ తెలుసు.
उनहोंने तरतीब से लगातार मुझे हर तरह की यातनाएँ दीं. . .	ఆ హింస ఒక పదధతిలో, నిలకడగా, రకరకాలుగా. . .
बात पूरी होने तक बीच में मत टोकना. मैं पढकर सुनाता हूँ.	నేను పూరతిచేసేవరకు ఆపవదదు. నేను చదువుతాను.
जो आपके घर एक खत भेजकर दी गई.	మీ ఇంటికి ఒక ఉతతరం వచచిందని అంటుననారు.
कैसे हैं, बरुजो?	ఏంటి విశేషాలు, బరూజో?
तुम पिछले हफते के बादिया शो के चार मेहमानों के नाम बता सकते हो?	గతవారం బదీయా షోలో నలుగురు అతిథుల పేరలు చెపపగలవా?
नए साल वाली रात,	నూతన సంవతసరం సందరభంగా
-अजीब है? तुमहें कैसे पता कि वह अजीब है? -हाँ.	-వింతగానా? మీకు ఎలా తెలుసు? -అవును.
-कितना समय बचा है? -साढे चार महीने.	-ఇంకా ఎంత సమయం ఉంది? -నాలుగు నెలల రెండువారాలు.
-मतलब नकली पहचान पतर बनवाए गए. -मैं समझता हूँ.	-అది, ఐడీల ఫోరజరీ. -నాకు అరథమయింది.
यह विधवंसकारी रणनीति. . .	ఈ విదరోహ వయూహం. . .
एक कप गरमागरम कॉफी?	ఒక చకకటి, వెచచటి కాఫీ కప?
"कि परपीडन एक राजनैतिक विचारधारा नहीं है,	"ఒక యుదధ వయూహం కూాడా కాదు, అది ఒక నెతిక విపరీతతవం అని,
कोई भटक सकता है, है न?	ఏదెనా పకకదారి మళళవచచు, అవునా?
मैं किसी का बचाव नहीं कर रहा.	నేను ఎవరినీ సమరథించను.
-वह शादीशुदा है. -हाँ.	-అతనికి పెళళి అయింది. -అవును.
हमें भी धमकी दी गई है.	మాకు కూడా బెదిరింపులు వచచాయి.
विडेला को जेल में जाना चाहिए.	విదేలా జెలుకు వెళళాలి.
-और कुछ नहीं सुनना. -चलो.	-నేను ఇంకో మాట వినను. -పద వెళదాం.
मुझसे कया सुनना चाहते हो, हूलियो?	నేను ఏమి చెపపాలి, హూలియో?
कौन सी सडक पर? लावेल या पराना पर?	ఏ వీధి? లవాలే లేదా పరానా?
और असल में मैंने बचची को जनम दे दिया.	అపపుడు నా చినన పాప పుటటింది.
हम पर अतयाचार करना मुशकिल नहीं था.	కరూరంగా అతయాచారాలు చేయటం వారికి కషటమేమీ కాదు.
और कभी नहीं कहा इसलिए यह बहुत अहम है.	ఎపపుడూ చెపపకపోవటం అంటే దీని పరాధానయత ఎంతో చూడండి.
मैंने हमेशा सेना का आदर किया, पर अब. . .	నేను సెనయానని ఎపపుడూ గౌరవించేదానిని, కానీ ఇపపుడు. . .
हमारे सूतरों का कहना है कि वह खत अरजेंटीनियाई नौसेना से था. कया यह सच है?	అది అరజెంటీనా నావికాదళం రాసిన ఉతతరం అంటుననారు. నిజమేనా?
. . . जो मौत और आतंक के शैतानी भँवर में फँसता जा रहा है.	. . . కరూరమెన మృతయు, భయ వలయంలో చికకుకుంది.
कि किसी दिन वह घर लौट आएगी.	ఆమె ఒకరోజు ఇంటలో పరతయకషమవుతుంది అని.
हम इस बात को छोड नहीं सकते?	మనం దాని గురించి మాటలాడకుండా ఉందామా?
हाँ, आप कौन हैं?	అవును, ఎవరు?
कया हुआ?	ఏమిటి?
सर.	సార.
सर!	సార!
कुछ ऐसी ही जगह से.	అకకడ కాదు, కానీ సమీపంలో.
हमें कया करना चाहिए?	మనం ఏమి చేయాలి?
हमें कया करना चाहिए?	మనం ఏమి చేయాలి?
सर!	సార!
सर.	సార.
आपसे सवाल यह है.	ఇపపుడు పరశన.
तो आप उसे कया नाम देंगे?	మరి దానిని మీరు ఎలా నిరవచిసతారు?
शांत हो जाओ.	శాంతించు.
सावधान रहना, हूलियो.	జాగరతత, హూలియో.
कया हुआ?	ఏమిటి?
मैंने कहा. मैंने पूछा	మాటలాడాను. నేను అడిగాను. . .
उनहोंने कया कहा?	ఆయన ఏమననాడు?
वही तो. उनहोंने कया कहा?	అదే. అతను ఏమననాడు?
तो यह बिलकुल साफ है.	సరే, ఇది సపషటం.
शुरू करो.	మొదలుపెడదాం.
पहले से पता था.	నీకు ఇపపటికే తెలుసు.
हाँ, मैं ही हूँ.	అవును, నేనే.
सब जेल में हैं?	అందరూ జెలులో ఉననారా?
फैसले के खिलाफ अपील. . .	తీరపుపె అపపీల. . .
सन 1985 के मुकदमे के बाद लाए गए सजा-मुकति कानूनों के बावजूद	1985 విచారణ తరవాత కొందరికి శికషలు పడకపోయినా,
-या और जानकारी दे. . . -जानकारी?	-లేదా మరినని వివరాలను ఇవవాలి. . . -వివరాలా?
कोई जानकारी, नाम या डेटा. . .	ఏ సమాచారం అయినా, పేరు లేదా సమాచారం. . .
इसके अलावा, सभी उपसथित लोगों को सलाह है	ఇక, నయాయసథానంలో ఉననవారు అందరూ
पहले दिन सुनवाई सथगित नहीं कर सकते!	మొదటి రోజే వాయిదా వేయలేరు!
कानूनी दायितव का पालन करते हुए. . .	నయాయ విధికి అనుగుణంగా. . .
गवाह जवाब दे कि उसने जिस मुआवजे की अभी बात की,	ఈ సాకషి ఇపపుడు వరణించిన పరిహారానని ఎసమాలో అతని పనికి పరతిఫలంగా
मुझे नयाय माँगने के लिए	కోరటుముందు నిలబడి నయాయానని కోరే
हैलो, बेटा. कैसी हो?	హాయ, బంగారం. ఏంటి విశేషాలు?
"न ही यह युदध की रणनीति है, बलकि एक नैतिक विकृति है. "	"పరకటించే బాధయతను నేను తీసుకుంటుననాను. "
अचछा, इतनी जानकारी भी नहीं.	సరే, ఆ వివరాలు వదదు.
"यातना देकर पूछताछ और उसका तरक. . . "	"హింసల దవారా పరశనించడం, శికష విషయంలో తరకించడం. . .
मैं इस तरफ से जाता हूँ.	నేను ఇలా వెళతాను.
सफलता पाने के लिए उनहें समझदारी, निडरता, होशियारी के साथ किया गया था.	తెలివితేటలతో, ధెరయంతో, చమతకారంతో పనులు సాధించేవారు.
-मशहूर हसती आ गई! -उसे तंग मत करो.	-పరముఖుడు ఇకకడ ఉననారు! -ఆయనను ఇబబంది పెటటవదదు.
-मैं देखूँ? -बेशक, चहेते मियाँ.	-నేను కూరచోవచచా? -తపపకుండా, పరముఖుడు గారూ.
धयान भटकाने के लिए.	అంతరగత శతరువు.
यहाँ कुछ नहीं मिला.	ఇకకడ ఏమీ లేదు.
साथ में एक गोली है.	ఒక బులలెటటుతో.
तो जवाब दीजिए.	అయితే జవాబు ఇవవండి.
कया नवजात शिशु	నవజాత శిశువులు. . .
सेना का निशाना हैं?	సెనయం లకషయాలా?
मुझे नहीं पता कि मैंने किस तरह अपना अंडरवियर उतारा	బిడడను తొయయటానికి నేను నా లోదుసతులు ఎలా తొలగించగలిగానో నాకే తెలియదు.
वे उनहें वैसा नहीं करने देंगे.	వాళళు వాటిని జరగనీయరు.
उसे बता दो.	అతనికి తెలపండి.
-हाँ. -कया?	-అవును. -ఏమిటి?
तब तुम कुछ कर सकते हो.	అపపుడు నువవు ఏదో ఒకటి చేయగలవు.
पहली बात, "हमारी" कुछ नहीं है.	మొదట, ఇకకడ "మనం" లేదు.
अनिशचित समय तक.	నిరవధికంగా.
-कया? -हाँ.	-ఏమిటి? -అవును.
दायर की गईं बहुत सारी रिपोरट और शिकायतें हैं,	అనేక నివేదికలు, ఫిరయాదులు ఉననాయి,
ए, आप ठीक हैं या नहीं?	హేయ, మీరు బాగానే ఉననారా, లేదా?
और उसी नरक में,	అదే నరకంలో,
अभी-अभी पहुँची हैं.	ఆమె ఇపపుడే ఇకకడకు వచచింది.
तुमहारा आखिरी नाम एंटज है?	మీ ఇంటి పేరు అంటసా?
-जवाब दीजिए. -नहीं!	-నాకు జవాబు ఇవవండి. -లేదు!
पुनटा डेल एसट में दावत की?	పారటీ చేసుకుననామనా?
हमने कोशिश की. चलो.	మనం పరయతనించాం. పద వెళదాం.
तब उनहोंने कहा, "मैं तुमहें कोई निरदेश नहीं दूँगा. "	"నానుంచి మీకు సూచనలు ఏమీ లేవు" అననాడు.
मुझे तुम पर गरव है.	మిమమలని చూసతే గరవంగా ఉంది.
सरकार की परतिकरिया कया थी?	పరభుతవ సపందన ఏమిటి?
हाँ, मेरे परिवार का नाम है. ज के साथ.	అవును, ఇంటి పేరు. చివరన జడ.
दमन के कितने शिकार गैरकानूनी गतिविधियों के दोषी थे?	అణచివేతకు గురెన బాధితులలో ఎంతమంది అకరమ కారయకలాపాలు చేసినటలు రుజువెంది?
कर सकते हो.	చేయగలరు.
एक गरभवती औरत के साथ इतनी बेरहमी?	ఒక గరభిణిపె అంత కరూరంగా?
गुड ईवनिंग.	నమసకారం.
जिसे इन नृशंस अपराधों से बहुत ठेस पहुँची है.	పాశవిక నేరాలతో గాయపడింది కాబటటి.
-आप सच कह रहे हैं? -हाँ.	-మీరు నిజంగానే అంటుననారా? -అవును.
पलीज, बिना अपनी राय दिए तथय बताएँ.	విమరశించకుండా, నిజాలను నిజంగా వరణించండి దయచేసి.
मुकदमा चलेगा.	విచారణ జరుగుతుంది.
जैसी तुमहारी मरजी.	సరే, మీ ఇషటం.
"नियंतरण वापस हासिल कर लिया है,	"తమ వయవసథలను అధీనంలోకి తెచచుకుననారు కాబటటి,
आज की सुनवाई सुनकर	ఇవాళ విచారణను విననటలయితే,
यह अदालत अपनी बात रख रहे इंसान के अलावा किसी और को	ఇరు పకషాలూ ఎలాంటి అంతరాయాలు, జోకయాలు
सभी कमांडरों के परशासन के दौरान.	అందరు కమాండరల పాలనలోనూ.
आरोप-पतर अनुरोध का पता चल जाएगा.	తెలుసుకుంటావని చెపపాను.
कयों?	ఎందుకు?
सर, मिसटर बरुजो का फोन आया था. कहा कि जरूरी बात करनी है.	సర, బరూజో ఫోన చేశాడు. అతయవసరమని చెపపాడు.
हमारा समाज दुख और सदमे में है,	మన సమాజం కదిలిపోయింది, దిగభరాంతి చెందింది,
चलो भी.	చాలు.
जिनहें हमें यकीन दिलाना होगा कि यह मुकदमा वैध है,	ఏ సెనిక తిరుగుబాటును అయినా సమరథించే
फरवरी	ఫిబరవరి
"फिर वे उसे ले गए. "	"తరవాత అతనిని తీసుకెళళారు. "
अगुआई में किए गए मुकदमे के लिए	నేతృతవంలో జరిగే విచారణకోసం నియంతృతవ పాలనలో
फरवरी	ఫిబరవరి
तीसरे शेलफ पर.	మూడో అరపె.
अंकल.	మామయయా.
मैंने भी नहीं.	నేను కూడా.
कयों?	ఎందుకు?
उस इंसान से पूछूँगा,	ఒకవేళ అడమిరల యుదధంలో ఓడిపోతే
-मैं उनसे मिला. -जजों से?	-నేను వాళళను చూశాను. -నయాయమూరతులనా?
चलो भी.	చాలు.
-. . . कि ऐसा हो नहीं पाएगा. -सिलविया.	-. . . అది జరగదు. -సిలవియా.
टेलीचिया बहुत मजाकिया है. कमीना इंसान.	తెలెచియా తమాషా మనిషి. వెధవ.
या परतिवादी के दबाव पर. . .	పరతి పరశనపెన, పరతివాదుల ఒతతిడిపెన. . .
उस समय, हर माँ की तरह,	ఆ సమయంలో, ఏ అమమ అయినా చేసినటలే,
आपको लगता है कि कुछ को पसंद है?	మెచచుకునేవాళళు ఉననారా?
लोगों को पता चलना चाहिए.	అందరికీ తెలియాలి.
अपने दोसत खो दिए,	మా సనేహితులను కోలపోయాము,
सच ही बोल रही थी.	అవును ఆమె చెపపింది నిజం.
परजातंतर कायम है.	పరజాసవామయం పరిఢవిలలింది.
वो मासेरा को बोलने के लिए कयों नहीं कहते?	మసేరాతో ఎందుకు మాటలాడించలేదు?
यह साफ है कि सैनय बल मिलकर काम कर रहे थे.	దళాలమధయ సంబంధం ఉందనేది సపషటం.
अपना धयान रखिएगा.	మీరు జాగరతత.
माफ करना, नौजवान.	ఇదిగో, బాబూ.
हूलियो, बस कीजिए!	హూలియో, ఆపు!
-आपका फोन. -नहीं.	-ఫోన. -వదదు.
जी, शुकरिया.	అవును, ధనయవాదాలు.
पर मैं नयूमबरग के बाद सबसे अहम मुकदमा लडने जा रहा हूँ,	కానీ నాకు చాలా ముఖయమెన విచారణ ఉననందున,
-सब ठीक होगा. -हाँ.	-మనం బాగానే ఉంటాము. -అవును.
पूरव कमांडरों के मुकदमे के सातवें दिन,	మాజీ కమాండరలకు వయతిరేకంగా జరుగుతునన విచారణలో ఏడవరోజున,
फिर एक बार उसने मुझसे कहा,	అపపుడు, ఒక సమయంలో, ఆమె నాకు చెపపింది,
बचाव पकष कुछ पूछना चाहेगा?	పరతివాద పకషం ఏమెనా పరశనలు అడుగుతుందా?
एक वकत, उसने उसे आँख मारी.	ఒక సమయంలో, అతను మీసాలకు కనను కొటటాడు.
मेरी सलाह है कि आप मेरी युवा टीम के बजाय	మీరు నా బృందంలోని యువత గురించి కంటే, సాకషయంలోని వాకపటిమపె
सचची घटनाओं से परेरित	వాసతవ ఘటనల సఫూరతితో రూపొందినది
तुमसे कम अनुभव वाले?	నీకంటే తకకువా?
सभी को?	అందరినీనా?
-वह आपको अचछा नहीं लगा? -नहीं.	-నీకు నచచలేదా? -లేదు.
-करनल! -अरे, आप हैं.	-కలనల! -నువవే.
सममान के साथ यकीन दिलाऊँगा कि यहाँ कोई बम नहीं है.	ఇకకడ బాంబు లేదని నేను హామీ ఇవవగలను.
नहीं, जज साहब.	లేవు, నయాయమూరతిగారూ.
अब एसमा की बारी है. एसमा बहुत मुशकिल है.	ఈసారి ఎసమా వంతు. ఎసమా కఠినం.
मुझे नहीं पता.	నాకు నిజంగా తెలియదు.
कमीने लोग!	వెధవలు!
यह मॉरफीन का असर है.	మారఫిన ఇచచారు.
-एसमा की सुनवाई होने तक. -ठीक है.	-ఎసమా ముగిసేదాకా. -సరే.
-आपके कोई रिशतेदार? -मेरे परदादा.	-మీ బంధువా? -నా ముతతాత.
उनके लिए जो ताकत के इसतेमाल से दूसरों को तकलीफ देते हैं.	ఇతరులను బలం ఉపయోగించి నొపపించిన వారిని.
-पापा. -कैसे हो?	-నాననా. -ఏంటి విశేషాలు?
सटरासेरा का परमुख सहायक	సతరసేరా సహాయకుడు
वे सफल नहीं हुए.	వాళళు అది చేయలేకపోయారు.
सबको उमरकैद हुई.	అందరికీ యావజజీవ శికషలు.
मैं देश की ओर से कह रहा हूँ, हूलियो.	దేశం తరపున, హూలియో. దేశం.
सूचित किया जाता है	ఇందువలన తెలియజేయునది ఏమనగా
पता नहीं.	నాకు తెలియదు.
मैं इस अदालत की वैधता को नहीं मानता.	కానీ ఈ నయాయసథానం యొకక చటటబదధతను గురతించలేకపోతుననాను.
पता नहीं.	నాకు తెలియదు.
दो हफते, जब तक एसमा की सुनवाई नहीं होती. बस इतना ही!	రెండు వారాలు, ఎసమా ముగిసేదాకా. అంతే!
अचछा. ठीक है.	సరే. సరే.
कोई बात नहीं.	ఫరవాలేదు.
हाँ, कया?	అవును, ఏమిటి?
राषटरीय हीरो.	దేశ హీరో.
तुमहारी सफाई सुनना चाहती हूँ.	నాకు సమాధానం కావాలి.
शायद थोडा खतरनाक है.	అది కొదదిగా పరమాదకరం అవవొచచు.
हतया, आजादी के गैरकानूनी दमन,	హతయలు, అకరమ నిరబంధం,
वह कुछ गवाहों से मिले थे. सिरफ वही बोलते रहे.	కలిశాడు. వారితో అంతా మాటలాడాడు.
बेशक, औपचारिक है, पर जोरदार है.	తపపకుండా, అది లాంఛనంగా ఉంది, కానీ బలంగా ఉంది.
आप जो देखने जा रहे हैं	మీరు చూడబోయేది అరజెంటీనాలో జరిగే
मुझे पगला कहते हैं, पर हूँ नहीं.	నేను పిచచివాడిని కాదు.
पूरा नाम कया है?	పూరతి పేరు?
-अभी? -हाँ.	-ఇపపుడా? -అవును.
अचछा, सबसे पहली दिककत समय की है.	సరే, మొదటి సమసయ. సమయం.
एक, दो. . .	ఒకటి, రెండు. . .
-अभी? -हाँ.	-ఇపపుడా? -అవును.
उन अपराधियों ने?	ఆ నేరగాళళా?
मैंने उनहें परसव के बारे में बताकर रुकने को कहा,	నేను గరభవతిని అని వాళళకు చెపపాను,
और हीरो असली नहीं होते, सिलविया.	హీరోలు ఉండరు, సిలవియా.
सतरह नाटकीय हफतों के दौरान सिरफ 709 मामले पेश करने का मौका मिला,	17 నాటకీయ వారాల విచారణలలో ఇకకడ చూపించగలిగాను
जबकि वे मुकाबला भी नहीं कर सकते?	చంపటానికి చేసే యుదధమా?
बेटीनी का मामला देख लो. एक ही परिवार में सब शिकार हुए.	బెటటిని కేసు. నేరాలననీ ఒకే కుటుంబంలో.
लो, यह शुरू हो गया.	అదిగో వచచాడు.
बडी मेहरबानी.	నాకు సంతోషంగా ఉంది.
कारयवाही मान सकते हैं?	యుదధం అవుతుందా?
यही सोच रहे हो न?	ఇదేనా నువవు ఆలోచిసతుననది?
मिसटर पडीसा शादीशुदा हैं.	పడిలా వివాహితుడు.
नहीं. मुझे पता है तुम कया कह रहे हो.	కాదు, అది కాదు. నువవు ఏమి మాటలాడుతుననావో నాకు తెలుసు.
मुझे लगा आप आज का कह रहे थे.	ఇవాళేమో అనుకుననాను.
नहीं! वह किसी और के लिए कहा था.	కాదు! ఇది వేరే విషయం.
"विषय और परारूप में निरविवाद थे. "	"సమితి తెలియజేసతోంది. "
-और वह बुरी बात है? -बहुत ही बुरी है.	-అయినా బాగోలేదా? -దారుణం.
जिसे दूर देशों का समरथन था. . .	వాటికి వేరవేరు చోటలనుంచి సహకారం అందుతోంది. . .
उसे रात दिन बेरहमी से यातना दी.	నేను వివరించిన అనని పదధతులలో, ఇంకా చాలావాటితో.
नौ पूरव कमांडरों की मौजूदगी में	నలుగురు కమాండరల సమకషంలో ఆ మాజీ సెనికాధికారులపె
जिसे ऐसी चीज का बचाव करना पडे जिसमें सरकार यकीन ही नहीं करती.	వాదించే మందమతి అవవాలని నేను అనుకోవటంలేదు.
न सिरफ सेना, बलकि मधयम वरग भी यही सोचता है,	సెనయమే కాదు, మధయతరగతివారు కూడా వారిని కమయూనిసటులుగా పరిగణిసతారు,
जाओ.	వెళళు.
बताया न कि ऐसा कुछ नहीं है.	లేదని చెపపాను కదా.
-कया? -मेकअप कयों कर रही हो?	-ఏమిటి? -నువవు ఎందుకు మేకప వేసుకుంటుననావు?
-बेवकूफ! -चलो.	-మూరఖుడా! -పద వెళదాం.
हाँ.	అవును.
गुड मॉरनिंग.	నమసకారం.
गुड मॉरनिंग.	నమసకారం.
हम सब को पढेंगे.	వాళళు అందరినీ చదువుతాము.
एक और ने भी.	ఇంకొకటి.
हाँ.	అవును.
जो साफ सबूत है कि गवाह झूठी गवाही दे रहा है.	సాకషి ఉదదేశయపూరవకంగా అబదధాలు చెబుతుననారని సపషటంగా అరథం చేసుకోవచచు.
कया?	ఏమిటి?
कई रिशतेदारों,	వాళళను ఎదురకొననవాళళలో
-तुमहारी माँ का फोन. -शुकरिया.	-మీ అమమ. -ధనయవాదాలు.
जिममेदारी से काम करना होगा.	మనమే దానికి కారణం.
हाँ.	అవును.
हाँ.	అవును.
हाँ, कहा था.	సరే, అవును. అవును.
कया?	ఏమిటి?
सबसे पहले.	మొటట మొదటివాడు.
आदर और नयाय.	గౌరవం మరియు నయాయం.
इस अदालत के सामने पेश होने का सममानित दायितव सौंपा है.	ఒక గౌరవనీయ కారయానని నాకు అపపజెపపాయి.
गुड आफटरनून.	నమసకారం.
हाँ.	అవును.
-कया? -तुम बताओ.	-ఏమిటి? -కానివవు, చెపపు.
हाँ.	అవును.
हाँ.	అవును.
हाँ.	అవును.
बचाव पकष का दावा है कि परतिवादियों की सुरकषा की गारंटी नहीं दी जा सकती है.	పరతివాదుల భదరతకు హామీ లేదని పరతివాద పకషం అంటోంది.
दोषी करार दिलाने में, सजा दिलाने में, सडकों पर कामयाब होना है.	నేరారోపణ దగగర, శికష దగగర, వీధులలో గెలవటం.
यातना और घोर लूट-पाट के आरोप साबित करने के लिए.	హింస, దొంగతనాలు మొదలెన నేరాలపె.
टोकने या हसतकषेप करने की इजाजत नहीं देगी.	చేసుకోగూడదని తెలుపుతుననాము.
लेकिन तुमसे वही बकवास दोहराने को नहीं कहा था जो घर पर तुमसे सुनता हूँ.	కానీ నేను వినన ఈ చెతతను ఇంటలో ఎపపుడూ చెపపవదదు.
. . . सरकार के खिलाफ मानव अधिकार संगठनों, ओएएस	. . . పరభుతవంపె మానవ హకకుల సంఘాలు, అమెరికా రాషటరాల సమితి, ఐకయరాజయసమితి
उसे अभियोग की सुनवाई पर	చివరి వాదనలో శికషకు అభయరథనల గురించి
बात यह है कि मैं एक वकील हूँ.	నేను ఒక నయాయవాదిని.
शुकरिया, जज साहब.	ధనయవాదాలు, నయాయమూరతి గారూ.
कोई वजह तो बताइए.	కనీసం నాకు ఒక కారణం చెపపు.
एक दरार है. बस इतना ही.	ఒక పగులు. అంతే.
शाबाश. बधाई हो.	బాగా చేశారు. అభినందనలు.
उनहोंने उसे संदिगध बना दिया.	అతనిని ఒక అనుమానితుడిలాగా కనబడేటటలు చేశారు.
-उसने यह कहा? -लगभग यही कहा.	-అతను నీకు అది చెపపాడా? -కొంచెం అటు, ఇటుగా.
बहुत हुआ, अब बस करो.	చాలు, ఇక ఆపు.
तुम बोल चुके?	మాటలాడటం అయిపోయిందా?
सटीकता से परिभाषित कर सके,	వేల కేసులను ఒకకొకకటిగా పరిశీలించే అవకాశం
मैंने सुन लिया. और अगर उससे बात नहीं करना चाहूँ तो?	విననాను. నేను అతనితో మాటలాడకపోతే?
पता है कया?	నీకు ఒకటి తెలుసా?
तुम सभी कमीने हो!	వెధవల ముఠా!
सर. मीडिया एक नई धमकी का जिकर कर रहा है.	సార. సార. ఒక కొతత బెదిరింపు గురించి మీడియాలో వారతలు వసతుననాయి.
-समझी नहीं कि तुम ऐसे इसलिए हो. . . -सिलविया.	-మీరు ఇలా ఉంటే. . . -సిలవియా.
-चलो, बचचो. जलदी करो. -बढिया.	-పదండి వెళదాం పిలలలూ. తవరగా. -మంచిది. మంచిది.
-जो एक पायलट की पोती है. -वह गैर-सैनिक है.	-ఒక పెలట మనవడు. -ఒక పౌరుడు.
कि मैं अपने बेटे को कुछ ऐसा करते देखूँ जिससे मैं बिलकुल सहमत नहीं हूँ.	నా కొడుకు చేసతుంటే చూడటం నాకు అంత తేలిక కాదు.
तुम कया कह रहे हो?	దేని గురించి మాటలాడుతుననావు?
तुम जानते हो कि जो हो रहा है	ఇపపుడు జరుగుతుననది
जिसे नहीं चुकाया जा सकता है.	తిరిగి తీరచలేనిది.
लानत है! कोई भी नहीं बचा.	అబబా! ఎవరూ లేరు.
कया यह सच है? बहुत जयादा?	నిజమేనా? చాలానా?
कितने निरदोष थे?	ఎంతమంది నిరదోషులు ఉననారు?
और मुकदमे की सुनवाई आगे नहीं बढी है.	విచారణ ముందుకు సాగలేదు.
नहीं बनने दे सकता है.	"యుదధంలో చుటటూ జరిగే నషటం"గా గానీ
-कानून को जिममेदारी से काम करना होगा. -जिममेदारी से?	-నయాయమూరతి దానికి కారణం. -కారణమా?
वह बार खुफिया विभाग के दफतर के पास ही है.	ఇంటలిజెనస కారయాలయం వీధిలో.
मैं तुमसे सहमत हूँ.	నీతో ఏకీభవిసతాను, ఒపపుకుంటాను.
सैनय सरकार की परतिकरिया पर आओ.	సెనిక పరభుతవ సపందన.
तुम पागल हो.	మీకు పిచచి పటటింది.
उनहोंने मुझे अंदर भेजकर एक बालटी मँगाई	వాళళు ననను లోపలికి పంపి,
दो हफते, बस.	రెండు వారాలు, అంతే.
हतया और दूसरे गंभीर अपराधों के आरोपों को साबित करेंगे.	సంబంధించిన అభియోగాలను నిరూపిసతారు.
शायद वह सॉफट डरिंक थी.	అది ఒక సాఫట డరింక కూడా అయి ఉండొచచు.
देश यह जानना चाहता है.	దేశం దీనిని తెలుసుకోవాలని చూసతోంది.
हाँ, बेशक.	అలాగే, తపపకుండా.
अपील अदालत	అపపీళళ నయాయసథానం
घातक दिल का दौरा पडा था.	పెదద గుండెపోటు.
चलें?	వెళదామా?
यह साफ जाहिर है.	ఇది సపషటం.
आपका होगा.	మీరే తీసుకోవాలి.
-मुझे पता है. -अचछा.	-నాకు తెలుసు. నాకు తెలుసు. -సరే.
-पलीज. -हूलियो!	-ఊరుకో. -హూలియో! హూలియో!
तुमहें लगा कि तुम उनहें जिममेदार ठहराओगे,	డానస ఫలోరను ఊడవటానికి వాళళు నినను నియమించారని నువవు అనుకుంటుననావు,
-तुम ठीक हो? -हाँ.	-నువవు బాగానే ఉననావా? -అవును.
थके हुए लग रहे हो.	మీరు చాలా అలిసిపోయినటలుననారు.
देखो और बताओ.	చూడు. ఎలా ఉందో చెపపు.
शिकार हुए थे.	మేము చూపించలేకపోయాము.
इस परकरिया को	ఈ పరకరియ ఎవరికి అంటే,
-तो? -तो कया?	-అయితే? -అయితే ఏమిటి?
अरजेंटीनियाई समाज पर पडने वाले करज में से एक ऐसा करज है	ఎంతో రుణపడి ఉంది, వాటిలో ఒకటి. . .
होरखे रफाएल विडेला, और साथ में जोड दूँ,	హోరగే రఫేల విదేలా, ఇంకా,
मुझे है.	నేను చూసతాను.
उस समय के दौरान,	మూడు ఫరమానాలు జారీ అయయాయి.
कसम खाती हूँ.	చేసతాను.
कया हुआ?	ఏమి జరిగింది?
सुरकषित सुनवाई? यह कोई मजाक है?	భదరతా? అది ఒక జోకా?
अंदर बरुजो है.	బరూజో అకకడ లోపల ఉననాడు.
तुमने नहीं बताया. कयों?	అబబో. ఎందుకని?
या संयुकत राजय, किसी ने. . .	చేసినవి కావు. . .
कोई मुकदमा नहीं लडा.	ఏమీ చేయలేదు.
एक और दिककत है.	మరో సమసయ.
और मेरे भाइयों की उमर 13, 11, 10 साल और सबसे छोटे की 8 साल की थी.	నా తమముళళు 13, 11, 10, 8 ఏళళ వయసువాళళు.
वहाँ कुछ लोगों के लिए हम औरतों का फायदा उठाकर	అకకడ కొందరు మాలాంటి మహిళలపె
मासेरा को?	మసేరా?
एक टीम बना सकता हूँ न?	నేను ఒక బందానని తయారు చేయగలను, అవునా?
नवंबर - दिसंबर - जनवरी	డిసెంబర జనవరి
लापता लोग.	అదృశయమెన వయకతులు.
इस कायराना वयवसथा से	అరజెంటీనా సమాజానికి ఈ పిరికి వయవసథ
ए, आप ठीक हैं?	హేయ, మీరు బాగానే ఉననారా?
सावधान रहना.	జాగరతత.
मुझे सुनवाई के	కేవలం 709 కేసులను మాతరమే
सजा का ऐलान.	శికషలు.
तकलीफ देने के लिए माफी चाहूँगा,	ఇబబందికి కషమాపణలు,
उतपीडन को रोकने के लिए काफी है, यह साबित करने के लिए	ఆపటానికి సాకషి చెపపిన ఈ సాకషయం
हम मामले लेकर उनहें करमबदध करेंगे,	మనం కేసులు తీసుకుంటాం, శాఖలు, సంవతసరం, నిరబంధ కేందరాలవారీగా
एक कमजोर होता समाज जिसके पास. . .	ఒక బలహీన సమాజం. . .
और इसलिए इनकी सुनवाई सैनय अदालत में होनी चाहिए.	సెనయం కరాఖండిగా చెపపి ఉంది.
जहाँ आप एक गोल छेद देख सकते हैं जो सामने से घुसने वाली	ఒక బులలెట ముందువెపునుంచి తలలోకి
ठीक है.	సరే.
ठीक है.	సరే.
जज साहब.	నయాయమూరతిగారూ.
ठीक है.	సరే.
कया कहते हो?	నువవు ఏమనుకుంటుననావు?
कोई खबर?	వారతలు వచచాయా?
