जैज. जैज 124.	జాజ. జాజ 124.
छोडिए, डग! छोडिए!	పోనివవు, డగ! పోనివవు!
जितना धीरे से हो सके.	వీలెనంత మృదువుగా.
-जा रहा हूँ. -तुम	-వెళళిపోతుననా. -నువవు
हमें नेपलस वापस जाना होगा.	మనం నేపులసకు వెళళాలి.
"शुकरिया" अचछा रहेगा.	"థాంకయూ" చెపతే బాగుంటుంది.
-उस पर नजर रखो. -हाँ.	-దానిపె కననేసి ఉంచు. -సరే.
इस रेडियो पर कैसे बात करते हैं?	ఆ రేడియోలో ఎలా మాటలాడాలి?
-कई सविच हैं! -मदद कर सकती हूँ.	-మీటలుననాయి! -సాయం చేసతా.
अपनी बहन को इंजेकशन लगाओ, बेटा.	చెలలికి సూది వెయ, బంగారం.
जी हाँ. आप मुझसे कया चाहते हैं?	అవును. ననను ఏం చేయమంటారు?
मॉनरो की नौंवीं सालाना बारबीकयू परतियोगिता में सवागत - इनाम शाम 4 बजे से	మనరో 9వ వారషిక బారబెకయూ పోటీ - బాబీకయూ పురసకారాలు 4 గంటలకు
खिडकी के लिए लडना नहीं पडेगा.	కిటికీ కోసం మయాగీతో గొడవ పడనకకరలేదు.
दकषिण पशचिम फलोरिडा हवाई अडडा	సౌతవెసట ఫలోరిడా విమానాశరయం ఫోరట మయరస
हमें कुछ नहीं होगा. सब ठीक हो जाएगा.	మనకేం కాదు. మనం బాగానే ఉంటాం.
अचछा. उसे 132. 07 पर लाओ. . .	సరే. విమానానని 132. 07 తీసుకురా. . .
मैं ऑटोपायलट को बंद नहीं करना चाहता.	నాకు ఆటో పెలెట ఆపేయాలని లేదు.
वह बे की बायीं तरफ रहना चाहती थी.	ఈ విమానం బేకు ఎడమవెపు నిలపాలని కోరుతోంది.
यहाँ सिरफ मैं, मेरी पतनी, और मेरी बेटियाँ हैं.	ఇకకడ నేను, నా భారయ, నా కూతురలు ఉననాం.
अचछा, आपको धीरे-धीरे तेजी घटानी होगी.	సరే, మీరు మీ చోదకశకతి కొదది కొదదిగా తగగించాలి.
थोडी हलचल होगी, पर बहुत जलद ठीक हो जाएगा.	మొదట కుదుపులు ఉంటాయి, కానీ తవరలోనే మృదువు అవుతుంది.
यकीन नहीं होता कि मैंने इतनी देर तक आग को कम आँच पर रखा.	చాలా సేపు మంట రాకుండా చేశానంటే నమమలేకపోతుననా.
बायीं ओर 2-7-0 तक मुडना है, फिर 11, 000 फुट तक उतरना है.	2-7-0 కు ఎడమ తిరిగి, 11, 000 అడుగులకు దిగాలి.
पायलट नियमावली - किंग एयर 200 पायलट परिचालन नियमावली - 7वां परकाशन	పెలెట మానువల -కింగ ఎయిర 200 నిరవహణ మానువల - 7వ పరచురణ
पता है, जब तुमने पापा की माल ले जाने वाली गाडी झील में घुसा दी थी,	తెలుసా, నానన పికప టరకను నువవు చెరువులోకి దింపినపపుడు,
{\an8}मजा ही न ले सको तो डिसकवरी फलाइट का कया फायदा?	{\an8}లాభమేంటి, మనం మొదటిసారి విమానం నడపడానని కూడా ఆసవాదించకపోతే?
हाँ. इसे लेकर काफी उममीद है.	అదిగో అంతే. దీని కోసం ఎదురు చూశాను.
अचछा.	సరే.
शुकरिया.	ధనయవాదాలు.
माँ.	అమమా.
एक बार और.	మరోసారి.
हैलो?	హలో?
अचछा.	సరే.
चलो, लडकियो.	రండి, అమమాయిలు.
शुकरिया.	ధనయవాదాలు.
अचछा.	సరే.
आदत पडने में थोडा समय लगता है.	అవును, కాసత అలవాటుపడాలి.
अचछा.	సరే.
हैलो?	హలో?
विमान संखया और मारग?	విమాన సంఖయ, గమయం చెపపండి?
अचछा.	సరే.
नहीं पता कि कौन सी चीज कया है.	నాకు ఇందులో ఏదీ తెలియదు.
अचछा.	సరే.
अचछा.	సరే.
यह बहुत ही भयानक है.	ఇది చాలా దారుణం.
यह मेरे लिए पहली बार है, मैडम,	ఇది నా తొలి సాహసం, మేడమ,
कया?	ఏంటి?
अचछा.	సరే.
माँ!	అమమా!
-हाँ? -हाँ, करो.	-చేయనా? -అవును, చెయ.
अचछा.	సరే.
बेली. बेली, उठो!	బెయిలీ. బెయిలీ, లెయ!
उसे धीमा कीजिए.	నెమమదించాలి.
अचछा, सर. मैं वह अभी करवाता हूँ.	అలాగే, సర. ఒక కషణంలో అది మీకోసం చేసతాను.
छह हजार फुट.	6, 000 అడుగులు.
अवतरण वाली चेकलिसट मिली?	నేల దిగాలసిన పనిపటటిక చూసతావా?
विमान की टककर के समय, वह सबसे खतरनाक जगह है!	విమానం కూలిపోయే సమయంలో అసలు సురకషితం కాని చోటు అదేనేమో!
एक बात कहूँ?	నీకొకటి తెలుసా?
अचछा.	సరే.
ऊपर लें.	పెకి లేపు.
हैलो?	హలో?
हैलो?	హలో?
माँ?	అమమా?
अचछा.	సరే.
माफ कीजिए.	కషమించు.
माफ कीजिए.	కషమించు.
हैलो?	హలో?
अचछा.	సరే.
हे ईशवर,	ఓ, దేవుడా,
और हमारी गलतियाँ माफ करें	మా రుణములు కషమించుము
अचछा.	సరే.
हाँ!	అదది!
शुकरिया.	ధనయవాదాలు.
पर यह कहानी सिरफ मुझे मत सुनाना.	కానీ ఈ అదభుతమెన కథను నాకు మాతరమే చెపపకు.
अचछा.	సరే.
कयोंकि आप ही का बोलबाला,  और ताकत और यश सदा के लिए है.	రాజయము, శకతియు, మహిమయు నిరంతరము నీవెయుననవి.
उसे एक इंजन वाले विमान की तरह उडाने को कहिए.	ఒకే ఇంజన ఉనన విమానంగా నడపమని చెపపు.
मुझे अवतरण यंतर नीचे उतारना आता है.	విమానచకరాలు ఎలా దింపాలో నాకు తెలుసనుకుంటాను.
टंकी भरकर, दो इंजन वाला विमान आ रहा है.	జంట ఇంజన పూరతి టయాంకతో వసతోంది.
अगर तुमहारे शरीर में शराब होगी, तो तुमहें तभी के तभी निकाल सकते हैं.	ఎందుకంటే నీ శరీరంలో మదయం ఉంటే, నినను వెంటనే పీకేసతారు.
वे मुझे घबराते हुए न देखें.	వాళళు ఆందోళనపడటం నేను చూడాలనుకోను.
मुझे जितनी मदद मिले, उतना अचछा है.	ఏ సహాయమెనా ఉపయోగించుకోగలను.
इंजन बंद कर दीजिए! इंजन बंद कीजिए!	ఇంజన ఆపేయండి! ఇంజన ఆపేయండి!
-शुकरिया. -बहुत-बहुत शुकरिया.	-ధనయవాదాలు. -ధనయవాదాలు.
अगर इन लोगों को बचाना है तो हमें बहुतों की मदद चाहिए.	వీళళు బతకాలంటే మనకు అనని రకాల సాయం కావాలి.
आपका नाम लेते हुए, आमीन.	నీకు సతోతరము, ఆమెన.
लीसा, मेरे साथ चलो.	లీసా, నువవు నాతో రావాలి.
कभी जो दिखाई न दे, उस पर यकीन करना पडता है.	కనపడని విషయాలను కొననిసారలు నమమాలి.
तब आप हवाई अडडे की रेखा में होंगे, फिर आपकी रफतार कम कर दूँगा.	దాంతో విమానాశరయానికి అమరుతారు, తరవాత నెమమదించండి.
{\an8}डॉना बरेली विमानन उतसाही	{\an8}డోనా బరేలే విమానయాన ఔతసాహికురాలు
हमें कुछ नहीं होगा.	మనకేం ఫరవాలేదు.
तेल भरा हुआ है.	పూరతి ఇంధనంతో ఉంది.
-मिली? -कैरी, दूसरी ताक पर है.	-కనుగొననావా? -కయారీ, మరో అలమరాలో ఉంది.
मुझे तुमसे पयार है.	మీరంటే నాకిషటం.
लेबनान हवाई अडडा जानकारी,  वाई-एक-सात-शूनय-शूनय-जेड.	లెబనాన విమానాశరయ సమాచారం,  వె-1-7-0-0-జడ.
रैलफ, मुझे यहाँ तुमहारी मदद चाहिए. एक आपात सथिति है.	రాలఫ, ఇందులో నీ సాయం కావాలి. ఇది అతయవసరం.
-और वह कया है? -उसे छोडकर कुछ भी.	-అవి ఏంటి? -అది తపప ఏదెనా.
नहीं! मतलब, सच में आपात सथिति है.	కాదు! నిజమెన అతయవసర సథితి.
नौ-डी-डबलयू, पुषटि के लिए,	9-డీ-డబలయూ, నిరధారణకు అడుగుతుననా,
तेज. उसे और तेज जाना होगा.	వేగంగా. అతను ఇంకా వేగంగా వెళళాలి.
-लगी रहो. तुमहें हक है. -शुकरिया.	-సాధిసతూ ఉండు. నీకు అరహత ఉంది. -ధనయవాదాలు.
अचछा, लडकी.	సరే, కురరదానా.
कया चल रहा है?	ఏంటి సంగతి?
कया बात है?	ఏం జరుగుతోంది?
कया बात है?	ఏం జరుగుతోంది?
कया बात है? सब ठीक है?	ఏం జరిగింది? అంతా బానే ఉందా?
उसका नाम कैरी था, "के" से. कैरी सोरेंसन.	అతని పేరు కయారీ, కే తో మొదలవుతుంది.  కయారీ సోరెనసన.
ऊपर जाकर 14, 000 पर बने रहें.	14, 000 అడుగులకు వెళళి అలాగే కొనసాగు.
-हमें. . . -आतमहतया करने के बराबर है.	-మనం. . . -ఇది ఆతమహతయా కారయం.
आपात सथिति वाली कारयविधि देख रही हूँ.	అతయవసర పరకరియల కోసం చూసతుననా.
तीन खटटे सेब, और एक थैली चॉकलेट वाली किशमिश की.	మూడు పులల ఆపిల మిఠాయిలు, అలాగే చాకలెట పూసిన ఎండు దరాకష సంచి.
मैं कभी भटक गया था	నేను ఒకసారి దారి తపపాను
मैं जानना चाहूँगा.	అది తెలుసుకోవడం మంచిది.
वह ऑटोपायलट पर है?	అతను ఆటోపెలెటలో ఉననాడా?
फरक इतना है कि पिछली बार मैं उसमें अपने भाई के साथ था,	ఒకే విషయం ఏంటంటే, నేను దీనిలో ఉనన ఒకసారి మా తమముడుతో ఒకదానిలో ఉననాను,
{\an8}एक खास इंसान	{\an8}ఓ పరతయేకమెన వయకతి
{\an8}एक विमानन रेडियो लो	{\an8}ఒక వెమానిక రేడియో కొనుకకో,
पसलियाँ लगभग तैयार हो गईं, पापा?	పకకటెముకలు సిదధమా, నాననా?
जीत गए. अब मजे से खाएँगे.	గెలుపు, గెలుపు. తిరిగింది మలుపు.
और सुबह जब खुशी लौट आएगी,	ఇక ఉదయం ఆనందం తిరిగి వచచినపపుడు,
लडकियों वाली बातें. अचछी बात है.	అమమాయిల ముచచటలు. బాగుంది.
-दो सौ चालीस नॉटस. -अचछा.	-గంటకు 444 కి. మీ. ల వేగం. -సరే.
यकीन नहीं होता कि यह सब अभी हुआ.	ఇదంతా జరిగిందంటే నమమలేను.
हम हवाई अडडे के काफी करीब हैं न?	మనం విమానాశరయానికి చాలా దగగరగా ఉననాం కదా?
एन-नौ-डी-डबलयू, आपको फोरट मायरस को सौंपने के लिए तैयार हैं.	ఎన-9-డీ-డబలయూ, మిమమలని ఫోరట మయరసకు అపపజెబుతాం.
चलो. मुसकुराओ.	కానివవండి. నవవండి.
हो जाए.	కానిదదాం.
मैं बस मदद कर रही थी.	నీకు సాయం చేయాలని చూశానంతే.
आसमान कैसा है?	వాతావరణం ఎలా ఉంది?
ऊँचाई बढती जा रही है.	నా ఎతతు పెరుగుతూనే పోతోంది.
समझ गई.	అరథమెంది.
मेरी जान.	బంగారం.
कया कर रही हो?	నువవేం చేసతుననావు?
मैंने ठीक से बनाई?	సరిగగా చేశానా?
सावधान! नियमावली. नीचे जाइए.	జాగరతత! జాగరతత! మానయువల. పడిపోతోంది.
ईशवर, मदद करो. पलीज मदद करो.	దేవుడా, సాయం చేయి. దయచేసి సాయం చేయి.
वापस आओ! नहीं! वापस यहाँ आओ!	వెనకకు రండి! వదదు! ఇకకడికి వచచేయండి!
तुमहारे नाम की जय हो.	నీ నామము పరిశుదధపరచబడు గాక.
हैंडल पर जयादा दबाव मत डालिए.  जरा सा नीचे की ओर.	పిడిని మెలలగా వదులు.  సుతారమెన అవరోహణ.
किंग एयर पाँच-पाँच-नौ-डी-डबलयू, आप हमारे साथ हैं?	కింగ ఎయిర 5-5-9-డీ-డబలయూ, ఆనలో ఉననావా?
-बधाई हो, यार. -शुकरिया.	-అభినందనలు, బాబులు. -ధనయవాదాలు.
बार में इतना गंभीर सवाल?	బార సథాయికి ఇది భారీ పరశన, కదా?
डैन, यह बंदा नहीं बचेगा.	డాన, ఇతనికి బతికే అవకాశమే లేదు.
दो हफतों का नोटिस चाहिए.	నాకు నా రెండువారాల జీతం కావాలి.
दोपहर के वकत बीच पर हैं,	మిటట మధయాహనం ఫోరట మయరసలో ఉననాం,
{\an8}काम हो गया.	{\an8}కారయం పూరతయింది.
-तीन अंक. -बीच में से.	-మూడు. -సగం కోరట.
आपात सथिति बताइए.	మీ అతయవసర సథితి చెపపు.
-हिममत रखो! -मियामी, मेरे साथ रहो.	-ఆశాజనకంగా ఉండు! -మయామీ, మీరు నాతోనే ఉండాలి.
हाँ, सर. सही कहा.	అవును, సర. అది సరెనది.
यहाँ मौसम ठीक है,	ఇకకడ వాతావరణం బాగుంది,
मेरी तरफ देखो, ठीक है?	ననను చూడు, సరేనా?
अचछा, सभी में बाँट दो. चलो.	సరే, తలొక దికకు వెళలండి. కానివవండి.
जहाँ अवतरण यंतर और पलले खोल सकते हैं.	విమానచకరాలు దింపడానికి, అదనపు రెకకలు విపపడానికి.
मैं अपनी बेटियों को बडा होते और गरैजुएट होते देखना चाहती हूँ.	నా అమమాయిలు పెరిగి డిగరీ పూరతి చేయాలనుకుంటుననా.
नौंवी बार किसमत रंग लाएगी.	ముచచటగా తొమమిదోసారి.
-अचछा. अपने पलले खोलो. -बढिया.	-సరే. అదనపు రెకకలు వదులుతుననా. -అదభుతం.
मुझे यह बिलकुल नहीं चाहिए.	నాకు అకకరలేనిది ఇదే.
शायद नियंतरण केंदर वाली नौकरी मिल जाएगी.	నీకు కంటరోల కేందరం ఉదయోగం దొరికే అవకాశాలు బాగుననాయి.
ऐसपिरिन है? सिर फटा जा रहा है.	అకకడ యాసపిరిన ఉందా? నా తల పగిలిపోతుంది.
वहाँ सेल फोन इसतेमाल करना गैरकानूनी है.	అకకడ సెల ఫోన వాడటం చటటవిరుదధం.
नौ-डी-डबलयू, फोरट मायरस टावर.  आपको सुनाई दे रहा है?	9-డీ-డబలయూ, ఫోరట మయరస టవర.  వినపడుతోందా?
अचछा, तो किसी विमान में एक आदमी था. . .	సరే, ఒకతను విమానం నడిపాడు. . .
-माफ करना, कया हो रहा है? -सब ठीक हो जाएगा.	-అయయో, ఏం జరుగుతోంది? ఏం జరుగుతోంది? -అంతా సరదుకుంటుంది.
-अचछा? साबित करो. -हाँ.	-ఓహ, అవునా? నిరూపించు. -అవును.
आज मैं एक बहुत अचछे परिवार के साथ उडान भरूँगा.	ఇవాళ ఓ అదభుతమెన కుటుంబంతో విమానయానం చేసే అవకాశం దొరుకుతోంది.
टरेनिंग अचछी चल रही है.	హేయ, నీ శికషణ బాగా జరుగుతోంది.
हे भगवान! माँ, कया हुआ?	ఓరి దేవుడా! అమమా, ఏం జరిగింది?
और मैं तुमसे पयार करती हूँ. और यकीन है कि तुम यह कर सकते हो.	నువవంటే నాకిషటం. నువవు ఇది చేయగలవని నమముతుననా.
तुम टावर में जाने के लिए तैयार हो?	టవరకు వెళళడానికి సిదధమేనా?
-सुन पा रही हो? -वैसे. . .	-వారిని వినగలుగుతుననావా? -మరి. . .
मजाक अचछा था.	అది తమాషాగా ఉంది.
और कया आप इस समय उस विमान में नीचे उतर रहे हैं, सर?	పరసతుతం విమానంలో అవరోహణ చేసతుననారా, సర?
माँ, शायद एक और मुशकिल है.	అమమా, మనకు మరో సమసయ వచచిందనుకుంటా.
-मुझे खुशी है. -मैगी, बदतमीज हो.	-సంతోషంగా సాయపడతా. -మయాగీ, కటువుగా ఉననావు.
कया हाल है, भाई?	ఏం జరుగుతోంది, సోదరా?
आप उतरते समय मोड लेना चाहते हैं?	అవరోహణకు మీరు కచచితంగా ఎడమవెపు తిరుగుతారా?
तेज. और तेज जाओ!	వేగంగా. వేగంగా వెళళు!
मैं बहुत आभारी हूँ, ईशवर. अपनी पयारी बेटियों के लिए बहुत आभारी हूँ.	ఎననో కృతజఞతలు, దేవుడా. నా అందమెన కూతురలకు కృతజఞతలు.
विमान को 17, 000 फुट पर सीधा उडाइए.	17, 000 అడుగుల ఎతతులో విమానానని నేరుగా నడపండి.
आगे चलकर वह नियंतरण ककष पंजीकृत बने	అతనికి తరవాత నియంతరణా గది నడిపే అరహత లభించింది
अगर रनवे पर सो जाओ,	నువవు రనవేపె కునుకు తీసి,
कुरसी की पेटी बाँधे रखना.	నీ సీట బెలట వేసుకో.
हाँ, सर. सही कहा. आपके सामने मैदान है.	అవును, సర. అది నిజమే. మీ దృషటిలో విమానకషేతరం ఉంది.
एक जरूरी फोन के बीच में ही बंद पड गया.	ఒక ముఖయమెన ఫోన కాల మధయలో అది పని చేయడం ఆగిపోయింది.
एक सतर पर रहने की कोशिश करूँ?	ఒకే ఎతతులో ఉండాలంటావా?
उतरने पर बरेक का कया करना है?	దిగగానే బరేకస మాటేంటి?
माफ कीजिए. मुझे माफ कर दीजिए.	ననను కషమించు. మననించు.
जैसे कि हमारे पिता हमेशा कहते थे,	మా నానన ఎపపుడూ చెపపినటటు,
अब, चलो. काम पर लगते हैं.	ఇపపుడు, కానివవు. పనికి వెళదాం పద.
शांति से कैसे बैठूँ? हाथ-पैर फूल रहे हैं.	ఎలా శాంతించగలను? భయపడి చసతోంటే.
मैं किसमत वाली हूँ कि बारबीकयू चैंपियन के साथ सोऊँगी.	ఓ బారబెకయూ ఛాంపియనతో పడుకోవడం నా అదృషటం.
पायलट तलाश नतीजे नाम - जो - उपनाम - चबुक	పెలెట శోధన ఫలితాలు మొదటి పేరు- జో - చివరి పేరు - కబాక
हाँ, चलो.	అవును, చీరస.
-बरिसकेट 205 तक पहुँचेगा. -वैसे. . .	-205 ఫారెనహెట చేరుకుంటుందననది తెలియదు. -మరి. . .
तुम, मैं और बेली वहीं चलें?	నువవు, నేను, బెయిలీ అకకడికి వెళదామా?
उसका नाम कया था?	ఆమె పేరేంటి?
इसलिए मुझे अचछी तरह पता है.	కనుక నాకు తెలుసని కచచితంగా చెపపగలను.
ए, जो!	హేయ, జో!
मैं कयों?	నేనే ఎందుకు?
हम 11, 000 पर जाएँगे.	మనం 11, 000 అడుగులకు వెళదాం.
मैं घुमाने की कोशिश कर सकता हूँ.	తిపపడానికి పరయతనించగలను.
-उनकी दिशा में कब तक आकर पहुँचेगा? -बहुत जलद.	-వారి దిశలో చొరబడానికి ఎంత సమయం పడుతుంది? -ఎకకువ సమయం పటటదు.
लो. इसमें मदद करो.	ఇదిగో. ఇందులో సాయం చేయి.
वह लगभग. . .	అతను. . .
एक सौ साठ नॉटस पर, अवतरण यंतर खोलना.	గంటకు 295 కి. మీ. వేగం వదద, విమానచకరాలు దించండి.
अचछा, ठीक है. तुमहारे कहते ही करने को तैयार हूँ.	సరే, చేసతాను. మీరు చెపపగానే చేసతాను.
-बहुत से अलारम चालू हो गए! -ऊपर लें.	-అలారంలు మోగుతుననాయి! -పెకి లేపండి. పెకి లేపండి.
-मैं कैरी सोरेंसन बोल रहा हूँ. -कौन?	-నేను కయారీ సోరెనసన. -ఎవరు?
तुमसे पयार है, बेटा!	మీరంటే నాకిషటం!
मुझे आप पर यकीन नहीं था.	నినను సందేహించాను.
शुकरिया.	థాంకస.
अब कहाँ जाना है?	ఎకకడికెళదాం?
उसका नाम कया है?	ఆమె పేరేంటి?
आपके 58 मैसेज हैं.	మీకు 58 సందేశాలు వచచాయి.
आठ किलोमीटर दूर, 3, 100 फुट, 180 नॉटस.	8 కి. మీ. ల దూరం, 3, 100 అ. గంటకు 333 కి. మీ. వేగం.
तुमहारे लिए एक नया शौक ढूँढें, हाँ?	మనం బయటకు వెళలి, నీకు మరో అభిరుచిని చూదదామా, ఆ?
इंजन बंद हो जाता. गाडी रुक जाती.	ఇంజన ఆగిపోయి ఉండేది. టరక నిలిచిపోయి ఉండేది.
दोसत ने कभी किंग एयर का विमान उडाया है?	నీ మితరుడు కింగ ఎయిర నడిపాడా?
विमान मेकसिको खाडी के ऊपर है.	విమానం పరసతుతం మెకసికో సింధుశాఖపె ఉంది.
अपने हाथ मशीन पैनल पर रखो.	నీ చేతులని ఆ పరికరాల పానెలపె పెటటు.
आपात गाडी को तैयार रखो.	అతయవసర వాహనాలను సిదధంగా ఉంచండి.
अचछा. एन-पाँच-पाँच-नौ-डी-डबलयू,	సరే. ఎన-5-5-9-డీ-డబలయూ,
एन-पाँच-पाँच-नौ-डी-डबलयू, है न?	ఎన-5-5-9-డీ-డబలయూ, కదా?
विमान फोरट मायरस जा रहा है.	ఫోరట మయరసకు వసతోంది.
पता नहीं, पर. . .	నాకు తెలియదు, కానీ. . .
कोई निरदेश दीजिए.	దయచేసి ఆదేశానని ఇవవండి.
जलदी से बदलाव किया.	ఒక చినన మారపు.
वह घूम रहा है.	తిరిగి వెళుతుననాడు.
अपने दोसत को इनाम पाता देखने	తన మితరుడు అవారడ గెలుచుకోవడం చూడటానికి
या पहली बार साइकिल पर हो.	లేదా నీ మొదటి సెకిల సవారీగా అనుకో.
चाहते हो कि उसे पुनः निरदिषट करूँ?	ననను దిశ మారచమంటావా ఏంటి?
जेफरी वहाइट के जीवन की याद में	జెఫరీ వెట జీవిత సంసమరణ
और परांत के विजञान मेले में बादलों वाला परोजेकट जमा किया था?	కౌంటీ సెనస ఫేరలో మీరు మేఘాలపె పరాజెకట చేయడం?
-उसे नीचे खींचो. -अभी?	-దానని కిందకు లాగు. -వెంటనేనా?
पूरा सपताहांत मिलेगा मौज-मसती के लिए. . .	మొతతం వారాంతం నీ దగగరుంది. . .
सभी सफेद वाली कयों?	ఎందుకీ రుచి లేని పానీయాలు?
वे लोग मेरी परेरणा थे.	వీళళు నా హీరోలు.
जो, उठो!	జో, మేలుకో!
ऑटोपायलट बंद है.	ఆటోపెలెట ఆఫ చేయబడింది.
पीछे कुरसी की पेटी जरूर लगा लेना!	మీరు సీట బెలట వేసుకోండి!
मुझे भी तुमसे पयार है.	నువవంటే నాకిషటం.
अभी, डग!	వెంటనే, డగ!
नियंतरण कम कीजिए ताकि विमान एक सतर पर रह सके.	ఆ పరికరాలను మెలలగా వదలండి, దాంతో విమానం ఒకే ఎతతులో ఎగురుతుంది.
यह जो हैंडल है, इसे पकडकर रखना काफी भारी लग रहा है.	ఈ పిడి, అదుపు చేయడానికి బరువుగా ఉంది.
या फिर चरच में जो भी कहा गया,	లేదా చరచిలో వాళళు నాకు చెపపిన విషయాలననీ,
मैं यहीं खडी हूँ. मैंने सुना.	ఇకకడే నిలుచుననా. నీ మాటలు వినపడుతుననాయి.
-हम ऊपर जाएँ?  -कितनी दूर है?	-మేము ఆరోహించాలా?  -అది ఎంత దూరంలో ఉంది?
वह हमसे कितना दूर है?	అది మన నుండి ఎంత దూరంలో ఉంది?
पर जरूर अचछा ही होगा.	కానీ అది బాగుంటుందనుకుంటుననా.
यह असल में हो रहा है.	ఇది నిజమెన పరపంచపు విమానయానం.
ईशवर भला करे.	దేవుడు దీవించుగాక.
संपरक बन गया.	వాళళు సంపరదించారు.
इंजन बंद कर दीजिए!	ఇంజన ఆపేయండి!
इंजन बंद कर दीजिए!	ఇంజన ఆపేయండి!
इंजन बंद कर दीजिए!	ఇంజన ఆపేయండి!
फिर हमें एक मिली जो दोनों को पसंद आई	ఎటటకేలకు ఒక డరెస ఎంచుకుననాం అది మా ఇదదరికీ నచచింది
उनके साथ ऐसा कयों?	వాళళు ఇందుకు అరహులు కారు.
-दो-सौ सततर डिगरी.  -अचछा. मैं यह कर सकती हूँ.	-270 డిగరీలు.  -సరే. అలా చేయగలను.
कभी नहीं भूलता.	ఎపపటికీ పాతది కాలేదు.
{\an8}एल-एच-तीन-चार.	{\an8}లీమా-హోటల-మూడు-నాలుగు.
बादलों से ऊपर जाते ही ठीक हो जाएगा.	మనం మేఘాలను దాటి వెళళగానే అది మృదువుగా వెళుతుంది.
शायद ऑटोपायलट का है.	అది ఆటోపెలెట మీట అనుకుంటాను.
कयों?	ఎందుకు?
सिवाय उन लोगों की जो विमान में हैं.	విమానంలో ఉనన మనుషులు తపప.
मौसम से बचने के लिए?	వాతవరణ సమసయను దాటుకోవడానికి?
नियमावली में देखा था.	మానయువలలో చూశా.
बेली.	బెయిలీ.
बेली.	బెయిలీ.
आपात सथिति फोन	అతయవసర ఫోన
बेली.	బెయిలీ.
अब हम परिवार की तरफ से बीती बातें सुनेंगे,	ఈ సమయంలో మనం అతని కుటుంబం అందించే ఆతమావలోకనపు మాటలు విందాం,
पानी पीने के बराबर है.	నీళళు తాగడానికి దగగరగా ఉంటాయని.
पर अब लौट आया हूँ	కానీ ఇపపుడు కనుగొనబడడాను
यह मर भी सकता है.	అతను నిజంగానే చనిపోవచచు.
नहीं, अभी हिकरी डाला है.	లేదు, ఈసారి హికరీ చెకక వాడుతుననాం.
हमें लालच से बचाएँ, और पाप से बचाएँ.	మమమును శోధనలోకి తేక, దుషటునినుండి మమమును తపపించుము.
बरबन के साथ.	బరబనతో గడపడానికి.
जी हाँ. आप उनके हवाई कषेतर में जाएँगे.	అవునని చెబుతుననా. మీరు వారి గగనతలంలోకి పరవేశిసతుననారు.
अचछा? तुमहें ऐसा कयों लगा?	ఓహ, నిజంగా? ఎందుకు అలా అనుకుంటుననావు?
एक आपात सथिति है. पायलट बेहोश हो गया है.	నాకొక అతయవసర పరిసథితి ఏరపడింది.  నా పెలెట సపృహ కోలపోయాడు.
तेज दिमाग.	మేధావి.
बहुत अचछे, सर.	బాగా చేసతుననారు, సర.
ऐसा नहीं हो सकता. कौन बोल रहा है?	అది నిజం కాదు. మీరెవరు?
वही हैं. उनहोंने कर लिया!	అదిగో వాళళు అకకడుననారు. చేరుకుననారు!
हे भगवान.	ఓరి భగవంతుడా.
गीयर हाथ से बदलना पडता था.	అది ఆటోమేటిక కాదు.
{\an8}पहली बार विमान उडाने का	{\an8}శికషణ ఇచచే 'కనుగొనే' విమానం తీసుకుని
मैंने तुमहारे नाम से भरोसा दिलाया. ठीक है?	నేను నినను సమరథించాను. సరేనా?
मैं नियंतरण ककष में हूँ और एक आदमी है. . .	నియంతరణ గదిలో ఉననా, ఒకడు. . .
और हम फलोरिडा, फोरट मायरस में	ఫలోరిడాలోని తీరం వదద
चलो. फेंको.	ఇందులోకి విసురు.
न, नहीं छोडा.	లేదు, నేను వదలలేదు.
यह जबरदसत है.	ఇది నమమశకయం కానిది.
यह एक धारणा है.	అది ఒక తాతవికతలాంటిది.
धत तेरी. यह बेकार फोन.	ఛత. ఈ చెతత ఫోన.
पाँच-पाँच-नौ-डी-डबलयू.	5-5-9-డీ-డబలయూ.
मैं सह पायलट की कुरसी पर हूँ. पाँच-नौ-डबलयू.	సహపెలెట సీటలో ఉననా. 5-9-డబలయూ.
अचछा. तो फिर कभी मुलाकात होगी.	సరే. అయితే, నినను తవరలో కలుసతాననుకుంటా, మరి.
ऑटोपायलट को बंद कर दीजिए.	ఆటోపెలెట ఆపేయండి.
एलयूमीनियम फॉयल से?	దేనితో, అలయూమినియం రేకుతోనా?
हाँ, यार! हाँ! चलो!	అవును! అవును, అదది! సాధించు!
दस हजार तक जा रहा है.	10, 000 అడుగులకు చేరుకోబోతుంది.
यातरी विमान उडा रहा है.	పరయాణీకుడు విమానానని నడుపుతుననాడు.
सॉस?	సాస ఆ?
हाँ.	అవును.
कहो.	చెపపు.
यह लीजिए.	ఇదిగో.
कया हुआ?	ఏం జరిగింది?
कोई और बात है कया?	ఈ చిరాకు మరో విషయం గురించా?
पटाखे चले.	ఎతతుకు పెయెతతు.
-हाँ. -शायद.	-కుడివెపు. -అవును.
मारको टरैफिक. किंग एयर एन-पाँच-पाँच-नौ-डी-डबलयू.	మారకో టరాఫిక. ఎన-5-5-9-డీ-డబలయూ.
हाँ.	అవును.
हाँ.	అవును.
आप यह कर सकते हैं?	అలా చేయగలరా?
दो सौ दस नॉटस.	గంటకు 390 కి. మీ. లు.
