एक घर, एक औरत.	ఇలలు, ఒక సతరీ.
ऐसा नहीं कि	నీ సావాసం నాకు తెగ నచచిందని కాదుగా.
चलो, जान.	అరే, బేబీ. ఈ పిచచి కలపన నుండి
हमारे पास	మా రికారడులో పరిసకరిపషన నెంబరు
गरेग!	గరెగ! గరెగ! గరెగ!
डॉ. विटल,	డాకటర విటల, ఇపపుడెలా ఉంది మీకు?
ए!	హే! హే!
अचछा, तो जब तक मामला ठंडा नहीं हो जाता,	సరే, అయితే,
सपनों का घर	కలల
माफ कीजिए,	సాంకేతిక ఇబబంది కలిగినందుకు మననించాలి.
असमानता	అసమానతవానికి వయతిరేకంగా ధరనా
कम से कम	ఏడాదికి 5, 00, 000 వేతనం ఇసతారు.
"ठीक है.	"పరవాలేదు. నాకు మోకాలు నొపపిగా ఉంది. "
