मै मी ?	మా మీ ?
चलो भी . गु रु वार लॉ ट री का समय है .	అందరూ , ఇలా రండి . ఈ రోజు గు రు వా రం లా ట రీ ఉంది .
ह री टि कट , 2 - 1 - 6 .	ఆ కు ప చచ టి కె ట , 2 , 1 , 6 .
पर , अ क सर इससे नि रा शा हो सकती है .	కానీ , అ పపుడ పపుడు అది ని రా శ కలి గి ంచ వచచు కూడా .
. . . कई जान वर चाहिए . जैसे कि , शायद एक कै टर पि ल र .	. . . చాలా జ ం తు వు లు ఉండాలి . ఎలా ంటి ద ంటే , బహుశా ఒక కా టర పిలల ర కా వచచు .
तुमहें उन में से कोई चाहिए जो तुम ला ई हो ?	నువవు తె చచి న ది ఏ దీ నీకు వ ద దా ?
मुझे बा रह ब जे आ ना था .	ప నన ె ండు గంట లకు ననను ర మమ ననా వు .
वे सारे कमी ने होते हैं , है न ?	వాళల ంద రూ వెధవ లు , కదా ?
- हे भगवान . - हे भगवान !	- దేవుడా , బా బ ూ . - దేవుడా , బా బ ూ !
- हे भगवान ! - हे भगवान !	- దేవుడా , బా బ ూ ! - దేవుడా , బా బ ూ !
- ए . सब ठीक है ? - हैलो .	- హేయ . అంతా బాగానే ఉందా ? - హాయ .
और स ॉ स चाहिए ?	ఇంకా సత సా స కా వ ాలా ?
हे भगवान , उनके न ु की ले सत न .	ఓహ , దేవుడా , సూ టి గా ఉండే తన చ ను మొ నలు .
मेरे पास आओ , ऑ स कर .	మీ నానన దగ గ రికి రా , ఆ స కర .
अरे , वह इस तरफ है .	ఓహ , సరే , ఈ దా రి లో వెళ దాం .
डै ड के रॉ क बि ली बा ल	నానన జు టటు ని పె కి దు వ వడం .
मुझे तुमहारे पास प डी वह फो टो याद आई जो म ॉ म और डै ड ने फो र टी फु ट में खि ं च वाई थी .	ఫా ర టీ ఫ ు ట లో అమమా నానన ల ఫో టో నీ దగగర ఉండే ది గుర తొ చచి ంది .
- इसमें पु दी ना है . - तुमहें पसंद नहीं आए गा , जान .	- ఇది మి ంట ది . - నీకు న చచ దు , బు జ జీ .
माफ करना , कॉ फी खतम हो गई .	మా దగగర కా ఫీ అయి పోయింది , మన ని ంచండి .
हाँ , मुझे बिलकुल भी विश वास नहीं है .	నేను కా సే పు దానిని నమమ ను .
खैर . . . खैर , कम . . . कम से कम . . .	సరే . . . సరే , నీకు . . . నీకు క నీ సం తెలి సింది . . .
हाँ , सब ठीक है .	అవును , మ రే ం ఫర వాలేదు .
कयों ?	దే నికి ?
तुमहारी बडी बहन ने बताया था . मुझे . . . मुझे ए ह सा स नहीं हुआ कि तुम सब एक साथ थीं .	మీ ఇం కో సోద రి చెపపి ంది . మీరు అందరూ అంటే నాకు అరథం కాల ేదు .
मैं जलदी निकल ने की कोशिश कर ूँगी .	నేను ఏదో పరయత నం చేసి కొ ద ది గా ము ందే వచ చేసతాను .
हाँ , पर उसे नहीं .	అవును , కానీ అత డిని కాదు .
हाँ , ख र ों चों . . . और बच चों की बी मा रि यों के माम ले में .	అవును , సరే , మీకు . . . మీకు తెలుసు , చినన గా య ాల కు ఇంకా పిలల ల రు గ మ తల కి ఉ ప యో గం .
कयोंकि मैं बात मन वा ने में मा ह िर हूँ .	ఎందుకంటే నేను ఒ పప ి ంచే వర కూ వది లి పెటట ని చెతత వెధ వని .
तो शायद उनकी बात अलग है .	కాబటటి వాళల సంగ తి వే రే లా ఉండ చ చే మో .
तुम कै सी हो ?	మీరు ఎలా ంటి వారు ?
अरे , अचछा ? यह दिल च सप है .	ఓహ , నిజంగా నా ? అది ఆ స కతి కర ంగా ఉంది .
यह कब से चल रहा है ?	ఎంత కాల ంగా నీ ఇది న డు సతోంది ?
मैं अचछी हूँ . कयों ?	నేను గొపప గా ఉననాను . ఎందుకు ?
मैं अभी ऑ फि स ही आ रहा हूँ .	నేను ఇ పపుడే ఆ ఫీ సు కు తిరిగి వ సతుననాను .
बस मुझे समय और जगह बता देना .	ఏ సమయం లో , ఎకకడ కలు ద దా మో నాకు మె సే జ చేయి .
बस . . .	కేవలం . . .
बेहद भ द दी .	అదభు తం .
धनयवाद !	ధనయవాదాలు !
हाँ , हाँ , हाँ .	అవును , అవును , అవును .
सच कहूँ तो , मेरी जिंदगी काफी उ बा ऊ है .	నిజం చెపప ాల ంటే , నేను చాలా బో రి ంగ జీవితం గ డు పు తు ంటా ను .
भगवान , मैं इतनी घ बरा ई हुई हूँ .	దేవుడా , ఇది నాకు చాలా ఒ తతి డిని కలి గి సతోంది .
पूरी तरह खा ली बैठ ी हूँ .	బు ర ద లో దొ ర లే వాళల ంత ఖ ా ళ ీ గా ఉననాను .
फोन जा रहा है . . . डॉ न ल	డ య లి ంగ . . . డో న ల
- ठीक है . ठीक है . - और मैं अभी आई .	- సరే . అలాగే . - నేను ఒకక నిమిష ంలో తిరిగి వ సతాను .
तुमहें देखो . बिना सत न के .	నినను చూడు . నీకు వ కష ో జ ాలు లే నే లేవు .
बस उसे देख कर मा यू स हो गई .	దానని చూడ గానే నా ఊ పి రి కష ట మె పోయింది .
पता नहीं .	నాకు తెలియదు .
मुझे तुमहारी याद आ रही है .	నినను మి స అవు తాను .
तुम आ गए .	ఈ యన వచ చేశా డు .
कभी नहीं .	అవకా శ మే లేదు .
ठीक है . तो , यह लो .	సరే . అయితే , ఇ వి తీసుకో ండి .
हे भगवान .	దేవుడా , బా బ ూ .
हे भगवान .	దేవుడా , బా బ ూ .
हे भगवान .	దేవుడా , బా బ ూ .
हे भगवान .	దేవుడా , బా బ ూ .
हे भगवान !	దేవుడా , బా బ ూ !
जरूर . मैं छोड आ ऊँ गी .	ఏం ఫర వాలేదు . అది నాకు వదిలే య .
माफ करना . बस हो गया .	మన ని ంచు . ఇం క పూరతి కా వచచింది .
मुझे खुद से न फ रत है .	ననను నేను ద వే షి ంచు కుంటుననా ను .
और अन य फो टो भी थीं , जो दोबारा कभी नहीं मिल ें गी , समझ ी ?	ఇంకా నాకు గురతు లేదు , మి గ తా వాళల పో టో లు ఉననాయి , కానీ వాటి ని భ ర తీ చేయ లేను , కదా ?
बे न - मैं बेहद उ त ते जि त हूँ , तुमहें देखना है , एक फो टो भे जो	బె న . . . నేను చాలా ఉద వే గ ంగా ఉననాను . నినను వెంట నే చూడ ాలి బ ే బీ . నీ ఫో టో నాకు పం పి ంచు .
वह ह ल के में ले रहा है , पर वह सच में स द मे में था .	అతను దానిని తే లి క గా తీసుకు నన టలు చెబు తుననా డు , కానీ తను బాగా షా క అయ యా డు .
हम बस चाहते हैं कि तुम हमारी मदद करो .	మేము కేవలం పర క ృ తి కి కొ ద ది గా సాయం చేయాలి అనుకుంటుననా ము .
पयार अजीब चीजें करवा ता है .	పరే మ మన తో వి చి తర మెన ప ను లని చేయి సతుంది .
बस . . . थोडा सं दे ह हुआ था .	కేవలం , మీకు తెలుసు . . . కేవలం అను మా నం .
सच कह रहे हो .	నువవు నిజం చెపపా వు .
" मु ख य वि ष ा कत घट क अ मै न टि न है ,	" ఇ ందు లో పర ధా న మెన విష ప దా రథ ం పేరు అ మా ని టి న ,
डै ड उसे हर साल तो ह फा भेज ते थे .	పరతి సం వ త సరం అతనికి నానన బహు మా నాలు పం పే వాడు .
अग ली बहन पर द बा व डाल ने के लिए उसका इस ते माल करेंगे .	ఈ మె చె ల లె లి మీద ఒ తతి డిని పె ంచు దాం .
मुझे भी नहीं आया .	నాకు కూడా ఏ సమా చా రం లేదు .
- मैं . . . - चु प रहो .	- నేను . . . - కా సే పు మాటలాడ కు .
वह आज बेहद शा ंत है .	తను ఈ ఉద యం చాలా మ ౌ న ంగా ఉంది .
वह . . . वह अन ुम ति नहीं दे गा .	అది . . . అది జరగ దు .
आज दो पह र को अ ल सटर तक ,	ఈ మ ధ యా హ నం కల లా అ ల సటర చే రు కు ని ,
दरअसल , वह छो टी सी दु र घट ना थी .	నిజ ానికి అది కేవలం చినన గా కొ టటు కు ంది , అంతే .
शा ंत हो जाओ , मैं यह लौ टा द ूँगी .	పర శా ంత ంగా ఉ ండు , నేను వాటి ని తిరిగి పెటట ే సతాను .
- और माँ स है , मै मी ? - मैं ले आती हूँ .	- ఇంకా సత మా ం సం ఏమెనా ఉందా , మా మీ ? - నేను ఇ పపుడే వ సతాను .
तुम मुझे खो सकती थी .	నువవు ననను కో ల పోయి ఉండే దాని వి .
हाँ .	అవును .
जाओ .	వెళ లు .
हाँ .	అవును .
हाँ .	అవును .
- गरेस ने ? - इ वा ने .	- గరేస ? - ఈ వా .
धत .	ఛ .
पूरी तरह से .	అది ము గి సి పోయింది .
उस कमी ने की वजह से , इ वा .	ఆ చెతత వెధవ , ఈ వా .
जवा न महसूस करती हूँ .	నా వయ స సు త గ గి న టలు అనిపి సతుంది .
हाँ .	అవును .
हाँ !	అవును !
उठा ओ , उठा ओ . चलो , चलो . उठा ओ . डॉ न ल . चलो ! उठा ओ !	ఫోన తీసుకో , తీసుకో . తవర గా , తవర గా . ఫోన ఎ తతు . డో న ల . తవర గా ! ఫోన తీ యి !
हाँ .	అవును .
हाँ .	అవును .
वह मर गया .	వాడు చని పోయా డు .
कया हुआ ?	ఏం జరిగింది ?
पर वह बस चला गया . वह तुमहें छोड कर य ूँ ही चला गया .	కానీ అతను నినను కా ద ను కు ని వెళలి పోయా డు . నా ఉదదేశం అతను నినను వి డి చి పెటటా డు .
हाँ , दुनिया का सबसे बुरा सु पर ही रो . पर , दरअसल . . .	అవును , పరపంచ ంలో అ తి చెతత సూ పర హ ీ రో ని . ఏ ది ఏమెనా , వా సత వ ంగా , మీకు తెలుసు . . .
बस सवाल पूछ ते रहो , देखो कया जवाब मिल ते हैं .	ఊ రి కే మనం చె ట లని కు దు పు తుననా ము , ఎలా ంటి యా పి ల ప ండ లు పడ తా యో చూ దదాం .
पूरी जिंदगी . मुझे सच में खुशी है .	నీ జీవితం అంతా . నువవు చేశా వ ంటే నాకు సంతోష ంగా ఉంది .
नहीं , नहीं , नहीं . यह बे रु ख ी है .	లేదు , లేదు . లేదు . నువవు నీ రస ంగా మాటలాడు తుననావు .
और तुम यह कैसे करो गी ?	అది ఎలా చేయ ాలని ప థ కం వే సతుననారు ?
म ॉ ली ! मैं तुमहें कान के ऊपर छ ि दवा ने द ूँगी .	మో లీ ! నీ చె వి పె భా గ ంలో నువవు కు టటి ంచుకో డానికి నేను ఒ పపు కుంటా ను .
- कॉ फी बना ओ . - हाँ .	- వే డి నీ ళలు పెటటు . - అలాగే .
ज ॉर ज और मेरे रिश ते की शु रु आत भी ऐसे ही हुई थी .	నేను , జా ర జ అలాగే మొద లు పెటటా ము .
श रा ब पी ने वाली म म मि या ँ .	తా గు బో తు అమమ లు .
डे थ कै प ज हर के पहले ल कष ण हैं उल टी और द सत .	డె త క యా ప విష ం వలల మొదటి లకష ణ ాలు ఏమి ట ంటే వా ం తులు ఇంకా వి రో చ నాలు .
वह काम पर है .	తను ఆ ఫీ సు కి వెళ లా డు .
बढिया है . यह बढिया है .	గొపప గా చేశా వు . చాలా గొపప గా చేశా వు .
माफ करना , मैं बस ट ह ल रहा था . मुझे ऐ ं ठ न है .	కషమి ంచండి . నేను ఊ రి కే అలా క ాలు ఆ డి సతుననాను . నాకు క ండ రం ప టటే సింది .
कया यह ला इ ब रे री की कि ता ब ें हैं ?	ఇ వి లె బర రీ పు సత క ాలా ?
अब कहाँ जाओ गे ? बि यर पि यो गे ?	ఇపపుడు ఎ కకడికి వెళ తుననావు ? బీ రు తా గ డా ని కా ?
मुझे इसका मतलब भी नहीं पता .	అది ఏమి టో నాకు క నీ సం తెలియ ను కూడా తెలియదు .
अब ? अब मैं च ौ क न ना रह ता हूँ .	ఇ పపు డా ? ఇపపుడు నా జా గర తత లో నేను ఉ ంటుననా ను .
मैंने पैसे खो दि ए .	నా డబబు అంతా పో గొ టటు కుననాను .
- नहीं . नहीं . - मैं बस . . .	- వదదు . వదదు . - నేను ఊ రి కే ఇ సతుననాను . . .
मैं एक क प डा ले आती हूँ .	నేను ఏదెనా తు డి చే గు డ డ తీసుకు వ సతాను .
वह अस पता ल जाएगा , और वे पर ीक ष ण करेंगे ,	అతను ఎ మర జె నస ీ వార డు కి వెళ తా డు , అకకడ వాళలు పర ీ కష లు చేసతా రు ,
और मेरा रो ले कस	నా రో లె కస గ డి యా రం కూడా
तुम पागल हो ?	మీకు పిచచి ప టటి ందా ?
तुम कितनी पया री हो .	చాలా సంతోష ం .
कॉ फी च ढ ा दो .	కె టి ల ఆన చేసి ఉ ంచు .
यह सुन कर ही भ द दा लग रहा है .	అది ఘ ో ర మెన ద ృ శ యం .
यह 1 2 यू रो का था .	అది ప నన ె ండు యూ రో లు ఉంటుంది .
अगर हम पर या पत निकाल ें ,	మనం గ నుక త గి న ంత విష ా నని తీ య గ లి గి తే ,
- अब हम चल ते हैं . - बढिया है .	- మేము ఇం క మిమమలని వి డి చి పె డ తా ము . - మంచి పని .
हाँ , पर तुम . . . वह . . . वह नै ति क है . वह . . .	అవును , కానీ నువవు . . . సరే , తను . . . తన కి నె తి క వి లు వ లు ఉననాయి . తను . . .
तुमने कोशिश नहीं की .	నువవు సరి గగా పరయతని ంచిన టలు లేదు .
भगवान , मैं सोच भी नहीं सकती .	నా ఉదదేశం , దేవుడా , ఆ ఆలోచ న వ సతే నే త టటు కో లే ము .
गलत मत समझ ना , पर मुझे बस उससे से कस चाहिए .	నీకు ది గ భ రా ంతి కలి గి ంచ ను , కానీ కేవలం సె కస కోసం అతని ని కలు సతుననాను .
और स टी रि यो सि सट म और वा इ ड - स करी न टी वी भी .	ఇంకా సట ీ రి యో సి సట మ ఇంకా వె డ స క రీ న టీ వీ ఆ క యా బి న లో దగ ధం అయ యా యి .
यह बहुत दु ख द घट ना थी .	ఇది దారు ణ మెన వయా పా రం , మీకు తెలుసు .
कार दु र घट ना के लिए दा वा किया था .	నాలు గు నె లల కింద ట మార కర హో టల దగగర జరిగి ందని చెపపా రు .
कै बि न कब ठीक होगा , जे पी ?	ఆ క యా బి న పని ఎ పపటి కి పూర త వు తుంది , జె పి ?
मैं हमेशा यही सोच ती हूँ .	ఆ జో క ఎ పపుడు చెపప ాలా అని ఎదు రు చూ సతుననా .
- हाँ , पर शो र म चा ने वाली म म मि या ँ . - शो र म चा ने वाली म म मि या ँ ?	- అవును , కానీ గో ల అమమ లు . - గో ల అమమ లా ?
शायद इससे तुमहारा कोई वास ता नहीं है .	అది బహుశా మీకు అన వ సరం .
यह यो नि तुमहारी है	ఈ యో ని నీ ది
केवल एक नर स को ही यह करना	అది ఎలా చేయ ాలో తెలి సిన వాళలు ఎవరెనా ఉంటే ,
अंदर आओ . बैठ ो .	లోప లి కి రండి . కూ రచ ో ండి .
तुम और मैं जेल पहुँच जाएँगे .	మీరు మిమమలని , ననను కూడా జె లు ప ాలు చేయ బో తుననారు .
पता है . पता है .	నాకు తెలుసు . నాకు తెలుసు .
धत .	చెతత .
मुझे घर तक छोड दो .	నేను వెళ లే చో టు దగగర ది గ బె టటు .
कमी नी .	చ ౌ క బా రు ది .
मुझे ह री फ लिया ँ दो गे ?	అకకడ ఉనన ఆ కు ప చచ బీ నస ఇలా అ ంది సతా వా ?
वह कहते . . .	ఆయన ఇలా అనే వాడు . . .
जरूर . बस . . . बस दो मिनट . दो मिनट दो .	తపప కుండా . రెండు . . . రెండు నిమిష ాలు . నాకు రెండు నిమిష ాలు ఇవ వు .
बेहतर होगा वे मेरी त ला शी न लें .	వాళలు అ టు వ ంటి చెతత ప ను లు నా విషయం లో చేయ కపోతే మంచిది .
कुछ पी ना चा हो गे ?	తా గ డానికి ఏదెనా తీసుకు రా నా ?
- बस पा नी , कृ प . . . - कॉ फी बढिया होगी .	- కొ ద ది గా మంచి నీ ళలు చ ాలు , దయచేసి . . . - కా ఫీ అయితే బాగు ంటుంది .
हाँ . मुझे दो मिनट दो . मैं अभी आई .	అవును . నాకు రెండు నిమిష ాల సమయం ఇవవ ండి . మీ దగగర కి వ సతాను .
पता नहीं कयों .	ఎందుకు పం పే వా డో తెలియదు .
ए , जान .	హేయ , బంగా రం .
ए , जान .	హేయ , బంగా రం .
हाँ . हम कॉ न सर ट में थे , इसलिए . . .	అవును . అంటే , అపపుడు మేము ఒక కం సర ట కి వెళ లా ము , కాబటటి . . .
उठा ओ . उठा ओ .	ఫోన తీ యి . ఫోన తీ యి .
ठीक है .	సరే .
ठीक है .	సరే .
इससे दिल का घ ा तक द ौ रा पडे गा .	అది పరా ణ ా ంత క మెన కార డి యా క ఎ ర హి త మి యా ని కలి గి సతుంది .
हाँ , उममीद तो है .	అవును , నేను అదే అనుకుంటుననా ను .
- नहीं . - नहीं .	- నేను కో ల పో లేదు . - లేదు .
पि न डाल ें	పి న న మో దు చేయ ండి
अरे , धत तेरी की .	ఓహ , చెతత .
- हम कयों चले आए ? - उठा ओ .	- మనం ఎందుకు వచ చేయ ాల సి వచచింది ? - ఫోన తీ యి .
ए . तुम ठीक हो ?	హేయ . నువవు బాగానే ఉననా వా ?
हम बस खुश कि सम त हैं कि वह अंदर नहीं था .	మే ం చేసిన మంచి ప ను లు మమ మ లని కా పా డా యి అందుకే అపపుడు అతను అందు లో లే డు .
मुझे लगता है कि वे बी मा वाले तब तक नहीं रु क ेंगे	ఆ బీ మా వెధవ లు తమ కు కా వల సిన
हम एक बडा , खुश हा ल परिवार हैं .	మేము ఒక పెదద , సంతోష ంగా ఉండే కుటుం బం అని అందరూ అంటా రు .
हाँ . वह भी ना इ ल से .	అది పెదద దే . పె గా న య ల నుండి వచచింది .
मैं कै सी हूँ ?	నేను ఎలా ంటి దానిని అంటే ?
तुम शर मना क हो .	అవ మా న క రం . నీ పరిసథి తి అది .
सब भूल गई . माफ कर दो .	. . . అద ంతా మర చి పోయా ను . ననను కషమి ంచండి .
भगवान के लिए .	దేవుడా .
धत . देखो , आ मत ौर पर मैं सा मान य इंसान की तरह	చెతత . చూడ ండి , నేను ఒక మా మూ లు మనిషి లా గే మిమమలని మీ క రె మ ఘ టట ం దగగర వదిలే సే వాడిని
वह और जे पी स ह कर मी हैं ,	సరే , తను ఇంకా జె పి వ ృ తతి పర ంగా స హ ఉద యో గు లు ,
पता है कया ?	మీకు ఒక విషయం తెలుసా ?
हम सब के लिए , बस सा व धा नी की खा त िर .	ఏదెనా జరగ రా ని ది జరిగి తే జా గర తత కోసం , మన అంద రికీ కా పీ లు తీ యి ంచాలి .
और घ ि नौ नी हो .	ఇంకా అస హ య ంగా వయ వ హ రి సతా వు .
मुझे आज सो ना चाहिए था , समझ े ?	ఈ రోజు నిజ ానికి నేను పడు కో వాలి , కానీ పడు కో లేదు , తెలుసా ?
ए .	హేయ .
अ रस . आओ .	ఉ రస . లోప లి కి రా .
ए .	హేయ .
ए .	హేయ .
हाँ .	వ సతుననా .
हाँ ! ह ँ ?	నాకు తెలుసు ! హు ?
मैं कया . . .	నేను ఏం అడుగు తుననా నా . . .
दरअसल , हाँ .	అవును , నిజ ానికి చేయాలి .
बाकी जग हों में गर मी बर करा र रहे गी .	మి గ తా చో టల పర ధా న ంగా వా తా వర ణం పొ డి గా ఉ ండి , అకకడ కకడ ఉ ష ణ ో గర తలు పె రుగు తా యి .
हैलो .	హలో , బు జ జీ .
हाँ .	అది నా దే .
हम चल ते हैं .	మేము ఇం క సె ల వు తీసు కుంటా ము .
और शा म को म ं सटर और उ त तरी ले न सटर तक .	తరువాత సా య ంత రా ని కల లా ము న సటర , ఇంకా నా ర త లీ న సటర లో కొ ద ది పరా ంత ాలను చే రు కుంటా యి .
बाद में मिल ेंगे .	ఉంటా ను .
मैं सो गई थी .	నేను ని దర లోకి జా రి పోయి ఉంటా ను .
तुमहारे जी जा जी के साथ ?	మీ బా వ తో ?
यह साफ करो .	సరే , ఈ చెతత అంతా శు భ రం చేసే య .
शा बा श .	బాగా ఆ డా వు , బా బు .
मुझे भी .	నేను కూడా నినను పరే మి సతాను .
और अब ?	మరి ఇపపుడు సంగ తి ఏంటి ?
