रॉ बि न !	రా బి న !
यह मुझे ठीक लगता है .	అది నాకు బాగానే ఉంది . చాలా ఉ త తే జ కర ంగా , వి లకష ణ ంగా ఉంది .
- पर कया आपको . . .	- కానీ మీ రె పపుడ ెనా - నీ కుటుం బం గురించి వి ననా వా ?
मैं हमेशा से	నే నె పపుడ ూ సె వెన లో ఉండ ాలను కుననాను .
मान ो 2 00 3 ने फोन करके कहा	ఇది 2 00 3 లా గా ఉంది , వాళళు వాళళ కార య ాల యం తిరిగి కో రు కుంటుననా రు , తెలుసా ?
- यह कौन है ?	- అత నె వ రు ? - ఇ తను హ యూ య ీ క యా ం ప బె ల .
आप हमें जानते हैं ,	మేము ఎవరో మీకు తెలుసు , కానీ మన మ రో హ ీ రో ను కలు ద దా ము .
तब तक डॉ . व ॉ ट	డా క టర వా ట అ పపటి కే కష ే తరం లో కా ం ప ౌ ండ వీ
या फिर यह आदमी	లేదా ఇ తను , అతని అసలు గురతు ంపు తెలియ లేదు ,
तुमहें लगता है	అతను మా డ లి న స టి ల వె లను చం పా డ ను కుంటుననా వా ?
कोई और नहीं है .	ఇం కె వర ూ లే రు . మన లని ర కషి ంచ డానికి ఎవరూ రా రు .
जब असल में ल डा ई होगी ,	వాళళు అస లెన పో రా టం చే సతునన పపుడు , మన హి రో లు ఎవ రికి ని వే ది ంచాలి ?
मतलब यह कि मैं	అంటే నేను ఈ చి కకు ము డిని కల ప ాలని పరయతని సతే ,
कल , द डी प को	ని నన , ఒ హా యో లో ని సా ండ స కీ లో స ల పా ష జో న లో
और उसके लिए	దానికి ఎ పపటి కీ నీ పె గ ౌ ర వం ఉంటుంది .
सत रह कि लो मी टर दूर ,	సు ర కషి తంగా 1 7 కి . మీ . ల దూ రం లో పె ర టి లో ఎందుకు దొ రికి ంది ?
एक बात कहूँ ?	ఏంట ో తెలుసా ? ఇది చేయ గల మే మో పరి శ ీ లి ంచి ,
और यहाँ पर	వాళళు నా చి ప ను క నీ సం కను గొ న లే రు .
आर पी जी बे च ूँगा ,	నేను ఆర పీ జీ లు అమ ము తాను , కల ష ని కో వ లు దొ ం గి లి సతాను ,
सं स द स दस य न यू मन	కా ంగ రె స మ హి ళ న ూ మా న సూ ప ఉ గర వా దు ల పె మాటలాడు తుననారు
कुछ वकत के लिए ,	నినను కొ ంత కాల ం ఒ హా యో లో ని సా ండ స కీ లో ఉ ంచ బో తుననా ము .
और अपने अजी ज ,	ఇంకా పరి యా తి పరి య మెన సనే హి తు డి కోసం చేసతాను .
- मैं ठीक हूँ .	- నేను బాగు ననాను . - ఇది సు ర కషి త మెన చో టు , డీ ప .
- नहीं , शुकरिया .	- వదదు , ధనయవాదాలు . - నినను తిరిగి సె వెన లో చే రు సతాను .
सु पर ही रो को	జా తీ య ర కష ణ లో సూ ప స ను ఎవరూ పెటట డం లేదు .
- माफ करना .	- కషమించు . - విష యా నికి సూ టి గా వ దదాం .
नहीं , दरअसल ,	లేదు , నిజ ానికి థ ె ర పీ లు చాలా వి నా శ కర మెన వి .
हाँ , हैलो .	మనం ఇపపుడు చి త రీ కరి సతుననా మా , ఏమ ండ ీ .
डॉ न ऑ फ द से वे न	డా న ఆ ఫ ద సె వెన ఈ 2 0 2 1 వే స వి లో మీ థ ి యే టర లలో మాతరమే
- हाँ ?	- ఫర వాల ే దా ? - అవును .
हैलो , दोसत .	హే .
- तुम आ गई .	- నువవు వచచా వు . - నేను సూ పర హ ీ రో ను కదా .
ह टो .	జరగ ండి , జరగ ండి .
अरे !	నువవు చెపప లేదు .
शायद वह तुमहें	ఆమె నీకు సా య పడ గల దు , నినను నీ కుటుం బం దగగర కు చే రచ వచచు .
मान ो उसे पता था	ఏదో జరగ బో తు ందని అతనికి దా దా పు గా తెలి సిన టటు గా , అతను అననా డు ,
- मुझे पसंद था .	- నాకు ఇది న చచి ంది . - అవును , నాకు కూడా , అది నిజంగా బాగుంది .
डे सट ि ने शन स	డె స టి నే ష నస స వ యం పు న రు దధ రణ య ొ కక కొతత శా సత రం
एक - दो दिन में	అతను మనకు కా ం ప ౌ ండ వీ తె చచి సతుననా డు , ఒకటి రెండు రోజు లలో .
और यह वाला ?	ఇది ఎలా ఉంది ? ఇది మీకు ఎలా అనిపి సతుంది ? ఎవరెనా ?
- अचछा ?	- నీకు తెలుసా ? - అవును , అంటే ,
जरा सा ँ स लो ,	కొ ంత సమయం ఆగు , ఇది చేయ డానికి ఏ ది ఉ తత మ మా రగ మో కను గొ ందా ం .
कई दि नों से	నువవు కొనని రోజు లు గా నా పని ప టట ాల నన టటే తి రుగు తుననావు ,
हम थोडा	మనకు కొంచెం కా ం ప ౌ ండ వీ దొ రక బో తుంది .
- न मस ते .	- శు భ ో ద యం . - మి . ఎడ గర , కషమి ంచండి , నేను - -
मुझे भी	నా కూ మ హా ఉ గర వా దు ల గురించి ఆ ందో ళ న గా ఉంది .
माँ	అమమా దయచేసి నాకు కాల చేయ .
अब से ,	ఇ పపటి ను ండ ీ , నేను నా స ొ ంత ఎ జె ండా ను రూ పొ ంది ంచు కుంటా ను ,
