पलीज . पलीज .	పలీజ . పలీజ .
- नहीं , बेटा , उसके ब गी चे में जाओ ! - हम नहीं चाहते वह पुलिस को बुला ए .	- వదదు , బు జ జి , ఆమె పరా ంత ంలో కి వెళళ కు ! - ఆ వి డ మళళీ పోలీసు లకు ఫోన చే సతే తల న ొ పప ి మొద ల వు తుంది .
शुकरिया .	థాంక స .
सि त ंबर	సె ప టె ం బర
जहाँ से मी लों दूर तक नी ला आ स मान दिख ता है	నీ ళలు ఆ కా శా నని తా కు తునన ఈ భ వ నం
कया यह मुझे देख सकती है ?	ఈ వి డ ననను చూడ గల దా ?
खैर , इसमें मि सटर ब रि ग स शा मिल हैं .	అంటే , ఆ పని మిసటర బ రి గ స గా రికి సంబం ధి ంచి ందే .
शुकरिया .	థాంక స .
हो , हो , हो , हो ! मेरी करि समस .	హో , హో ! మె ర రీ కరి సమ స .
- चु प रहो . - कया ?	- నో రు మూ సుకో . - ఏంటి ?
जिस पर तुम जो र नहीं दो गे	కానీ నీ సథా యి కి త గ ని ఈ ఎ తతు గ డ లతో
सही कहा .	అవును .
शुकरिया .	థాంక స .
हे भगवान .	ఓ రి , దేవుడా .
वह . . . यह मर गया .	అది . . . అతను చని పోయా డు .
यही चाहता हूँ मैं .	నాకు కావాల సింది అద ొ కక టే .
हे भगवान .	ఓ రి , దేవుడా .
मैं भूल गया था कि खु ज ली आने पर खु ज ला ना कैसा लगता है .	దు ర ద గో క డం ఎలా ఉ ంటు ందో నేను మర చి పోయా ను .
शुकरिया .	థాంక స .
ओह , ग जब . . .	ఓ రి , దేవుడా . . .
हाँ . खुद को संभा लो . अफ सो स करना बंद करो .	అవును . కా సత నె మమ ది ంచు . తీసుకు నన నిరణ య ాల కు చి ంతి ంచ కు .
- कहाँ ? यहाँ ? - हाँ .	- ఎ కక డా ? ఇకకడ ే నా ? - అవును .
शुकरिया .	థాంక స .
और फिर हर साल मैं रु क जाता था .	కానీ పర తీ ఏ డా ది , అదే పని చే సతూ ఉ ండి పోయా .
पर सता व पास हो गया .	పరతి పా ద నను ఆ మో ది సతుననా ం .
- ठीक यहीं . उ मर . . . 9 3 . बुरा नहीं है . - मुझे मिल गया .	- ఇకకడ ే . ఇది . . . 9 3 . పర లేదు . - దొ రి కా డు .
सवा चार .	4 : 1 5 .
नहीं , मुझे उसका नंबर नहीं मा लू म . जैसे मुझे किसी का भी नंबर मा लू म है .	లేదు , నాకు దాని నం బర తెలీదు . నాకు ఎవరి నం బర తెలీదు .
मैं उसे लेकर आता हूँ .	నేను వెళలి త నని తీసు కొ సతాను .
तुम कहना चा हो गे	నువవు ఈ మాట అన గల గ ాలి
मुझे तुम पर बहुत गर व है .	నినను చూ సతు ంటే చాలా గర వ ంగా ఉంది .
शुकरिया .	థాంక స .
गु ड आ फ टर न ून !	ఇక ఉంటా ం !
कयोंकि उससे शायद ही कुछ होगा सौ परति श त मे ह न त नहीं की अगर	9 9 శా తం కష ట పడి నా శా శ వ త మార పు ను తీసుకు రాల ే ం
पलीज , हमें अ ती त के करि समस की 1 6 3 वी ं सम ृ ति में जाने की जरूरत है .	పలీజ , మేము మళళీ గ త కరి సమ స జ ఞ ా ప కం 1 6 3 కి వెళళ ాలి .
यह कितना दु ख द है . देखो तुमने इसे कया करने पर म जब ूर कर दिया .	చాలా బాధ గా ఉంది . నువవు తన ను ఎలా చేసా వో చూడు .
और कि म बर ली सबसे अचछी है . यह बेहद कर ूर है .	ఆ పని లో కి మ బె ర లి బె సట . ఆమె ను మి ంచిన వారు ఇం కె వ వర ూ లే రు .
- मैं तुमसे बहुत जयादा पयार करता हूँ , यार . - शुकरिया . . .	- నేను నినను ఎ ంతో పరే మి సతుననా . - థాంక స . . .
कयोंकि हम छ ि छ ले पा नी में गो ते लगा रहे हैं	ఎందుకంటే మనం జీవితం లో ఎలా ంటి సా హ సం లే కుండా బర తు కు తుననాం
और सबसे जरू री , वह हर चीज में शा मिल है .	అంత కంటే ముఖ య ంగా , వాడు అనని విషయ ాల లో తల ద ూర చి ఉననాడు .
मैं यहाँ एक पर ॉ जे कट के सि ल सि ले में आया हूँ .	నేను ఒక పరా జె క టు పని మీద వచచా ను .
यह स हा य क भ ूत ों का हमारा सम र पि त स टा फ है .	వీ రు మా నమమ క మెన స హ కార భ ూ త ాలు .
इस जिंदगी के लिए एक और अ व सर पा सकता हूँ जिस के मैं सप ने देख ता आ रहा हूँ	నేను కల లు క నన జీవి తా నని ద కకి ంచుకో వడానికి మర ొక అవకా శం
शुकरिया , मार टी . हमेशा खुशी होती है .	థాంక స , మార టి . చాలా సంతోష ం .
तुमसे मिलने तीन भ ूत आ एँगे .	నినను ము గ గు రు భ ూ త ాలు వచచి కలు సతారు .
शायद कोई जा दु ई छ डी नहीं है	బహుశా ఎలా ంటి మయా జి క పరి ష కా రం కా దే మో
कुछ भ ूत वहाँ ट वर क कर रहे थे , अगर करी ब से देखो तो .	నువవు మన సు పె టటి చూ సతే , అకకడ రెండు ఆ తమ లు ట వె ర కి ంగ డా నస వే సతుననారు .
कया किसी को बुला ने की जरूरत है ?	ఎవరి కె నా ఫోన చేయ మ ంటా రా ?
- स पार की ? - मैं देख सकता हूँ . . .	- స పార కి ? - నేను ఇలా . . .
कयोंकि यह बिलकुल साफ है	ఎందుకంటే ఇది సప షట ంగా తెలు సతుంది
खैर , वह अभी भी मेरे अंदर है	ఆమె ఇంకా నా లోనే ఉంది
दूसरे गर हों तक पहुँच रहा है	ఇ తర గర హ ాల కు వెళ తుంది
मैं इस शान दार लॉ बी में आज एक आदमी का कत ल कर द ूँगा .	ఇ వాళ లా బీ లో నేను ఒక డిని మర డ ర చేసే సతా .
हम वापस ला रहे हैं करि समस हम वापस ला रहे हैं करि समस	మనం కరి సమ స ని తిరిగి తీసు కొ సతుననా ం మనం కరి సమ స ని తిరిగి తీసు కొ సతుననా ం
हम वापस ला रहे हैं करि समस हम वापस ला रहे हैं करि समस	మనం కరి సమ స ని తిరిగి తీసు కొ సతుననా ం మనం కరి సమ స ని తిరిగి తీసు కొ సతుననా ం
- वा कई समझ ती हूँ . - देखा ?	- నిజంగా . - చూ సా వా ?
तो मैं वा कई तुमहारा बो झ समझ ता हूँ .	కాబటటి నీ పె ఉనన ఒ తతి డిని నేను అరథం చేసుకో గలను .
मतलब , पता है , कोई भी तीन हफ त ों के लिए अचछा बन सकता है , है ना ?	అంటే , ఎవరెనా మూ డు వార ాలు మంచి గా ఉండ గల రు , కదా ?
देखना कितनी जलदी उसकी दिल च स पी खतम हो जाती है .	చెపపే దాని పె వాడి కి ఆ స కతి పో వడానికి ఎంత సమయం పడు తు ందో గ మని ంచు .
हमारी बहन तुमसे कुछ पूछ ना चाहती है . एक ए ह सान माँ ग ना चाहती है .	అ కక నినను ఒకటి అడ గ ాలి అ ంటుంది . ఏదో సహా యం అ ంట .
कयोंकि मुझे जो आदमी दिखा ई दे ता है वह बहुत आ सा नी से हो सकता है	ఎందుకంటే నాకు కనిపి సతునన ఆ వయకతి చాలా సు ల భ ంగా
वे कहते हैं " स फ ल ता की सी ढ ी च ढ ो चाह े कोई भी की मत देने पडे "	" ఏ ది ఏమెనా , పె సథా యి కి చే రు కో " అని అనే వారు
यहाँ से निक लो . तुम हमें मु सी ब त में डा लो गे .	ఇ కకడి నుండి బయటకు పో దాం . నీ వలల అంద రం సమసయ లో పడ ే లా ఉననా ం .
नहीं . मैं नहीं . . .	లేదు . ఇది . . .
खैर , उन नी सवी ं स दी में " गु ड आ फ टर न ून " एक बडा अप मान होता था .	అంటే , 1 8 00 లలో , " ఇక ఉంటా ను " అన డం పెదద బ ూ తు .
क लि ंट , मत करो .	కలి ంట , ఇపపుడు కాదు .
लोग बदल ते नहीं हैं .	మను ష ు లు మార రు .
- मैंने देखा . हाँ . मैंने धयान दिया था . - तुमने देखा था ?	- నేను చూ సా ను . అవును . గ మని ంచా ను . - అవునా ?
हम वापस ला रहे हैं करि समस	మనం తిరిగి కరి సమ స ని తీసు కొ సతుననా ం
हम वापस ला रहे हैं करि समस	మనం కరి సమ స ని తిరిగి తీసు కొ సతుననా ం
हो सकता है मैं तुमहारी यो जना के अनु सा र नहीं चल रहा हूँ , लेकिन वह इसकी कोशिश में कमी की वजह से नहीं है .	మీ పర ో గరా మ నా మీద పని చే సతు ండ క పో వచచు , కానీ అది అతని క ృ షి లే కపో వడం వలల కాదు .
हमने बी ज बो दि ए अब खुशी फ ल फ ूल रही है	మేము వి తత నాలు నా టా ం వాటి నుండి ఆన ంద ం వె లు వ డు తుంది
- जरा इ ध र आ ना , पलीज . - ठीक है , बस . . .	- ఒక మాట మాటలాడ ాలి , దయచేసి రా . - అలాగే , ఇ పపుడే . . .
हाँ ! देखा ? मैं इसी की बात कर रहा था .	అదభు తం ! చూ సా వా ? నేను దీని గురి ంచే మాటలాడు తుననాను .
हमने बी ज बो दि ए अब खुशी फ ल फ ूल रही है	మేము వి తత నాలు నా టా ం వాటి నుండి ఆన ంద ం వె లు వ డు తుంది
ऐसा लगता है जैसे तुम ह जार ों साल से मुझसे एक पि ल ले की माँ ग करते आ रहे हो , है ना ?	నువవు చాలా రోజు ల నుండి కు కక పిలల కా వాలని అడుగు తుననావు కదా ?
बहुत वा सत वि क है . ठीक है , कौन . . .	వి ంటు ంటే నిజ మే అని తెలు సతుంది . సరే , ఎవరు . . .
और मैं , जानती हो . . . स वार थी हूँ .	అలాగే నేను నీకు తెలుసు కదా . . . సవా ర ధ ప రు డిని .
- मैं जा सकता हूँ ? - जा सकते हो .	- నేను వా డ ొ చచా ? - వెళళ ు .
कि म , यह जगह क माल की लग रही है .	కి మ , మీ ఇ లలు భలే ఉంది .
बी स से उन ती स की उ मर में . मुझे पता नहीं . हमें पता लगा ना पडे गा किस के साथ .	ఆమె 2 0 ల పరా రం భ ంలో . నాకు తెలీదు . ఎవరి తో నో కని పెటట ాలి .
जब तुमने उसकी माँ ग की थी , इस ना सु ध र पा ने वाले पर	కా ని వాడి కోసం ఇంత పెదద రి స క చేయ కుండా నీ రి టె ర మె ంట ప యా కే జ నీకు ఇ చ చేసి
मुझे माफ करना , लेकिन ऐसा तो है नहीं कि मैंने इसके बारे में सप ष ट नहीं बताया था .	కషమించు , కానీ నేను ఈ విషయం లో నిజ ా యి తీ గా లే కుండా ఏమీ లేను .
डी ए स 2 6 1 ? मैंने वह हि ससा का ट दिया था .	2 6 1 ? నేను ఆ భా గా నని తీ సే సా .
. . . पता है , यह बिलकुल गलत नहीं है अगर तुमहें डर लग रहा है	. . . నువవు చేసిన ప ను లను సమ ర ధి ంచుకో లే కపో వడం
मैं ध ू प की गु न गु ना ह ट जैसा गर म हूँ	ఒక వె చచ ని అంద మెన అను భ వ మే
यह मु सो लि नी और सी करे सट का सट ीक मि श रण है .	హి టల ర ఇంకా సట ాలి న లు కలి సతే ఎలా ఉంటా రో వాడు అలా ఉంటా డు .
एक चीज से दूस री होती गई और तुम जानते हो .	ఒక దాని తరవాత ఒకటి జరిగి , అలా , ఏ మె ందో నువవు ఊ హి ంచ గల వు లే .
भूल जाओ .	సమ స యే లేదు .
हाँ . और ?	సరే . అయితే ?
अंदर आओ और मुझे बेहतर जान ो , यार .	లో నికి వచచి నా గురించి మరి ంత తెలుసు కో , బా బు .
ठीक है . मेरा रि टा यर में ट , अगर मैं उसे लेना चा हूँ ,	సరే . నా రి టె ర మె ంట ప యా కే జి అంటే , నేను గ నుక అది తీసుకో వాలి అను కు ంటే ,
वह सब किस लिए था ?	అద ంతా చేసి ఏం పర యో జ నం ?
बस अगर हि म मत करो	ధ ె రయ ంగా ము ంద డుగు వే సతే
लेकिन तुमहारे ब लि दा न का कोई मतलब नहीं होता अगर इसका कोई परि ण ा म नहीं होता .	కానీ ఎలా ంటి పర య వ సా నం లే కపోతే నీ త యా గా నికి అరథం ఉండ దు .
- इस ने तुमहारी प तनी के साथ सं भ ो ग किया . - गु ड आ फ टर न ून .	- వాడు నీ భా రయ ను చె రి పా డు . - ఇక ఉంటా ను .
- शु रु आत - फा - ला - ला - ला - ला - ला - ला - ला - ला . . .	- మొద లె ంది - ఫ - ల - ల - ల - ల - ల - ల . . .
मैं बात कर रहा हूँ य ी शु जन म की और छो टे बा ल य ी शु की	నేను దేవు ని జ నమ గురించి మాటలాడు తుననాను బ ాల ఏ సు గురించి మాటలాడు తుననాను
परा य श चि त कर चु के लोगों का ह ॉल	వి మో చి ం ప బడి న వారి హ ాల
ठीक है , मैं सप ना देख रहा हूँ .	సరే , నేను కల క ంటుననా .
" ह ड डी मेरे ब ड डी की दुनिया में सवागत है . " " ह ड डी की ग ड डी . "	" ఎ ము కు ల గ ూ డు కు సవా గ తం . " " ఎ ము కు ల య మ లో కం . "
और उसने सी खा कि वह इ कल ौ ता इंसान जिस पर वह नि र भर रह सकता है	వాడి పె మాతరమే వాడు ఆ ధా ర పడ గల డు అనన అభి పరా యం
झूठ े - तुम एक की डे हो	వెధవ - నువవు చాలా చె డ డ వాడి వి .
थोडी अचछा ई फै ला ने के लिए , हे !	కొంచెం మంచి చె య , హేయ !
अभी भी समय है . मुझे बस अपना फोन ढूँढ ना है . आ ख िर मेरा फोन है कहाँ ?	ఇంకా టె మ ఉంది . నాకు నా ఫోన కావాలి . నా ఫోన ఎకకడ ?
- बढिया . - हाँ .	- భలే ఉంది . - అవును .
कया , वह बच चा ?	ఏంటి , ఆ పి లలా డి వా ?
तो चलो कुछ और बात करते हैं	కాబటటి ఈ సం భా ష ణ ను కా సత దా రి మళ లి దదాం
यह शान दार है !	ఇది అదభు తంగా ఉంది .
यह हर रो ज ले ने का फै सला है	ఇది మనం పర తీ రోజు తీసుకో వాల సిన నిరణ యం
पर फ े कट ता ल मे ल	అదభు త మెన సా మర సయ ంతో
हर एक मिनट बि ता या वह ले ने में जो मैं ले पा या	నేను గ డి పి న పర తీ కష ణం వీ లెన ంత గా జీవి తా నని ఆ సవా ది సతూ నే గ డి పా ను
नहीं , क लि ंट , मैं भ ू ली नहीं हूँ कि सही कया है	లేదు , కలి ంట నాకు ఇంకా ఏ ది మ ంచ ో తెలీ న ంత గా నా క ళళు మూ సు కు పో లేదు
बच प न में वह बहुत अके ला रह ता था .	చినన పపుడు , వాడు ఎకకువ గా ఒ ంట రి గానే ఉండే వాడు .
- और चाह े वह करि समस का दिन हो - करि समस का दिन	- అది కరి సమ స రో జ ెనా - కరి సమ స రోజు
मैं बहुत आ भा री हूँ . पूरी तरह इस . . .	మీ సహా యానని ఎ ంతో మె చచు కుంటుననా . ఇంత దూ రం వచచి . . .
बेहद आ सान , बे चा रा , आ ल सी , नि ंद नी य ड ग ,	అన నీ సు ల భ ంగా కావాల ను కునే , దు ర భ ర మెన ద ౌ ర భా గ యు డు , డ గ ,
तुम जानते हो सब चीज ों के पैसे मैं दे ता हूँ , है ना ?	ఆ ఖ రచు ల ననీ నా వే అని నీకు తెలుసు కదా ?
उससे थोडी और जयादा मे ह न त करो जि तनी इससे पहले की थी	ని నన టి కంటే కొంచెం కష ట పడి పని చేయాలి
उससे थोडी और जयादा मे ह न त करो जि तनी इससे पहले की थी	ని నన టి కంటే కొంచెం కష ట పడి పని చేయాలి
लेकिन अब उसे पैसे मिल ते हैं लोगों को एक - दूसरे से दूर करने के लिए	ఇపపుడు జ నా ల పె వయకతి గ త దా డు లు చేసే పని చే సతుంది
यह हम पहुँच गए . हमारा पह ला प डा व .	వచ చేసా ం . మన మొదటి గ మ యం .
तुमहें यकीन है तुम बद ले नहीं हो ?	నువవు నిజంగా నే మార లేదా ?
सिरफ ल हर ों तक सी मि त नहीं रह सकते	మార పు తో సరి పెటటు కో కూడదు
लेकिन अगर तुम गा ना बंद करने का वा दा करो , तो तुमहें तुमहारा मु ज रि म मिल सकता है .	కానీ నువవు పా డ టం ఆ పే సతాను అంటే , నువవు వాడిని పీ డి ంచ వచచు .
करि समस डि नर करने पर म जब ूर करते हैं . छ ी .	భ ో జ నం తి నే లా చేశారు . ద రి ద రం .
कयोंकि कुछ बहुत खास होने वाला है .	ఎందుకంటే ఒక స పె ష ల విషయం ఒకటి చో టు చేసుకో ను ంది .
वह अंदर से अचछा है . मुझे पता होना चाहिए . वह मेरा बडा भाई है .	వాడి మన సు మంచిది . నాకు తెలుసు . వాడు నా అనన .
कयोंकि मदद करना शक कर से भी जयादा मी ठा होता है	ఎందుకంటే ఒక రికి సహా యం చేయడం అనే ది కే కు తి న డం కంటే తి యయ ని అను భ వం
माफ कीजिए , सर .	ఏమ ండ ీ , సర .
अब , यह थोडी हे र फ े र है लेकिन हमें इतना करना ही होगा	అది సా ధి ంచడం కోసం జ నా నని కొంచెం మ భయ పెటట ాలి కానీ అది తపప వే రే దా రి లేదు
मैं इतनी शि दद त से एक पि ल ला चाहता था	నాకు ఒక కు కక పిలల కా వాలని ఉనన బ ల మెన కో రిక కారణ ంగా
ला , ला , ला , ला	ల , ల , ల , ల
नहीं .	కు దర దు .
- गु ड आ फ टर न ून - कया कहा तुमने ?	- ఇక ఉంటా ను - ఏమ ననా వు ?
नहीं . ओह , नहीं . नहीं .	లేదు . ఓహ , లేదు .
मुझे कितनी घ बरा ह ट हो रही है ?	నా మొ హం క ంది పోయి ందా ?
यह कया है ?	ఏం జరుగు తోంది ?
मेरे खया ल से स थि ति कृ त रि म श व सन से आगे जा चु की है .	ఇపపుడు సి పి ఆర చేసి నా పర యో జ నం ఉండ దు .
कयोंकि मदद करना शक कर से भी जयादा मी ठा होता है	ఎందుకంటే ఒక రికి సహా యం చేయడం అనే ది కే కు తి న డం కంటే తి యయ ని అను భ వం
लगता है रे न यह त य करने की कोशिश कर रही है कि अपने मा मा की सा ला ह मा ने या ना मा ने .	తన అ ం కు ల స ల హా తీసుకో వ ాలా వ ద దా అని రెన ఆలోచి సతునన టటు ఉంది .
तो , आज शा म मैं अ ती त और व रत मान , दोनों संभाल ूँगा .	కాబటటి ఈ సా య ంత రం మీ గ తం ఇంకా వర త మా నా నని నేనే హ యా ండి ల చేయ బో తుననాను .
बस बता रही हूँ . शायद अब समय आ गया है .	మా ము లు గా అ ంటుననా అంతే . ఇక మీరు వెళ లే సమ య మెన టటు ఉంది .
का ँच की बडी खि ड कि यों से जयादा और कया अचछा हो सकता है	ఇలా ంటి అ దద ాల మే డ కు సా టి ఇం కే ం ఉంటుంది
लगा मैं वा कई एक बद ला व ला रहा था .	భ ూ మి పె మంచి మార పు ను తీసు కొ సతుననా అనిపి ంచింది .
लेकिन तुम वह नहीं समझ ो गे , है ना ?	కానీ ఆ విష యానని నువవు అరథం చేసుకో లేవు , సరేనా ?
तुमहें बहुत सा री गल ति यों को सु धा र ना है	ఎ నన ో తపపు లు సరి చేయ ాల సి ఉంది
जो इन परि व रत नों पर बहुत मे ह न त करता है .	ఎ ంతో కష ట పడి పని చే సతు ంటా రు .
लोग होते हैं , एक , आ ल सी	మొదటి గా , మను ష ు లు చాలా బ దద క సతు లు
सोच ो मत . ग ह री सा ँ स लो .	ఆలోచి ంచ కు . దీ ర ఘ ంగా శ వా స తీసుకో .
तो कया हम कुछ अचछा कर सकते हैं ?	అంటే మనం మంచి చేయ గల మా ?
जि से अपने श हर के , अपने देश के सु ख और सम मान से ,	తన పర జ లు , తన ఊ రు , అలాగే తన దేశం ఎంత గా నో గ ౌ ర వి ంచే ప వి తర ది నా న కూడా
आज कौन सा दिन है ?	ఇది ఏం రోజు ?
तुम आ म जन ता की परति नि धि बन जाओ गी . हम ज ॉ श को घ म ं डी उ च च वर गी य के रूप में पर सत ु त करेंगे .	నువవు అంద రి లాంటి పిలల వి అవు తా వు . జా ష అంద రి నుండి వే రె పో తా డు .
तो , पूरी ध र ती के सारे लोगों में . . .	ఈ భ ూ మి మీద ఉనన హ ంత కులు , రే పి సట ు లు , అలాగే పిలల ల . . .
- नहीं . - यह कुछ भी वा सत वि क नहीं है .	- లేదు . - ఇ దంతా నిజం కాదు .
हमें यकीन करना होगा हमारी सबसे बडी बुरा इ यों के नीचे	మన లో ని చె డు లో కూడా కొంచెం మంచి ఉ ందని
पता चले गा अगर मैं	నేను ఎ పపటి కీ
उससे थोडी और जयादा मे ह न त करें जि तनी इससे पहले की थी	ని నన టి కంటే కొంచెం కష ట పడి పని చేయాలి
इससे कोई फर क नहीं पडता कि तुम कि तने लोगों को बदल ते हो , तुम कितना अचछा करते हो .	నువవు ఎంత మంది ని మార చి నా , ఎంత మంచి చేసి నా అద ంతా అన వ సరం .
कया लोग बदल गए हैं ? अब यह अचछी खबर है .	మరి ఆ జ నం ఇపపుడు మా రి పోయా రా ? మీ కొ క మంచి విషయం చెప తాను .
- अचछा रहा . - दोबारा मिल ेंगे .	- నీ లా గే . - మళళీ చె య .
लेकिन तुमसे मिल ना अचछा लगा .	నినను చూడ టం సంతోష ం .
कया मैं ना सु ध र ने ला य क हूँ ?	నాకు వి మో చ న దొ ర కదా ?
हम वापस ला रहे हैं करि समस हम वापस ला रहे हैं खुश ियाँ	మనం కరి సమ స ని తిరిగి తీసుకు రా బో తుననాం నిజ మెన ఆన ందో త సహా నని తీసుకు రా బో తుననాం
- तुमहारे लिए अचछा है ! - बस कह रही हूँ .	- భలే చేసా వు . - చూ సా వు కా దా .
अरे , वह अस पता ल वाली सम ृ ति .	హేయ , హా స పి టల లో ని ఆ జ ఞ ా ప కం ఉంది చూడు .
आपको भी गु ड आ फ टर न ून , मैडम .	వెళలి పని చూ సుకో ండి , ఇక ఉంటా ను , మే డం .
कया मैं कोई हूँ जि से माफ किया जा स के ?	నేను పా పా కష మా ప ణ పొ ంద గల నా ?
- मुझे तुमहारी पो शा क अचछी लगी . रु ड ॉल फ . - शुकरिया .	- నీ డ రె స బాగుంది , రు డ ాల ఫ . - థాంక స .
और अपनी न ई गर ल फर ें ड के साथ आ इस - स के टि ंग करने आओ .	అలాగే తన తో వెళలి , నీ కొతత గర ల - ఫ రెండ తో ఐ స స కె టి ంగ చేయ మని అ ంటుననా డు .
यह कया है ?	ఇదే ంటి ?
हाँ , और वह कयों है ? वह बस नहीं . . .	అవును , కానీ ఇపపుడు ఆ డే ందుకు చెప తుననావు ? అదే మీ . . .
वह कया है ?	అదే ంటి ?
यह कया है ?	ఇదే ంటి ?
यह खू बस ू रत है .	ఇది భలే అంద ంగా ఉంది .
और कया होगा अगर हमें समय रह ते पता चल गया	కొ ంత క ాలా నికి నేను బయ పడి న టటే
मेरा बू ढ ा रूप .	నేను వెన కకి వెళళ ాలి .
नहीं . बस एक छो टा सा मु द दा मुझे सु ल झा ना है .	లేదు . కానీ నేను వెంట నే సరి చేయ ాల సిన ఒక చినన విషయం ఒకటి ఉంది .
बहुत बुरा .	దారు ణం .
बस थोडी सी अचछा ई चाहिए होती है	కొంచెం మంచి ఉంటే చ ాలు
मैंने तुमहें एक बहुत अचछी फो टो भे जी है . तुमहें पो सट करनी चाहिए .	నేను ఒక మంచి ఫో టో పం పి ంచా . మీరు పో సట చేయాలి .
- अगर हम बस हि म मत करें तो - कया हम हि म मत करें , कया हम हि म मत करें ?	- మనం ధ ె ర యం చేయ గ లి గి తే - ధ ె ర యం , ధ ె ర యం చేయ గల మా ?
फा - ला - ला - ला - ला - ला - ला - ला - ला फा - ला - ला - ला - ला - ला - ला - ला - ला	ఫ - ల - ల - ల , ఫ - ల , ల , ల ఫ - ల - ల - ల , ఫ - ల , ల , ల
कया लोग वा कई हर उस चीज के बारे में बात करना चाहते हैं	జ నం నిజంగా నే వాళళు కలి సిన పర తీ వెధవ తో
किसी श ह री स ड क पर फ ँ से हुए . . .	ఒక మంచి వీ ధి లో ని ఇలా ంటి ఇంట లో ఇ రు కకు ని . . .
नहीं , मुझे अचछा लगा . यह यू रो - फि ट जैसा त ंग है . और मुझे तुम पर अचछा लग रहा है .	లేదు , నాకు న చచి ంది . యు ర ొ - సట ె ల లా గ ఉంది . నీకు న పప ి ంది .
मुझे एक - दो दिन के लिए अ परा ध बो ध महसूस होगा , लेकिन फिर मैं खुद को समझ ा ल ूँगा .	కొనని రోజు లు బాధ ఉంటుంది , కానీ తరవాత న చచ జె పప ే సు కుంటా .
और दा दा जी का जयादा पी ना	ఇకకడ ఉనన ఈ తా త మ తతు లో తే లు తుననారు
हे भगवान . वह पर फ े कट है .	ఓ రి , దేవుడా . వీ డు మనకు స రెన వాడు .
ना ट क करती रह सकती हूँ कि अचछे लोगों को चो ट लग ने की मुझे पर वाह नहीं	మంచి వారు బాధ పడి నపపుడు నాకు తో చి న టటు న టి ంచ గలను
च लिए . कोशिश कीजिए . यह म जे दार है .	కా నివ వ ండి . ఒక సారి పరయతని ంచండి . సర దా గా ఉంటుంది .
कया हम मिले हैं ?	మనం ఇంత కు ముందు కలి శా మా ?
अगर तुम ल हर ला ना चाहते हो	నీకు నిజంగా మార పు తీసుకు రా వాలని ఉంటే
- तुमहें र ै पि ंग पे पर बचा ने की जरूरत नहीं है . - हाँ .	- ఆ పే పర దా య ాల సిన పని లేదు . - అవును .
तुम किसी को जिंदगी जी ने के बारे में कुछ बता ने वाले कौन होते हो	నీ జీవితం లో ని విషయ ాల నుండి పా రి పో తునన నువవు
मैं वा दा करती हूँ ! पलीज . पलीज , मैं . . .	ఒ టటు ! పలీజ . పలీజ , నేను . . .
कया वह से फो रा की दु कान है ?	అది సె ఫో రా బ రా ండా ?
माफ करना . दरअसल , मैं यहाँ से जा रहा था .	కషమి ంచాలి . నేను ఇక వెళళ ాలి .
जै के ट . ढ ी ला पै ंट . जे ब में छो टा सा क प डा .	జా కె ట . ప యా ంట లు . చినన ఖ రచ ీ ఫ .
यहाँ से यही न जा रा है	చూడ టానికి అది రి పో తునన ఆ చి తరం
यहाँ से यही न जा रा है	చూడ టానికి అది రి పో తునన ఆ చి తరం
यहाँ से यही न जा रा है	ఇ కకడి ఈ సీ న రీ భలే ఉంది చూడ ండి
यहाँ से यही न जा रा है	ఇ కకడి ఈ సీ న రీ భలే ఉంది చూడ ండి
रि सर च , जगह ,	రీ సె రచ , ల ొ కే ష నస ,
शा बा श . चलो .	భలే చేసా వు . ప దా .
हाँ , पर तब वह एक कल प ना थी . और अब वा सत वि क है .	అవును , కానీ అపపుడు ఆమె నా క లల కు మాతరమే పరి మి తం . ఇపపుడు ఆమె నిజం .
वै सा लग रहा है जैसा एक बेह तरी न करि समस को लग ना चाहिए	కరి సమ స ఎలా ఉండ ాలో అలాగే ఉంది ఈ రోజు
हमने च ू मा भी . हों ठ ों पर .	తరవాత ము దదు పెటటు కుననా ం . పె ద ాల పె న .
लोगों का तुमहें पसंद करना काफी नहीं है उनहें तुमहारे परति द व ं दि यों से जयादा न फ रत करनी होगी	జ నం మిమమలని ఇష ట పడ టం మాతరమే కాదు మీ పర తయ రథ ు లను ద వే షి ంచాలి కూడా
उसके बारे में वह बहुत शे ख ी ब घ ा र ता होगा .	వాడు ఆ విష యానని చెపపు కొ ని సా ను భ ూ తి కొ టట డానికి చూ సతు ంటా డు .
जैसे यह गु ड आ फ टर न ून	ఇలా ఇక ఉంటా ను
ल हर , ल हर , ल हर	మార పు , మార పు , మార పు
ल हर , ल हर , ल हर	మార పు , మార పు , మార పు
- कया हम नाम ुम किन को करके दिखा सकते हैं ? - कया वह नाम ुम किन है ?	- అ సా ధ యం అయి న దానిని చేయ గల మా ? - అది అ సా ధయ మా ?
हम भ ूत बन कर किसी पर डे रा डाल ते हैं , उनहें एक बेहतर इंसान बना ते हैं	ఒక రి ని పీ డి ంచి , వారి ని మె రు గె న వయకతి గా మార చి ,
लेकिन नहीं , नहीं , नहीं	కానీ లేదు , లేదు
- चु प रहो . - अरे .	- ని శ శ బ ద ంగా ఉ ండు . - హేయ .
ना सु ध र ने वाला र हूँ गा ?	వి మో చి ం ప బడ లే నా ?
