वाह .	వా వ .
मुझ में कोई समस या है ?	నేను న చచ లేదా ?
कोई बात नहीं . यह म जे दार होगा . बस भा गो , भा गो , भा गो .	అది బాగానే ఉంటుంది . సర దా గా ఉంటుంది . నువవు కేవలం పరి గె తతు , పరి గె తతు , పరి గె తతు .
और सोच ो ब ला न ड की कि सम त कितनी बु री है .	ఇంకా , పా పం బ లా న డ పరిసథి తి ని తల చు కు ంటే ఎంత బాధ కలు గు తు ందో .
कई गो ल किए .	చాలా గో లస వే శా రు .
प ें ट बॉ लि ंग .	పె యి ంట బ ాలి ంగ ఆట .
- ठीक है . - ठीक है .	- సరే . - సరే .
बिलकुल सही !	ఖచచితంగా చెపపా వు !
वह आपको सा इ कल ॉ पस बुला रहा था .	వాడు నినను ఒ ంటి క నను రా కా సి అని పి లు సతుననా డు .
चलो . चलो ढ े र बरा ं डी पी एँ .	పద . మనం వెళలి దారు ణ ంగా బ రా ంద ీ తా గే దదాం .
चलो भी .	ఇలా చూడ ండి .
बहुत खू ब , माँ .	అది నీకు మంచిది , అమమా .
- बेहतर हो न ज ला एँ . - रु बे न !	- నువవు త గు ల బె టట కుండా ఉంటే మంచిది . - రూ బె న !
- कै सी हो ? - कै सी हो ?	- ఎలా ఉననారు ? - మీరు ఎలా ఉననారు ?
सट ीक नि शा ना !	లకష యా నికి త గి లి ంది !
और कोई दु र घट ना जान ले वा नहीं होती है .	వాళలు అలా పరమా ద ంలో పరా ణ ాలు కో ల పో వల సిన అవసరం ఏ మా తరం లేదు .
सट ीक नि शा ना .	లకష యానని గురి చూడు .
शा बा श . सा ँ स लो . तुम अचछा कर रहे हो .	అంతే . బాగా చేసతుననా వు .
और उस कमी ने को मार डाल ूँगी .	. . . అపపుడు ఆ చెతత వెధ వని తూ ట ాల తో చం పు తాను .
- कयोंकि मुझे . . . - यह बढिया यो जना है .	- ఎందుకంటే నాకు వే రే పని ఉంది అనుకుంటా . . . - అది గొపప ఆలోచ న .
शायद डै ड के लिए ?	నానన కోసం ?
चलो इस पर चर चा करें .	సరే , దాని గురించి మాటలాడు కు ందా ం .
उसे ग ं भी र चो ट लग सकती थी .	నువవు శా శ వ త మెన న ష టం కలి గి ంచి ఉండే వాడి వి .
दु ख द कहानी है . मैं कभी माँ नहीं बन सकती .	విష ా ద గా థ . నేను చెపప లేను .
बेशक नहीं .	ఖచచితంగా చెపప ను .
तो , आज , दो टी म बना कर खेल ने के ब जा य ,	కాబటటి , ఈ రోజు , మనం సా ధా రణ ంగా ఆ డే రెండు జ టల ప దధ తి బ దు లు ,
हाँ . हाँ , मैं हूँ .	అవును . నిజం , నేను సూ పర అమమ నే .
मैं . . . दो हफ ते बाद ?	నేను . . . అది రెండు వా రాల తరు వా తా ?
पि स सू के ढ े र कहीं के .	ఈ గ లు మో సు కొ చ చే చినన చెతత స ంచ ీ దా నా .
- हाँ . - थोडा वार म - अप हो जाएगा .	- అలాగే . - మనం కొ ద ది గా రక త పర స రణ అ యయ ే లా తి రుగు దాం .
कॉ फी कैसे लेना पसंद करो गे ?	మీకు ఎలా కావాలి ?
तुमहें उससे रिश ता तो ड कर उससे दूर रहना चाहिए .	నువవు ఆ చే పని తిరిగి స ము ద రం లో పడ ే సి , నీకు ద ూర ంగా ఈ దు కు ంట ూ పో యే లా చేయాలి .
यह भ द दा है !	అది దారు ణ ంగా ఉంది !
सभी समझ गए ?	అంద రికీ అరథ మ యి ందా ?
तुम कोई सा धा रण श बद चु न सकते थे .	నా ఉదదేశం , నువవు మరి ంత తే లి కె న పద ం ఉ ప యో గి ంచ ాల సింది .
बेशक . ए , मै ट . तुम दु कान जाकर कुछ . . .	తపప కుండా . హేయ , మయా ట . నువవు ఆ దు కా ణం దగగర కి వెళలి కొ ద ది గా . . .
हाँ , पर अगर मुझे . . . अगर मुझे पता होता , समझ े ?	అవును , కానీ నీ గురించి నాకు తెలి సి . . . నాకు తెలి సి ఉంటే , ఎలా ఉండే దో తెలుసా ?
गोली अंदर घु स गई , फा दर .	తు పా కీ గు ండు లోప లి కి ది గ బడి ంది , త ండ రీ .
मन ु ष य अनु क ूल नी य हैं . कभी - कभी मैं पूरी तरह भूल जाती हूँ .	మను ష ు లు పరిసథి తు లకు అను కూ ల ంగా మా రి పో తారు . నాకు క నను లే దని కొనని సా రలు పూరతి గా మర చి పో తు ంటా ను .
धत .	చెతత .
मैं यह नहीं कर सकती .	నా వలల కాదు .
धत .	చెతత .
कयोंकि , नि शा ना न लग ना अलग बात है .	ఎందుకంటే , నా ఉదదేశం , లకష యానని గురి చూ సి కొ టట డం ఒక ఎ తతు .
दिल क श और त स ल ली ब ख श .	నవ వు తూ మాటలాడు తూ సవా ంత న ఇవ వడం .
ऐसा नहीं है , बि बी .	నువవు ఆ చెతత వెధవ వి కా వు , బీ బీ .
कभी नहीं .	ఆ అవకా శ మే లేదు .
अब , सुनो .	ఇపపుడు , విన ండి .
धत .	చెతత .
मेरी माँ . . .	మా అమమ అలా చేసే ది . . .
ग ले कयों मिल रही हो ?	ఇలా బయట ఎందుకు క ౌ గ లి ంచు కుంటుననా రు ?
पह ला निय म , कभी मा सक मत उ तार ना .	మొదటి నియ మ ం , మీ మా స క ని ఎ టటి పరిసథి తు లలో న ూ తీ య క ండి .
तो फिर , क न प टी पर .	అయితే ను ది టి మీద గురి చే దదాం .
कहाँ . . . धनयवाद .	అది ఎకకడ ఉంది . . . ధనయవాదాలు .
यो जना बदल ेंगे .	స ంద ర భ ో చి తంగా వయ వ హ రి దదాం .
एक तरफ से दूस री तरफ जाना .	ఎవ వ రికీ దొ ర కకు ండా పరి గె తతు కు రా వ డ మే మీ పని .
इससे कोई फर क नहीं पडता है .	అది విషయం కాదు .
- बेशक . - तो फिर , ठीक है .	- స హ జ ంగా నే ఉంటా యి . - సరే , అయితే , తపప కుండా .
दो हफ ते बाद ?	ఈ రోజు కి రెండు వార ాలా ?
ठीक है .	సరే .
शा बा श . सं गी त में ढ ल जाओ .	అ దీ అంతే . మ యూ జి క కి అను గు ణ ంగా డా నస చేయ ండి .
ठीक है .	సరే .
ठीक है .	సరే .
ठीक है .	సరే .
ठीक है .	సరే .
ठीक है .	సరే .
ठीक है .	సరే .
ठीक है .	సరే .
काफी सु ंदर घर है .	ఇది నిజంగా చాలా వి శ ాల ంగా ఉంది .
क सम खा ती हूँ .	నేను పరమా ణం చేసతుననా ను .
कया मतलब ?	ఏ విషయం గురించి ?
मुझे तुमहारे साथ समय बि ता कर सच में अचछा लगता है .	నాకు నీ తో కలిసి ఉండ టం ఇషటం .
मुझे खुशी है कि वह मर गया . सच में .	వాడు చని పో వడం నాకు సంతోష ంగా ఉంది . నిజంగా నేను సంతో షి సతుననాను .
उसके शे ड के पीछे छु प - छु प कर सि गरे ट पी ते देखा .	సి గ రె ట తా గ డం నేను చూశా ను .
हैलो , बै का .	నీకు మళలీ హలో , బె కా .
डै डी की भी .	మా నానన కి కూడా ఇషటం .
तुम ठीक हो ?	నువవు బాగానే ఉననా వా ?
अब नहीं रहे .	ఆయన ఇం క నాకు ఏమీ కా డు .
पर माम ू ली चो ट तक नहीं लगी . . .	కానీ ఇకకడ ఇది క నీ సం చినన చి లలు కూడా పెటట లే కపో తోంది . . .
अ ह - ह ँ .	ఉ హ . . . హు .
दस साल पु रा ना .	ప ది సం వ త సర ాల కింద టి సనే హం .
" मैं गे हूँ " का बो र ड दिखा ता ?	అంటే , " నేను స వ లి ంగ సం పర కు డిని " అని ఒక కార డు పటటు కో వ ాలా ?
क सम खा ओ . जो र से .	నాకు పరమా ణం చేయి . గ టటి గా చెపపు .
मेरी बहन ें नहीं चाहती हैं .	నా అ కక ల కోసం .
ए .	హేయ .
तुमहें . . .	నువవు చెపప ాల సింది . . .
अरे , नहीं !	అయ యో !
अगर उ ता रा , तो खेल से बाहर हो जाओ गे .	అలా చే సతే , మీరు ఆట నుండి బ హి ష కరి ంచ బడి నే రు గా సిన బి న లోకి వెళలి పో తారు .
चलो !	కా నివ వు !
उसका जन म दिन शुकर वार को है .	ఈ రోజు అతని పు టటి న రోజు కూడా కాదు , అది వచచే శు కర వా రం .
यह 8 7 5 , 00 0 यू रो है .	అది సు మా రు ఏ డు కో టల ప ది హే ను లకష ల రూ పా య లు .
- समझ े ? - हाँ .	- నీకు అరథ మ యి ందా ? - అయి ంది .
शायद तुमहारे लिए ?	నీ కోసం ?
यह लो .	ఇది గో తీసుకో .
मैं ध ौ ंस िया हूँ और निय ं तर ण करना पसंद करती हूँ .	ఆ ధి ప త యం ఇంకా నియ ంత రణ .
पता नहीं . शायद .	నాకు తెలియదు . బహుశా జరిగి ఉండ చచు .
बताओ .	నాకు చెపపు .
स लट डर ॉ प .	పడి లే చే డా నస చేయ చచు .
उसके सिर के छे द में .	వాడి చెతత తల మీద ఉనన చినన రం ధ రం లో ష ూ ట చే దదాం .
तुम ब लि का ब करा कयों ब ने ?	అంద రి ద ృష టి లో ఆయన వీ ర మ రణ ం పొ ంది న టలు ఎందుకు చి త రీ కరి ంచా వు ?
मै ड ल दिखा ते .	మె డ ల .
शा बा श !	అది సా ధి ంచింది !
र कम ?	చె లలి ంపు లా ?
भ रा हुआ .	రి చ చా కొ లే ట తో చేసే ది .
चलो .	డా నస చేయ ండి .
वह रहा छे द .	అతని తల మీద చి లలు సరి గగా ఇకకడ ఉంది .
कई बार .	ఒకటి క ననా ఎకకువ ఉననాయి .
धनयवाद .	ననను ది గ బె డు తునన ందుకు ధనయవాదాలు .
