गरेस	గరేస
अ ल वि दा , जान .	వీ డ కో లు , నా పరి యత మ .
ज ॉन प ॉल चर च का स करि य स दस य था ,	జా న పాల మన చ రచ లో కరి యా శ ీ ల క స భ యు డి గా ఉండే వాడు ,
अब , चलो भी . सोच ो .	ఇలా చూడు , ఇపపుడు . ఆలోచి ంచు .
माँ रो ना बंद ही नहीं कर रही हैं .	అమమ ఏ డు పు ఆ ప డం లేదు .
अरे , धत तेरी की .	ఓహ , బా బో య .
- हम आ गए ! - ये य .	- మనం ఇకకడ ఉననా ం ! - అవును .
कया हुआ ?	ఏంటి ?
कया हुआ ?	ఏంటి ?
बस मेरी पी ठ में दर द है .	ఎకకువ గా నా తు ంటి భా గ ంలో నే న ొ పప ి ఉంది .
- कृपया , अगर तुम इ जा ज त दो . - हाँ .	- దయచేసి , మీ తో కలిసి తి నే అవకా శం ఇవ వాలి . - తపప కుండా .
हाँ . . . वे कि तने पु रा ने हैं ?	అది నిజం . . . వాటి ని బయటకు తీ సి ఎంత కాల ం అయి ంది ?
ई श वर , हमारी परा र थ ना सुन ें .	పర భు , దయ తో వి ను .
नहीं है .	ఇది అలా కాదు .
और आपके गर भ का फ ल , य ी शु , धन य हैं .	నీ గర భ ము నుండి వచచి న ఫ ల ము ద ె వా శ ీ స సు లు పొ ంది న ది , జీ సె స .
अब बस हम चार हैं .	ఇ పపటి కి మన నలు గుర మే మి గి లా ం .
तुम और रु बे न जाओ . म जे करो .	నువవు , రూ బె న వెళల ండి . ఈ రోజు ని ఆ సవా ది ంచండి .
अरे , मेरी बच ची .	ఓహ , కో తి .
यह तुमहारे हैं .	ఇ వి మీ వే .
नहीं , मैंने बस . . . हाँ .	లేదు , నేను కేవలం . . . అవును , ఏదో చేశా ను .
वह है .	అది గో ఆమె .
अगर तुमहें परे शा नी न हो तो .	మీరు ఏమీ అనుకో న ంటే , నేను ఇకకడ ఉండ గానే అడ గ ాలి .
यह दो .	దగగర కు రా .
मैं टॉ य ले ट में जा रही हूँ , जे पी , तो हाँ .	అంటే , నేను టా యి లెట కి వెళ తుననాను , జె పి , కాబటటి , నాకు ఏ కా ంత ం కావాలి .
ए , चलो . वापस चल ते हैं .	హేయ , ఇలా రా . నీ తో తిరిగి పో టీ పడ తాను .
हाँ . अब उसका घर है .	అవును . సరే , ఇపపుడు ఇది ఆమె ఇ లలు .
बस दो बार .	కేవలం రెండు సా రలు .
- हमारे पास ढ े र ों हैं . - तुमहारे पास काफी है म है ? ठीक है .	- మాకు ఇ వే ఎకకువ . - నీకు హా మ చాలా ?
वह अग ले दस साल ों में मर सकता है .	వాడి కి క డు పు లో గ యా స ఉంది , అందుకే మ రో ప దే ళ లలో చని పో వచచు .
जो आज हमारे साथ मौ जू द नहीं हैं ,	మనం సమ రి ంచు కు ందా ం ,
ठीक है .	సరే .
ठीक है .	సరే .
ठीक है .	సరే .
ठीक है .	సరే .
अरे . . .	ఓహ , బా బో య . . .
ठीक है .	సరే .
ठीक है .	సరే .
एक समस या है .	మన కి ఒక సమసయ వచచింది .
- तो मैं उसके वॉल वो का ब रे क ख रा ब कर दे ती . - हाँ !	- నేను ఊ డ పీ కే సతాను . - అవును !
अरे , धत तेरी की .	ఓహ , అయ యో .
अरे , धत तेरी की .	ఓహ , అయ యో .
और अब यह .	ఇంకా ఇపపుడు ఇది .
मैं अ क सर उसके सिर के को म ल भाग में	వాడి తల మీద గ టటి గా ఒక పి డి గు దదు గు ద ది వాడి మె ద డు ని కొ టట ాలని
- एक कु ँ वा री लडकी कयों . . . - " कु ँ वा री " ? सभी सुनो , कु ँ वा री .	- నా ఉదదేశం , ఒక పె ళ లి కా ని వ ృ దధ మ హి ళ ఎందుకు . . . - " పె ళ లి కా ని వ ృ దధ మ హి ళ ా " ? పె ళ లి కా ని వ ృ దధ మ హి ళ ా , మాటలాడ ండి .
तुम मुझे उ त ते जि त कर रही हो .	అవి చెతత మాట లు .
बेशक .	తపప కుండా .
अपनी बह नों के साथ थी .	నా చె ల లె ళల తో కలిసి ఉననాను అని చెపపా ను .
अब और नहीं .	ఏ ది ఏమెనా , ఇం క చ ాలు .
यह लो .	ఇది గో చూడు .
मैं उसे अके ले नहीं छोड पा ई .	అతను ఒ ంట రి వాడు అనే ఆలోచ నని నేను భ రి ంచ లే కపో తుననాను .
बस एक फोन ही काफी है .	కేవలం ఒకక ఫోన కాల కి అందు బా టు లో ఉంటా ను .
थे रे सा , मेरी बात सुनो .	థ ె రె సా , ఇకకడ నా అ ధి కా రా నని పర క టి సతుననాను .
पर प ब से लौट ते समय वह गिर प डी .	కానీ ప బ నుండి తిరిగి వ సతూ ఆమె కింద పడి ద ె బబ త గి లి ంచు కు ంది .
जिन और टॉ निक . ड बल और स लि म .	జి న ఇంకా టా నిక ఇవవ ండి . ఎకకువ ఇంకా తే లి క గా ఉండే ది .
मेरा घर काफी दूर है .	మీకు తెలుసు , ఇంటికి చాలా దూ రం వెళల ాలి .
आ इए अब हम अपने नि जी इ रा द ों के लिए	మన ంద రి భా వ న ల కోసం
मौ न परा र थ ना करें .	ఒకక కష ణం ని శ శ బ ద ంగా పరా రథ న చే దదాం .
अरे , नहीं .	అయ యో .
नहीं है .	తన కి అవసరం లేదు .
ए .	హేయ .
वह तो रो ए गी ही . . .	సరే , అ దీ , నీకు తెలుసు , అది ఏంట ంటే . . .
प ग ली .	పిచచి దా నా .
सच में ?	నువవు చూ సతా వా ?
तो , बस .	సరే , ఇం క ఇంత ే .
अभी	ఇపపుడు
नहीं है .	పెదద గా ఏమీ లేదు .
मैं बस जाकर . . .	నేను వెళలి దానని ఆ పి వ సతాను . . .
ए .	హేయ .
पर यह बेहद म जे दार है .	ఇది పె కి కనిపి ంచే దాని క ననా సర దా గా ఉంటుంది .
यह बहुत , बहुत बु री बात है .	అవును , అది చాలా ఘ ో ర మెన , దారు ణ మెన , వి పర ీ త మెన సి గ గు చే టు .
तुम गलत हो .	సరే , నువవు సరి గగా లేవు .
बकवास मतलब ?	అందు లో చెతత మాట ఏ ము ంది ?
हाँ , हाँ .	అవును , అంద ంగా ఉంది .
कयों न हम थोडी मदद कर द ें ?	నా ఉదదేశం , పర క ృ తి కి మనం కూడా ఒక చేయి ఎందుకు అ ంది ంచ కూడదు ?
यह लो .	ఇది గో తీసుకో .
- वाह . - हाँ .	- తెలి వెన నిరణ యం . - అవును .
धत तेरी की !	అయ యో !
धत तेरी की .	చెతత .
धत तेरी की .	చెతత .
टॉ म . टॉ म .	టా మ .
ब रे क सि ट की वजह से .	బ రె క సి ట .
कया हुआ ?	అకకడ ఏం చూ సతుననా వు ?
पिता और पु तर ,	లో క ము ల నే లు త ండ రికీ , ఆయన బి డ డ కూ ,
नहीं डर ूँगा .	నేను దు షట శ కతి గురించి భయ పడ ను .
- सच में ? - कैसे हो ?	- ఇపపుడు జో క చేశా వా ? జో క చేశా వా ? - ఎలా ఉననావు ?
ठीक है ! अगर मुझे यह करना आता ,	మంచిది ! నేనే ం చేసతుననా నో నాకు తెలి సతే గ నుక , వాడి చెతత వో ల వో కారు బ రే కు లని
चि पस ?	చి ప స తె సతా వా ?
अचछा ?	అది మంచి దే నా ?
चलो .	లోప లి కి రా .
दोनों में स मान ता एँ हैं .	పో లి కలు .
बताओ .	అదే మి టో వి ందా ం .
कया ?	ఏంటి ఈ చెతత ?
कहाँ ?	ఎ కకడికి వెళల ాలి ?
बेशक लगा .	అవును , నిజ మే . మాకు గ టటి ద ె బబ .
नहीं .	లేదు , సరి పో దు అనుకుంటా .
धत तेरी की .	ఛ .
